Date,Open,High,Low,Close,Volume,Adj Close
2002-05-17,94.0,98.0,92.5,98.0,99054300,9.7248
2002-05-21,97.5,98.5,95.0,97.5,17928300,9.6751
2002-05-22,96.5,97.0,94.0,94.5,13634300,9.3774
2002-05-23,94.5,95.5,94.0,95.0,3998600,9.4271
2002-05-24,95.0,96.0,95.0,95.0,1363200,9.4271
2002-05-27,95.5,95.5,93.0,93.5,1494400,9.2782
2002-05-28,93.0,94.5,92.5,92.5,1520000,9.179
2002-05-29,92.5,93.0,88.5,91.5,7822200,9.0798
2002-05-30,91.0,91.0,89.0,90.0,10719700,8.9309
2002-05-31,90.0,90.5,89.5,90.0,3443400,8.9309
2002-06-03,90.0,90.0,89.0,89.0,2323100,8.8317
2002-06-04,89.0,89.0,87.0,88.0,1210800,8.7324
2002-06-05,87.0,88.5,87.0,88.0,1445200,8.7324
2002-06-06,88.5,89.5,88.0,89.5,736600,8.8813
2002-06-07,88.5,90.0,88.5,90.0,2490100,8.9309
2002-06-10,90.0,92.0,90.0,92.0,601200,9.1294
2002-06-11,92.0,92.5,90.0,91.0,1539300,9.0301
2002-06-12,90.5,91.0,90.0,91.0,1760600,9.0301
2002-06-13,91.0,91.0,89.5,90.5,387200,8.9805
2002-06-14,90.5,90.5,86.0,87.0,1005600,8.6332
2002-06-17,91.0,91.0,89.5,91.0,926400,9.0301
2002-06-18,91.0,91.5,90.5,91.0,1036400,9.0301
2002-06-19,91.5,91.5,90.5,90.5,361500,8.9805
2002-06-20,90.0,91.5,88.5,89.0,3578800,8.8317
2002-06-24,86.0,86.0,86.0,86.0,0,8.534
2002-06-25,86.5,88.5,86.5,87.5,1240100,8.6828
2002-06-26,86.0,88.0,85.5,88.0,1253600,8.7324
2002-06-27,89.0,91.0,88.0,90.0,2171300,8.9309
2002-06-28,92.0,92.5,91.0,92.0,1800100,9.1294
2002-07-01,91.5,92.0,91.0,91.5,455500,9.0798
2002-07-02,92.0,92.0,91.0,92.0,1158200,9.1294
2002-07-03,92.0,93.0,91.5,92.5,1462700,9.179
2002-07-04,92.5,92.5,92.0,92.0,331600,9.1294
2002-07-05,92.0,92.0,90.0,91.0,1083400,9.0301
2002-07-08,91.0,93.5,91.0,93.5,908100,9.2782
2002-07-09,94.0,94.0,93.5,93.5,740600,9.2782
2002-07-10,93.0,93.5,92.5,92.5,419200,9.179
