Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,120.9999,126.9999,120.0,120.0,410900,14.8423
2000-01-04,120.9999,120.9999,114.0,114.0,1681900,14.1002
2000-01-05,114.0,114.0,114.0,114.0,0,14.1002
2000-01-06,114.0,114.0,114.0,114.0,0,14.1002
2000-01-07,117.9999,117.9999,111.9999,113.0001,1550200,13.9765
2000-01-10,119.0001,120.0,114.9999,119.0001,1583700,14.7186
2000-01-11,120.0,120.0,116.0001,116.4999,1275600,14.4094
2000-01-12,116.0001,120.9999,116.0001,120.0,952000,14.8423
2000-01-13,120.9999,125.0001,120.9999,123.5001,1553800,15.2752
2000-01-14,125.0001,127.5,123.9999,125.0001,1282600,15.4607
2000-01-17,125.0001,129.0,123.9999,126.5001,1270000,15.6462
2000-01-18,128.0001,129.5001,125.0001,126.9999,860700,15.7081
2000-01-19,126.9999,131.0001,126.0,126.5001,581000,15.6462
2000-01-20,126.9999,130.5,126.9999,129.9999,1518500,16.0791
2000-01-21,129.9999,138.0,128.4999,135.5001,1296600,16.7594
2000-01-24,137.4999,140.0001,137.4999,138.5001,4266700,17.1305
2000-01-25,136.5,136.5,128.0001,135.0,3116200,16.6976
2000-01-26,135.0,141.9999,134.4999,137.0001,1234200,16.9449
2000-01-27,135.0,138.5001,134.0001,135.0,562100,16.6976
2000-01-28,135.9999,135.9999,120.0,127.5,685600,15.7699
2000-01-31,129.9999,129.9999,125.0001,128.0001,157100,15.8318
2000-02-01,128.0001,132.9999,123.5001,129.0,2448500,15.9554
2000-02-02,129.0,131.0001,125.0001,126.9999,2724900,15.7081
2000-02-03,128.0001,135.9999,123.5001,135.0,1223600,16.6976
2000-02-04,135.5001,135.9999,132.0,134.0001,703900,16.5739
2000-02-07,134.0001,135.9999,129.9999,132.9999,573000,16.4502
2000-02-08,134.0001,137.4999,132.9999,135.9999,993800,16.8212
2000-02-09,138.0,138.0,132.0,135.0,2295300,16.6976
2000-02-10,135.5001,137.0001,133.5,136.5,1980100,16.8831
2000-02-11,135.0,144.5001,132.9999,143.0001,1590200,17.6871
2000-02-14,143.0001,144.9999,141.0,143.0001,1813200,17.6871
2000-02-15,143.0001,143.0001,125.0001,137.4999,592400,17.0068
2000-02-16,138.0,140.0001,135.0,137.0001,476800,16.9449
2000-02-17,138.9999,138.9999,131.0001,132.0,1144000,16.3265
2000-02-18,135.0,144.9999,132.9999,140.0001,480400,17.316
2000-02-21,135.0,141.9999,135.0,141.5001,761700,17.5015
2000-02-22,143.0001,155.0001,140.4999,150.0,3228700,18.5528
2000-02-23,159.0,164.0001,146.0001,156.0,2887300,19.295
2000-02-24,155.4999,159.0,153.0,153.9999,1035300,19.0476
2000-02-25,155.0001,161.0001,153.9999,158.0001,1320200,19.5423
2000-02-28,162.9999,165.9999,159.0,161.0001,635000,19.9134
2000-02-29,162.9999,165.9999,159.0,165.0,1303700,20.4081
2000-03-01,165.0,165.0,159.5001,165.0,500300,20.4081
2000-03-02,167.0001,168.9999,162.9999,168.0,320900,20.7792
2000-03-03,165.0,168.0,156.9999,159.0,419700,19.666
2000-03-06,162.9999,165.0,159.9999,159.9999,238400,19.7897
2000-03-07,177.9999,209.4999,177.9999,189.9999,4031500,23.5003
2000-03-08,191.0001,191.0001,170.0001,180.9999,20250900,22.3871
2000-03-09,182.0001,183.9999,176.0001,179.0001,415400,22.1397
2000-03-10,180.0,182.0001,177.9999,178.5,595500,22.0779
2000-03-13,179.0001,180.0,173.0001,177.0,1449300,21.8923
2000-03-14,180.5001,180.5001,176.0001,177.9999,735200,22.016
2000-03-15,180.0,180.9999,173.0001,173.0001,1120800,21.3976
2000-03-16,180.0,180.0,170.0001,175.5,78500,21.7068
2000-03-17,174.9999,185.0001,174.9999,179.0001,916900,22.1397
2000-03-20,189.9999,198.9999,186.9999,189.9999,1689400,23.5003
2000-03-21,185.0001,186.9999,177.0,186.0,570300,23.0055
2000-03-22,189.9999,189.9999,176.0001,177.5001,508400,21.9542
2000-03-23,180.0,180.0,168.0,174.9999,299100,21.645
2000-03-24,171.0,180.9999,170.0001,174.5001,1902500,21.5831
2000-03-27,174.9999,180.9999,171.9999,174.9999,433900,21.645
2000-03-28,174.9999,182.0001,174.9999,180.9999,734500,22.3871
2000-03-29,177.0,177.9999,171.0,174.0,429900,21.5213
2000-03-30,171.9999,171.9999,167.0001,168.0,351000,20.7792
2000-03-31,165.9999,171.0,153.0,171.0,729600,21.1502
2000-04-03,179.0001,179.0001,170.0001,174.0,2314200,21.5213
2000-04-04,165.9999,174.9999,165.9999,170.0001,770800,21.0266
2000-04-05,169.5,169.5,162.9999,164.4999,1637400,20.3463
2000-04-06,167.0001,173.0001,165.0,173.0001,419300,21.3976
2000-04-07,173.4999,173.4999,168.9999,171.9999,330700,21.2739
2000-04-10,174.5001,174.5001,167.4999,170.0001,275900,21.0266
2000-04-11,173.0001,173.0001,164.4999,164.4999,85600,20.3463
2000-04-12,167.0001,174.9999,165.9999,168.9999,450400,20.9029
