Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,250.00019,258.49981,247.99981,256.99981,2499800,24.63673
2000-01-04,254.50019,254.50019,244.99981,245.50019,5705700,23.53434
2000-01-05,244.00019,244.00019,238.00019,241.00019,3944700,23.10296
2000-01-06,81.8334,81.8334,81.8334,245.4996,0,23.53429
2000-01-07,241.00019,254.50019,240.0,250.99981,26075700,24.06155
2000-01-10,249.0,262.99981,249.0,256.99981,8724200,24.63673
2000-01-11,259.99981,259.99981,252.0,255.0,13894500,24.44502
2000-01-12,250.99981,257.50019,250.00019,253.99981,4728700,24.34914
2000-01-13,255.0,258.0,253.00019,256.99981,7585000,24.63673
2000-01-14,258.0,259.99981,251.50019,258.0,7360200,24.73261
2000-01-17,256.00019,261.0,255.0,259.99981,5227200,24.92432
2000-01-18,262.00019,261.49981,258.0,259.99981,5251400,24.92432
2000-01-19,253.00019,259.99981,250.99981,258.0,6442500,24.73261
2000-01-20,250.00019,259.00019,250.00019,255.0,7034500,24.44502
2000-01-21,255.0,256.5,249.0,252.0,7022800,24.15743
2000-01-24,253.00019,253.00019,244.99981,246.0,4082300,23.58226
2000-01-25,246.0,246.0,230.50019,232.5,7335500,22.28811
2000-01-26,235.00019,244.99981,233.50019,240.0,9634000,23.00708
2000-01-27,241.00019,243.0,237.0,239.50019,4461400,22.95917
2000-01-28,244.00019,244.00019,229.99981,232.5,3604600,22.28811
2000-01-31,232.99981,232.99981,221.50019,222.49981,5787400,21.32946
2000-02-01,226.99981,226.99981,220.5,222.49981,10411300,21.32946
2000-02-02,219.0,229.99981,219.0,229.99981,8853100,22.04843
2000-02-03,229.99981,232.00019,226.99981,228.0,6515900,21.85673
2000-02-04,229.99981,231.0,223.99981,226.00019,3531400,21.66502
2000-02-07,229.5,231.0,225.0,228.0,4963600,21.85673
2000-02-08,225.0,232.00019,225.0,228.0,4713000,21.85673
2000-02-09,226.99981,229.99981,222.0,225.0,8010900,21.56914
2000-02-10,222.0,230.50019,220.00019,225.0,4062900,21.56914
2000-02-11,226.00019,226.00019,211.00019,213.0,9952900,20.41878
2000-02-14,214.99981,220.99981,210.0,213.49981,9276300,20.4667
2000-02-15,208.00019,213.0,204.0,207.49981,14371000,19.89152
2000-02-16,210.0,216.0,208.5,215.50019,19060100,20.65846
2000-02-17,213.0,217.99981,211.99981,216.0,7591000,20.70637
2000-02-18,217.99981,219.49981,205.5,211.00019,6235300,20.22708
2000-02-21,207.0,208.5,199.00019,208.00019,13557000,19.93949
2000-02-22,210.0,217.5,201.49981,201.49981,11829200,19.31634
2000-02-23,205.99981,215.50019,205.00019,215.50019,8992700,20.65846
