Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,252.0,252.0,238.99981,250.99981,332900,9.5619
2000-01-04,253.00019,253.00019,232.5,238.99981,740200,9.10476
2000-01-05,234.0,234.0,230.50019,232.99981,464100,8.87619
2000-01-06,79.6668,79.6668,79.6668,238.99981,0,9.10476
2000-01-07,249.0,249.0,232.99981,247.5,5491100,9.42858
2000-01-10,258.0,258.0,244.99981,252.49981,2622600,9.61905
2000-01-11,257.50019,257.50019,247.99981,249.49981,3411100,9.50476
2000-01-12,252.49981,252.49981,244.99981,250.00019,1021200,9.52382
2000-01-13,252.0,252.0,249.0,250.99981,2410600,9.5619
2000-01-14,256.00019,256.00019,247.5,250.00019,1581100,9.52382
2000-01-17,256.00019,256.00019,252.0,254.50019,756700,9.69525
2000-01-18,258.0,258.0,250.5,255.0,2130300,9.71429
2000-01-19,255.0,255.0,246.49981,252.0,1136300,9.60001
2000-01-20,253.99981,253.99981,246.49981,250.99981,330400,9.5619
2000-01-21,255.0,255.0,244.5,247.99981,617500,9.44762
2000-01-24,249.0,249.0,238.5,241.00019,591600,9.18096
2000-01-25,238.00019,238.00019,226.00019,226.99981,1170400,8.64762
2000-01-26,241.00019,241.00019,229.00019,235.99981,4749700,8.99047
2000-01-27,240.0,240.0,232.99981,235.00019,1983400,8.95239
2000-01-28,240.0,240.0,228.0,229.00019,844800,8.72382
2000-01-31,228.0,228.0,214.99981,215.50019,1593700,8.20954
2000-02-01,220.99981,220.99981,214.99981,216.49981,2312000,8.24762
2000-02-02,225.0,225.0,212.50019,225.0,1143800,8.57143
2000-02-03,226.99981,226.99981,223.00019,223.00019,2645100,8.49525
2000-02-04,225.0,225.0,219.49981,220.00019,566000,8.38096
2000-02-07,226.00019,226.00019,220.5,223.5,1392700,8.51429
2000-02-08,229.99981,229.99981,222.0,223.00019,681000,8.49525
2000-02-09,225.0,225.0,217.99981,220.5,647700,8.4
2000-02-10,225.49981,225.49981,214.99981,217.99981,577400,8.30476
2000-02-11,223.5,223.5,208.00019,209.50019,1410100,7.98096
2000-02-14,216.49981,216.49981,207.49981,210.0,531000,8.0
2000-02-15,210.0,210.0,201.0,202.00019,2334600,7.69525
2000-02-16,213.0,213.0,204.49981,211.99981,1913100,8.07619
2000-02-17,214.5,214.5,205.99981,213.49981,823200,8.13333
2000-02-18,216.0,216.0,202.99981,204.0,1478100,7.77143
2000-02-21,205.5,205.5,196.00019,205.5,2161300,7.82858
2000-02-22,214.5,214.5,199.00019,199.00019,1196200,7.58096
2000-02-23,214.99981,214.99981,202.00019,214.99981,2373800,8.19047
2000-02-24,214.00019,214.00019,208.99981,211.5,2864000,8.05715
2000-02-25,211.00019,211.00019,196.00019,204.0,1639800,7.77143
2000-02-28,205.00019,205.00019,196.99981,198.49981,1555100,7.5619
2000-02-29,202.00019,202.00019,193.99981,193.99981,1529100,7.39047
2000-03-01,199.5,199.5,187.5,192.0,1218200,7.31429
2000-03-02,193.00019,193.00019,187.5,190.0002,825100,7.23811
2000-03-03,190.5,190.5,181.9998,187.9998,794900,7.1619
2000-03-06,193.99981,193.99981,184.0002,189.0,765300,7.2
2000-03-07,196.00019,196.00019,186.0,193.5,1398100,7.37143
2000-03-08,192.49981,192.49981,182.5002,186.0,910900,7.08572
2000-03-09,192.0,192.0,180.4998,187.9998,1446600,7.1619
2000-03-10,192.0,192.0,184.9998,190.5,1403600,7.25715
2000-03-13,193.00019,193.00019,183.0,183.4998,802500,6.99047
2000-03-14,187.9998,187.9998,183.0,184.0002,506100,7.00954
2000-03-15,185.5002,185.5002,176.5002,177.0,1025800,6.74286
2000-03-16,211.5,211.5,184.9998,208.99981,8178300,7.9619
2000-03-17,223.99981,223.99981,202.99981,207.0,975700,7.88572
2000-03-20,210.0,210.0,197.50019,198.0,953300,7.54286
2000-03-21,202.99981,202.99981,193.99981,195.49981,892900,7.44762
2000-03-22,205.99981,205.99981,199.00019,205.99981,1472400,7.84762
2000-03-23,208.00019,208.00019,201.0,205.00019,1358000,7.80954
2000-03-24,214.99981,214.99981,205.5,214.99981,1939000,8.19047
2000-03-27,216.0,216.0,204.49981,207.0,447700,7.88572
