Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,706.0,713.0,692.0,695.0,747100,293.59
2000-01-04,692.0,696.0,667.0,673.0,2738200,284.3
2000-01-05,673.0,673.0,673.0,673.0,0,284.3
2000-01-06,673.0,673.0,673.0,673.0,0,284.3
2000-01-07,664.0,682.0,660.0,681.0,2082800,287.68
2000-01-10,694.0,710.0,691.0,704.0,2875600,297.39
2000-01-11,700.0,706.0,684.0,702.0,2226800,296.55
2000-01-12,690.0,699.0,686.0,692.0,1962800,292.32
2000-01-13,690.0,698.0,689.0,691.0,1805400,291.9
2000-01-14,699.0,708.0,693.0,703.0,2724800,296.97
2000-01-17,680.0,702.0,680.0,698.0,1403000,294.86
2000-01-18,697.0,698.0,677.0,678.0,2050600,286.41
2000-01-19,676.0,677.0,661.0,665.0,3595700,280.92
2000-01-20,674.0,683.0,657.0,657.0,3215800,277.54
2000-01-21,656.0,669.0,651.0,657.0,2249800,277.54
2000-01-24,669.0,670.0,647.0,651.0,1932600,275.0
2000-01-25,632.0,646.0,632.0,645.0,4218900,272.47
2000-01-26,645.0,656.0,645.0,654.0,1181800,276.27
2000-01-27,660.0,672.0,659.0,672.0,1672000,283.88
2000-01-28,676.0,677.0,644.0,655.0,1451300,276.69
2000-01-31,656.0,659.0,646.0,651.0,1270700,275.0
2000-02-01,661.0,664.0,638.0,641.0,2582200,270.78
2000-02-02,644.0,654.0,642.0,650.0,1592400,274.58
2000-02-03,653.0,663.0,642.0,650.0,3854500,274.58
2000-02-04,646.0,646.0,622.0,622.0,2812900,262.75
2000-02-07,618.0,624.0,599.0,604.0,3041900,255.15
2000-02-08,610.0,630.0,610.0,617.0,1975800,260.64
2000-02-09,630.0,647.0,627.0,634.0,2499700,267.82
2000-02-10,630.0,649.0,630.0,648.0,2687500,273.74
2000-02-11,640.0,640.0,608.0,614.0,1593200,259.37
2000-02-14,606.0,612.0,592.0,592.0,2043600,250.08
2000-02-15,595.0,617.0,591.0,604.0,2488500,255.15
2000-02-16,616.0,621.0,602.0,606.0,2268700,255.99
2000-02-17,611.0,613.0,605.0,607.0,1797000,256.42
2000-02-18,615.0,618.0,598.0,613.0,1759900,258.95
2000-02-21,594.0,600.0,592.0,596.0,1034900,251.77
2000-02-22,600.0,604.0,585.0,588.0,2795500,248.39
2000-02-23,600.0,600.0,586.0,594.0,2094400,250.93
2000-02-24,590.0,590.0,532.0,548.0,6462600,231.49
2000-02-25,550.0,591.0,544.0,591.0,4259700,249.66
2000-02-28,590.0,603.0,586.0,590.0,1052800,249.24
2000-02-29,598.0,598.0,574.0,581.0,1244700,245.43
2000-03-01,584.0,597.0,581.0,597.0,2195700,252.19
2000-03-02,596.0,619.0,592.0,618.0,1855500,261.06
2000-03-03,620.0,620.0,608.0,610.0,1130000,257.68
2000-03-06,610.0,617.0,606.0,616.0,2302200,260.47
2000-03-07,610.0,631.0,610.0,629.0,1842600,265.96
2000-03-08,610.0,627.0,609.0,620.0,2251200,262.16
2000-03-09,642.0,655.0,639.0,645.0,2900200,272.73
2000-03-10,659.0,692.0,656.0,691.0,5001700,292.18
2000-03-13,691.0,691.0,691.0,691.0,0,292.18
2000-03-14,704.0,704.0,683.0,685.0,2429500,289.64
2000-03-15,680.0,714.0,674.0,705.0,3047600,298.1
2000-03-16,720.0,750.0,720.0,733.0,1458500,309.94
2000-03-17,755.0,758.0,702.0,712.0,2993600,301.06
2000-03-20,708.0,715.0,700.0,707.0,2707300,298.95
2000-03-21,716.0,746.0,710.0,724.0,2945000,306.13
2000-03-22,750.0,754.0,735.0,740.0,1804500,312.9
2000-03-23,752.0,755.0,740.0,747.0,1647600,315.86
2000-03-24,750.0,772.0,736.0,769.0,3179700,325.16
2000-03-27,744.0,763.0,741.0,743.0,1106700,314.17
2000-03-28,744.0,746.0,718.0,724.0,2580900,306.13
2000-03-29,726.0,726.0,696.0,702.0,1078300,296.83
2000-03-30,705.0,710.0,684.0,691.0,947100,292.18
2000-03-31,682.0,710.0,682.0,698.0,1092100,295.14
2000-04-03,696.0,740.0,690.0,736.0,1846600,311.21
2000-04-04,754.0,775.0,754.0,771.0,2899600,326.01
2000-04-05,766.0,766.0,732.0,738.0,1622500,312.05
2000-04-06,732.0,766.0,729.0,764.0,1560800,323.05
2000-04-07,762.0,764.0,747.0,753.0,1811800,318.4
2000-04-10,746.0,763.0,736.0,763.0,633900,322.62
2000-04-11,760.0,784.0,760.0,780.0,1958000,329.81
2000-04-12,780.0,786.0,773.0,783.0,1955100,331.08
2000-04-13,776.0,787.0,774.0,784.0,1301400,331.5
2000-04-14,780.0,780.0,762.0,768.0,1050500,324.74
2000-04-17,740.0,761.0,730.0,749.0,1479500,316.7
2000-04-18,750.0,752.0,732.0,744.0,954100,314.59
2000-04-19,749.0,772.0,746.0,766.0,842000,323.89
2000-04-20,762.0,785.0,762.0,774.0,638600,327.28
2000-04-21,774.0,774.0,774.0,774.0,0,327.28
2000-04-24,774.0,774.0,774.0,774.0,0,327.28
2000-04-25,780.0,802.0,777.0,789.0,1282400,333.62
2000-04-26,791.0,797.0,783.0,791.0,870500,334.46
2000-04-27,760.0,770.0,740.0,748.0,1437500,316.28
2000-04-28,750.0,754.0,734.0,743.0,1596600,314.17
2000-05-01,743.0,743.0,743.0,743.0,0,314.17
2000-05-02,750.0,756.0,740.0,748.0,857600,316.28
2000-05-03,749.0,766.0,736.0,749.0,1586600,316.7
2000-05-04,740.0,740.0,718.0,723.0,859300,305.71
2000-05-05,736.0,740.0,718.0,732.0,504600,309.52
2000-05-08,741.0,760.0,741.0,753.0,1002200,318.4
2000-05-09,753.0,753.0,753.0,753.0,0,318.4
2000-05-10,753.0,753.0,753.0,753.0,0,318.4
2000-05-11,753.0,753.0,753.0,753.0,0,318.4
2000-05-12,780.0,792.0,765.0,791.0,1905500,334.46
2000-05-15,791.0,791.0,791.0,791.0,0,334.46
2000-05-16,782.0,788.0,781.0,784.0,458900,331.5
2000-05-17,787.0,787.0,736.0,744.0,2903400,314.59
2000-05-18,740.0,760.0,738.0,758.0,1469200,320.51
2000-05-19,760.0,765.0,753.0,760.0,1023000,321.36
2000-05-22,750.0,784.0,750.0,776.0,3227000,328.12
2000-05-23,765.0,770.0,739.0,750.0,2013800,317.13
2000-05-24,746.0,755.0,738.0,745.0,1297400,315.01
2000-05-25,754.0,754.0,744.0,749.0,1258200,316.7
2000-05-26,740.0,758.0,740.0,750.0,1841200,317.13
2000-05-29,750.0,754.0,744.0,751.0,649000,317.55
2000-05-30,752.0,761.0,746.0,746.0,1244500,315.44
2000-05-31,756.0,760.0,744.0,753.0,384500,318.4
2000-06-01,753.0,753.0,753.0,753.0,0,318.4
2000-06-02,757.0,770.0,746.0,750.0,1484200,317.13
2000-06-05,740.0,750.0,731.0,733.0,1090200,309.94
2000-06-06,720.0,728.0,706.0,713.0,1631400,301.48
2000-06-07,706.0,712.0,706.0,708.0,1233600,299.37
2000-06-08,708.0,714.0,705.0,710.0,1189300,300.21
2000-06-09,710.0,724.0,708.0,720.0,1670700,304.44
2000-06-12,720.0,720.0,720.0,720.0,0,304.44
2000-06-13,728.0,728.0,710.0,710.0,1755400,300.21
2000-06-14,712.0,718.0,706.0,708.0,1827100,299.37
2000-06-15,712.0,725.0,712.0,717.0,2181400,303.17
2000-06-16,724.0,730.0,718.0,725.0,917800,306.56
2000-06-19,725.0,725.0,725.0,725.0,0,306.56
2000-06-20,740.0,760.0,737.0,758.0,1269400,320.51
2000-06-21,730.0,770.0,730.0,764.0,802800,323.05
2000-06-22,770.0,778.0,769.0,771.0,1489500,326.01
2000-06-23,771.0,771.0,771.0,771.0,0,326.01
2000-06-26,776.0,786.0,772.0,782.0,833500,330.66
2000-06-27,770.0,782.0,767.0,770.0,858900,325.58
2000-06-28,774.0,794.0,772.0,790.0,1874700,334.04
2000-06-29,798.0,819.0,796.0,818.0,2348900,345.88
2000-06-30,814.0,826.0,804.0,820.0,2702400,346.73
2000-07-03,822.0,825.0,812.0,823.0,1900500,347.99
2000-07-04,822.0,828.0,818.0,828.0,1436200,350.11
2000-07-05,816.0,829.0,816.0,826.0,898100,349.26
2000-07-06,816.0,840.0,816.0,836.0,1808600,353.49
2000-07-07,836.0,836.0,836.0,836.0,0,353.49
2000-07-10,838.0,851.0,836.0,845.0,637700,357.3
2000-07-11,840.0,853.0,838.0,846.0,988400,357.72
2000-07-12,849.0,858.0,848.0,854.0,1020200,361.1
2000-07-13,848.0,848.0,822.0,824.0,1224600,348.42
2000-07-14,818.0,818.0,802.0,804.0,1685900,339.96
2000-07-17,800.0,800.0,773.0,784.0,1545400,331.5
2000-07-18,782.0,796.0,782.0,794.0,560400,335.73
2000-07-19,796.0,800.0,793.0,799.0,598500,337.85
2000-07-20,792.0,798.0,782.0,786.0,693700,332.35
2000-07-21,783.0,787.0,776.0,780.0,1011200,329.81
2000-07-24,780.0,780.0,780.0,780.0,0,329.81
2000-07-25,792.0,812.0,788.0,791.0,1432100,334.46
2000-07-26,788.0,788.0,780.0,783.0,701800,331.08
2000-07-27,783.0,783.0,783.0,783.0,0,331.08
2000-07-28,807.0,820.0,807.0,816.0,1745800,345.03
2000-07-31,814.0,823.0,792.0,792.0,706200,334.89
2000-08-01,780.0,804.0,776.0,804.0,1292500,339.96
2000-08-02,806.0,839.0,806.0,837.0,1605900,353.91
2000-08-03,830.0,843.0,822.0,838.0,1323600,354.34
2000-08-04,830.0,844.0,826.0,840.0,921400,355.18
2000-08-07,824.0,843.0,824.0,840.0,657000,355.18
2000-08-08,834.0,841.0,829.0,830.0,469600,350.95
2000-08-09,830.0,838.0,818.0,822.0,1049600,347.57
2000-08-10,788.0,802.0,787.0,801.0,1255900,338.69
2000-08-11,798.0,805.0,791.0,803.0,333800,339.54
2000-08-14,804.0,818.0,801.0,816.0,691600,345.03
2000-08-15,812.0,818.0,807.0,811.0,292300,342.92
2000-08-16,812.0,827.0,812.0,824.0,375100,348.42
2000-08-17,824.0,844.0,818.0,840.0,767700,355.18
2000-08-18,831.0,847.0,831.0,844.0,763300,356.87
2000-08-21,842.0,844.0,833.0,842.0,566400,356.03
2000-08-22,840.0,858.0,839.0,858.0,842600,362.79
2000-08-23,854.0,854.0,842.0,853.0,965700,360.68
2000-08-24,855.0,862.0,850.0,860.0,767100,363.64
2000-08-25,858.0,869.0,856.0,865.0,915600,365.75
2000-08-28,860.0,865.0,852.0,862.0,342900,364.49
2000-08-29,860.0,867.0,847.0,851.0,1014900,359.83
2000-08-30,844.0,850.0,840.0,845.0,669800,357.3
2000-08-31,842.0,862.0,842.0,848.0,1234400,358.57
2000-09-01,854.0,870.0,848.0,867.0,997100,366.6
2000-09-04,861.0,872.0,859.0,868.0,520800,367.15
2000-09-05,867.0,874.0,860.0,865.0,1073000,365.88
2000-09-06,864.0,867.0,848.0,854.0,827800,361.23
2000-09-07,856.0,865.0,851.0,856.0,1090200,362.08
2000-09-08,856.0,858.0,836.0,854.0,813300,361.23
2000-09-11,854.0,888.0,854.0,872.0,648800,368.84
2000-09-12,870.0,911.0,870.0,902.0,1817000,381.53
2000-09-13,899.0,904.0,889.0,892.0,1378600,377.3
2000-09-14,892.0,910.0,888.0,905.0,1093400,382.8
2000-09-15,908.0,914.0,898.0,904.0,1570400,382.38
2000-09-18,900.0,905.0,890.0,901.0,1699400,381.11
2000-09-19,903.0,925.0,900.0,922.0,1249800,389.99
2000-09-20,921.0,928.0,913.0,919.0,716500,388.72
2000-09-21,914.0,950.0,914.0,942.0,1834100,398.45
2000-09-22,942.0,971.0,942.0,968.0,2302100,409.45
2000-09-25,972.0,995.0,972.0,989.0,1429300,418.33
2000-09-26,978.0,985.0,959.0,971.0,1779600,410.72
2000-09-27,971.0,1004.0,971.0,999.0,1947200,422.56
2000-09-28,1000.0,1020.0,996.0,1018.0,1497100,430.6
2000-09-29,1020.0,1022.0,1002.0,1010.0,4233400,427.22
2000-10-02,1000.0,1002.0,978.0,980.0,2105800,414.53
2000-10-03,988.0,990.0,967.0,988.0,1678200,417.91
2000-10-04,988.0,999.0,982.0,998.0,847000,422.14
2000-10-05,1000.0,1004.0,980.0,1002.0,1604800,423.83
2000-10-06,996.0,1014.0,996.0,1008.0,1074900,426.37
2000-10-09,1002.0,1010.0,1000.0,1008.0,753800,426.37
2000-10-10,998.0,1024.0,994.0,1018.0,1052800,430.6
2000-10-11,1010.0,1022.0,1006.0,1014.0,1017100,428.91
2000-10-12,1014.0,1028.0,1014.0,1028.0,1453700,434.83
2000-10-13,1028.0,1030.0,1010.0,1022.0,1960900,432.29
2000-10-16,1014.0,1016.0,992.0,1008.0,1692000,426.37
2000-10-17,1002.0,1006.0,985.0,996.0,1388300,421.29
2000-10-18,996.0,1020.0,986.0,1020.0,1756700,431.45
2000-10-19,1000.0,1006.0,970.0,970.0,1866300,410.3
2000-10-20,960.0,970.0,942.0,952.0,2305300,402.68
2000-10-23,948.0,960.0,938.0,954.0,888800,403.53
2000-10-24,956.0,973.0,956.0,958.0,1442500,405.22
2000-10-25,904.0,930.0,902.0,928.0,3432400,392.53
2000-10-26,940.0,947.0,932.0,946.0,1838000,400.14
2000-10-27,950.0,957.0,932.0,947.0,1271000,400.57
2000-10-30,946.0,949.0,932.0,940.0,627500,397.61
2000-10-31,940.0,940.0,940.0,940.0,0,397.61
2000-11-01,942.0,943.0,914.0,916.0,1099800,387.46
2000-11-02,920.0,924.0,907.0,910.0,1010800,384.92
2000-11-03,918.0,920.0,898.0,898.0,759700,379.84
2000-11-06,904.0,950.0,904.0,949.0,1098900,401.41
2000-11-07,948.0,968.0,942.0,966.0,1150300,408.6
2000-11-08,980.0,982.0,960.0,974.0,1096900,411.99
2000-11-09,974.0,975.0,952.0,964.0,1249100,407.76
2000-11-10,964.0,970.0,937.0,968.0,2921700,409.45
2000-11-13,952.0,998.0,950.0,990.0,2887600,418.76
2000-11-14,999.0,999.0,931.0,941.0,2221200,398.03
2000-11-15,942.0,950.0,914.0,926.0,1344200,391.69
2000-11-16,928.0,944.0,926.0,940.0,1476700,397.61
2000-11-17,939.0,973.0,934.0,970.0,1120300,410.3
2000-11-20,960.0,976.0,960.0,972.0,1483100,411.14
2000-11-21,974.0,980.0,963.0,972.0,1909400,411.14
2000-11-22,978.0,978.0,952.0,961.0,1168100,406.49
2000-11-23,954.0,978.0,947.0,975.0,755000,412.41
