Date,Open,High,Low,Close,Volume,Adj Close
2001-12-05,32.2496,32.2496,29.8309,31.4433,168800,22.48877
2001-12-06,32.0883,32.8139,31.6852,32.7333,231300,23.4114
2001-12-07,32.6527,35.797,32.6527,35.797,1036000,25.60261
2001-12-10,35.8777,36.1195,34.5071,34.5071,533700,24.68005
2001-12-11,34.2652,34.2652,32.6527,33.1365,506600,23.69978
2001-12-12,33.0558,33.459,32.6527,33.459,345400,23.93044
2001-12-13,34.2652,34.3458,32.8946,33.2171,295800,23.75742
2001-12-14,32.8139,33.2171,32.4108,32.8139,372900,23.46905
2001-12-17,33.3783,33.3783,32.8139,33.0558,549100,23.64206
2001-12-18,33.0558,33.8621,33.0558,33.8621,428400,24.21874
2001-12-19,33.8621,34.2652,33.6202,33.8621,275400,24.21874
2001-12-20,33.9427,34.4264,33.7008,34.1039,305600,24.39168
2001-12-21,34.1039,34.3458,33.8621,34.2652,261300,24.50704
2001-12-27,34.2652,34.5877,33.9427,34.5877,275000,24.7377
2001-12-28,34.6683,35.2327,34.2652,35.0714,763800,25.08365
2002-01-02,35.4745,35.4745,34.9908,34.9908,229400,25.026
2002-01-03,34.8296,35.9583,34.8296,35.9583,277800,25.71798
2002-01-04,35.4745,36.3614,35.4745,36.3614,315200,26.00628
2002-01-07,36.2808,38.5383,36.2808,38.2964,599400,27.39022
2002-01-08,38.6189,39.7476,38.2964,39.1833,507300,28.02455
2002-01-09,39.4251,39.4251,38.0545,38.4576,458000,27.50552
2002-01-10,37.8933,38.377,37.5708,37.8933,253800,27.10192
2002-01-11,38.2964,38.6995,37.6514,38.6995,181600,27.67853
2002-01-14,38.6995,38.6995,37.3289,37.8933,662100,27.10192
2002-01-15,37.8933,37.8933,36.6839,37.5708,193600,26.87126
2002-01-16,37.087,37.087,35.4745,36.1195,860500,25.83327
2002-01-17,36.0389,37.0064,35.6358,36.9258,723800,26.40995
2002-01-18,36.8451,37.087,36.1195,36.6839,111500,26.23694
2002-01-21,36.6839,36.6839,35.7164,36.1195,59200,25.83327
2002-01-22,36.2808,37.3289,36.2808,36.6839,110400,26.23694
2002-01-23,36.7645,36.7645,36.2002,36.6839,87800,26.23694
2002-01-24,37.0064,37.3289,36.9258,37.0064,269500,26.4676
2002-01-25,37.0064,37.3289,36.6033,36.9258,71700,26.40995
2002-01-28,36.9258,37.1676,36.9258,37.087,64500,26.52524
2002-01-29,37.087,37.2483,37.0064,37.087,124900,26.52524
2002-01-30,37.0064,37.087,36.2808,36.5227,145200,26.12165
2002-01-31,36.3614,36.8451,36.2808,36.6033,157900,26.17929
2002-02-01,36.2808,37.8126,36.2808,37.5708,372100,26.87126
2002-02-04,37.2483,38.2964,37.2483,38.2964,255500,27.39022
2002-02-05,38.2964,38.8607,36.9258,37.5708,189100,26.87126
2002-02-06,36.6839,36.9258,34.2652,36.9258,529000,26.40995
2002-02-07,36.6033,36.6033,35.9583,36.6033,160100,26.17929
2002-02-08,36.2808,36.5227,36.2808,36.3614,147900,26.00628
2002-02-11,36.2808,37.087,36.2808,37.087,199100,26.52524
2002-02-12,36.9258,37.4901,36.9258,37.4095,346400,26.7559
2002-02-13,37.4901,37.6514,37.1676,37.5708,126600,26.87126
2002-02-14,37.5708,37.732,37.4095,37.4901,360600,26.81355
2002-02-15,37.087,37.4095,37.0064,37.2483,70900,26.64061
2002-02-18,36.3614,37.4095,36.3614,37.1676,0,26.58289
2002-02-19,36.8451,37.2483,36.5227,37.087,0,26.52524
2002-02-20,37.087,37.087,35.6358,36.6839,0,26.23694
2002-02-21,36.7645,37.087,36.6839,36.9258,0,26.40995
2002-02-22,37.087,37.087,35.5552,37.087,0,26.52524
2002-02-25,37.087,37.087,36.7645,37.087,0,26.52524
2002-02-26,37.0064,37.0064,35.8777,35.8777,0,25.66033
2002-02-27,35.797,36.9258,35.797,36.9258,0,26.40995
2002-02-28,37.087,37.087,36.2808,36.5227,0,26.12165
2002-03-01,36.2808,36.5227,36.0389,36.5227,0,26.12165
2002-03-04,36.6033,37.4901,36.6033,37.4901,0,26.81355
2002-03-05,37.4901,38.0545,37.4095,37.5708,0,26.87126
2002-03-06,37.087,37.4095,36.9258,37.1676,0,26.58289
2002-03-07,37.1676,37.3289,36.7645,37.087,0,26.52524
2002-03-08,36.8451,37.4095,36.8451,37.4095,0,26.7559
2002-03-11,37.4095,37.4901,36.8451,37.0064,0,26.4676
2002-03-12,36.7645,36.7645,36.1195,36.6839,0,26.23694
2002-03-13,36.6033,37.0064,36.2808,36.5227,0,26.12165
2002-03-14,36.442,36.5227,35.9583,36.2002,0,25.89099
2002-03-15,36.2002,36.6033,36.0389,36.6033,0,26.17929
2002-03-18,36.2808,36.9258,36.2808,36.6033,0,26.17929
2002-03-19,36.5227,36.6839,36.442,36.6839,0,26.23694
2002-03-20,36.6033,36.7645,36.442,36.6839,0,26.23694
2002-03-21,36.442,36.6839,36.2808,36.442,0,26.06393
2002-03-22,36.3614,36.6033,36.2002,36.2808,0,25.94863
2002-03-25,36.2002,36.3614,36.1195,36.2002,0,25.89099
2002-03-26,36.1195,36.2002,35.8777,36.1195,0,25.83327
2002-03-27,35.9583,36.6033,35.9583,36.6033,0,26.17929
2002-04-02,36.2002,36.5227,35.9583,36.3614,22100,26.00628
2002-04-03,36.2808,36.3614,36.2808,36.2808,57000,25.94863
2002-04-04,36.6839,36.6839,36.2808,36.6033,149600,26.17929
2002-04-05,36.6839,36.6839,36.2808,36.5227,64200,26.12165
2002-04-08,36.442,36.442,34.7489,34.8296,49000,24.91071
2002-04-09,34.7489,35.1521,34.4264,34.8296,46100,24.91071
2002-04-10,34.6683,35.1521,34.6683,35.0714,56600,25.08365
2002-04-11,34.9102,35.3133,34.7489,34.8296,91300,24.91071
2002-04-12,34.6683,35.4745,34.6683,35.3939,60300,25.31431
2002-04-15,35.3939,35.797,34.6683,35.797,100700,25.60261
2002-04-16,35.4745,36.442,35.4745,36.2808,57800,25.94863
2002-04-17,36.7645,36.7645,36.0389,36.1195,37400,25.83327
2002-04-18,36.1195,36.2808,35.4745,35.9583,30700,25.71798
2002-04-19,36.2808,36.2808,35.4745,35.797,155400,25.60261
2002-04-22,35.4745,35.4745,34.8296,35.2327,74200,25.19902
2002-04-23,34.8296,35.0714,34.6683,34.9908,36600,25.026
2002-04-24,34.9908,35.8777,34.2652,35.7164,1039200,25.54497
2002-04-25,35.3133,35.3133,32.8139,34.2652,207500,24.50704
2002-04-26,33.8621,35.0714,33.8621,34.9908,74100,25.026
2002-04-29,35.4745,35.4745,33.8621,34.4264,213500,24.62234
2002-04-30,34.2652,34.2652,33.459,33.8621,86900,24.21874
2002-05-02,33.8621,33.8621,33.2171,33.2171,93800,23.75742
2002-05-03,33.2171,33.2171,32.0077,32.6527,50500,23.35376
2002-05-06,32.2496,32.2496,31.4433,31.4433,40800,22.48877
2002-05-07,30.6371,31.2015,29.9115,31.2015,170900,22.31583
2002-05-08,31.4433,31.8465,31.0402,31.8465,45800,22.77715
2002-05-10,32.2496,32.8946,31.4433,32.2496,22500,23.06545
2002-05-13,32.2496,33.459,32.2496,32.5721,22100,23.29611
2002-05-14,32.2496,33.0558,32.2496,32.8946,137900,23.52677
2002-05-15,33.2171,33.3783,32.6527,32.6527,131700,23.35376
2002-05-16,32.5721,32.5721,31.9271,32.169,30300,23.0078
2002-05-17,32.169,32.2496,32.169,32.169,40400,23.0078
2002-05-21,32.5721,32.5721,31.7658,31.8465,29600,22.77715
2002-05-22,31.7658,31.7658,31.4433,31.4433,34300,22.48877
2002-05-23,31.9271,31.9271,31.0402,31.6852,18400,22.66178
2002-05-24,30.7177,31.524,30.7177,31.524,12100,22.54649
2002-05-27,31.4433,32.0883,31.3627,31.3627,72000,22.43113
2002-05-28,31.2015,31.6852,31.2015,31.2821,19800,22.37348
2002-05-29,32.0883,32.0883,30.5565,31.4433,112200,22.48877
2002-05-30,31.4433,31.6852,31.1208,31.1208,56200,22.25812
2002-05-31,31.4433,32.2496,30.879,32.2496,40000,23.06545
2002-06-03,32.5721,32.5721,31.2821,31.6852,37600,22.66178
2002-06-04,31.2821,31.6852,30.1534,31.2821,31600,22.37348
2002-06-05,31.4433,32.169,31.1208,32.0883,52700,22.95009
2002-06-06,32.169,32.4915,31.7658,32.4915,610000,23.23846
2002-06-07,32.2496,32.2496,31.7658,32.0077,50400,22.89244
2002-06-10,31.7658,32.2496,31.4433,32.0883,13700,22.95009
2002-06-11,33.0558,33.0558,31.1208,32.2496,27200,23.06545
2002-06-12,32.2496,32.4108,31.7658,31.8465,27900,22.77715
2002-06-13,32.2496,32.2496,31.9271,32.0883,42500,22.95009
2002-06-14,31.9271,31.9271,31.1208,31.6046,188900,22.60414
2002-06-17,31.8465,32.0883,31.3627,31.3627,174000,22.43113
2002-06-18,31.4433,31.4433,31.0402,31.0402,47300,22.20047
2002-06-19,31.4433,31.524,31.0402,31.0402,35600,22.20047
2002-06-20,30.879,30.9596,28.8634,30.234,50300,21.62386
2002-06-25,28.6215,28.6215,27.3315,27.4928,33200,19.66331
2002-06-26,27.4928,27.8153,27.009,27.4121,46300,19.60559
2002-06-27,28.7021,30.234,27.9765,29.5084,28000,21.1049
2002-06-28,30.234,30.6371,28.7021,28.7021,46000,20.52822
2002-07-01,29.5084,29.8309,29.2665,29.8309,106800,21.33556
2002-07-02,29.8309,29.8309,29.2665,29.3471,8200,20.98954
2002-07-03,29.1859,29.2665,29.0246,29.1859,62500,20.87424
2002-07-04,29.0246,29.2665,29.0246,29.1859,49100,20.87424
2002-07-05,29.0246,29.4277,29.0246,29.4277,28100,21.04718
2002-07-08,29.7502,29.8309,29.3471,29.8309,27200,21.33556
2002-07-09,30.0727,31.2821,29.8309,30.6371,12000,21.91217
2002-07-10,30.6371,30.879,30.3952,30.5565,19500,21.85452
2002-07-11,30.234,30.234,28.6215,29.589,53000,21.16255
2002-07-12,30.234,30.234,28.8634,29.1859,36700,20.87424
2002-07-15,29.1859,29.1859,28.1378,28.1378,15100,20.12462
2002-07-16,28.6215,29.2665,27.7346,28.1378,47300,20.12462
2002-07-17,28.4603,28.4603,27.654,27.8153,148600,19.89397
2002-07-18,27.9765,28.2184,27.7346,28.2184,82800,20.18227
2002-07-19,28.2184,28.2184,28.0571,28.1378,23200,20.12462
2002-07-22,27.4121,27.7346,27.4121,27.7346,45000,19.83625
2002-07-23,27.4121,27.4121,26.7672,27.3315,104600,19.54794
2002-07-24,26.9284,26.9284,24.5903,25.7997,208500,18.45238
2002-07-25,26.2028,26.2028,24.5903,25.2353,131400,18.04871
2002-07-26,24.1872,24.1872,23.0585,23.381,161400,16.72248
2002-07-29,23.381,23.4616,22.736,22.9778,50000,16.43411
2002-07-30,22.8972,24.9934,22.8166,24.7516,48300,17.70276
2002-07-31,24.8322,25.3159,24.2678,24.6709,45100,17.64504
2002-08-01,25.7997,25.9609,25.3159,25.4772,114900,18.22172
2002-08-02,25.3965,25.3965,24.1872,25.0741,20300,17.93342
2002-08-05,24.0259,24.0259,22.736,23.0585,33600,16.49182
2002-08-06,22.5747,23.381,22.3328,23.381,35700,16.72248
2002-08-07,23.7841,23.7841,22.5747,22.9778,30200,16.43411
2002-08-08,22.5747,23.5422,22.5747,23.381,11800,16.72248
2002-08-09,22.8166,24.1872,22.8166,24.1872,7300,17.29909
2002-08-12,24.9934,24.9934,23.6228,24.1872,15700,17.29909
2002-08-13,24.1872,24.1872,22.4941,24.1872,8000,17.29909
2002-08-14,24.1872,24.5903,22.5747,22.9778,24800,16.43411
2002-08-15,24.4291,24.4291,22.5747,22.5747,17600,16.1458
2002-08-16,22.4135,22.4135,21.446,21.7685,19100,15.56919
2002-08-19,21.3654,21.3654,20.156,20.9622,26700,14.99252
2002-08-20,20.9622,20.9622,18.1404,18.221,102800,13.03196
2002-08-21,17.8985,18.7854,17.3342,18.3016,110600,13.08961
2002-08-22,18.866,19.6723,18.7048,19.3498,124200,13.8393
2002-08-23,19.4304,20.156,18.5435,19.4304,158400,13.89695
2002-08-26,19.2691,19.3498,18.5435,18.5435,168400,13.26262
2002-08-27,18.1404,18.1404,17.4148,17.8985,531500,12.80131
2002-08-28,17.4954,17.8985,17.4954,17.576,85100,12.57065
2002-08-29,17.576,17.576,14.2704,15.4798,238700,11.07141
2002-08-30,15.6411,16.6892,15.6411,16.0442,109100,11.47508
2002-09-02,16.286,16.286,15.9635,16.1248,27700,11.53273
2002-09-03,16.2054,16.4473,15.9635,15.9635,64100,11.41736
2002-09-04,15.9635,15.9635,14.5123,14.5123,233800,10.37944
2002-09-05,14.6736,15.4798,14.5929,14.6736,59000,10.4948
2002-09-06,14.9154,15.3992,14.5123,15.2379,108800,10.8984
2002-09-09,15.0767,15.0767,14.5123,14.5123,63900,10.37944
2002-09-10,14.8348,15.3992,14.7542,15.3186,82900,10.95612
2002-09-11,15.6411,16.3667,15.6411,16.0442,110300,11.47508
2002-09-12,16.286,16.286,15.3992,15.3992,13600,11.01377
2002-09-13,16.6892,16.6892,14.8348,15.0767,62500,10.78311
2002-09-16,15.3186,15.7217,15.2379,15.3186,116100,10.95612
2002-09-17,16.1248,16.1248,14.9154,14.9154,19700,10.66774
2002-09-18,14.5123,14.5123,14.0286,14.1092,23200,10.09114
2002-09-19,14.5123,14.5123,12.8998,13.3029,138400,9.51446
2002-09-20,13.7061,13.7061,12.4967,12.9805,71200,9.28387
2002-09-23,13.3836,13.3836,11.2874,11.4486,38100,8.18823
2002-09-24,11.2874,11.2874,9.67488,10.6424,235600,7.61162
2002-09-25,10.6424,11.6905,10.1586,11.2067,302500,8.01522
2002-09-26,11.6905,12.013,11.4486,11.4486,160000,8.18823
2002-09-27,11.9324,11.9324,11.2067,11.2874,161900,8.07294
2002-09-30,10.4811,11.1261,9.83612,10.1586,48700,7.2656
2002-10-01,10.4005,10.6424,9.7555,9.7555,77200,6.9773
2002-10-02,9.7555,10.4005,9.67488,9.7555,107100,6.9773
2002-10-03,10.078,10.078,9.67488,9.83612,97300,7.03496
2002-10-04,9.67488,9.7555,9.67488,9.7555,17800,6.9773
2002-10-07,9.83612,9.83612,8.54614,9.59425,450500,6.86197
2002-10-08,8.86864,9.433,8.30427,8.38489,100900,5.99701
2002-10-09,8.86864,8.86864,8.0624,8.0624,194600,5.76636
2002-10-10,8.02208,8.46552,7.65928,7.98177,155100,5.7087
2002-10-11,8.0624,9.02988,7.90115,8.86864,56800,6.343
2002-10-14,9.27176,9.83612,9.27176,9.35238,85200,6.68898
2002-10-15,9.59425,10.078,9.27176,9.51363,129500,6.80431
2002-10-16,9.67488,9.83612,9.51363,9.67488,92100,6.91964
2002-10-17,10.078,10.723,9.99737,10.1586,252800,7.2656
2002-10-18,10.8036,10.8036,10.2392,10.4811,144600,7.49626
2002-10-21,10.9649,11.7711,10.8842,11.2874,198200,8.07294
2002-10-22,11.2067,12.1742,11.2067,12.1742,188100,8.70719
2002-10-23,12.2548,12.8192,11.0455,11.1261,360900,7.95757
2002-10-24,11.1261,11.2874,11.0455,11.2067,73000,8.01522
2002-10-25,11.2067,12.3355,11.2067,11.9324,75200,8.53425
2002-10-28,12.0936,12.658,12.0936,12.658,269400,9.05321
2002-10-29,12.7386,12.8192,11.7711,11.8517,44700,8.47653
2002-10-30,11.9324,12.4967,11.9324,12.4161,43400,8.8802
2002-10-31,12.4967,12.658,12.3355,12.658,58900,9.05321
2002-11-01,12.5773,12.8192,12.3355,12.658,18200,9.05321
2002-11-04,12.7386,14.1898,12.7386,13.948,172900,9.97584
2002-11-05,14.1092,14.1898,13.5448,13.8673,150100,9.91812
2002-11-06,13.8673,13.8673,13.4642,13.4642,31600,9.62982
2002-11-07,13.5448,13.7061,12.8998,12.8998,177600,9.22615
2002-11-08,13.2223,13.2223,12.658,12.8998,20000,9.22615
2002-11-11,12.9805,12.9805,12.0936,12.658,55100,9.05321
2002-11-12,12.4967,12.658,11.9324,11.9324,159300,8.53425
2002-11-13,12.0936,12.3355,12.013,12.013,48200,8.5919
2002-11-14,12.3355,12.5773,12.013,12.4161,337000,8.8802
2002-11-15,12.658,12.658,12.1742,12.3355,180900,8.82256
2002-11-18,12.7386,12.8998,12.2548,12.2548,77200,8.76484
2002-11-19,12.4161,12.4161,11.8517,12.013,124600,8.5919
2002-11-20,12.0936,12.0936,11.7711,12.0936,48300,8.64954
2002-11-21,12.2548,12.4161,12.0936,12.1742,241400,8.70719
2002-11-22,12.2548,12.3355,12.0936,12.3355,118500,8.82256
2002-11-25,12.3355,12.4161,12.1742,12.3355,87100,8.82256
2002-11-26,12.4161,12.4161,12.2548,12.2548,84700,8.76484
2002-11-27,12.3355,12.7386,12.2548,12.7386,216400,9.11086
2002-11-28,12.8192,13.3836,12.7386,12.8998,629100,9.22615
2002-11-29,13.3836,13.7061,12.8998,13.7061,206600,9.80283
2002-12-02,13.948,15.2379,13.7061,14.5123,400900,10.37944
2002-12-03,14.5123,14.8348,14.1898,14.5123,201100,10.37944
2002-12-04,14.5123,14.5123,13.8673,14.1092,62100,10.09114
2002-12-05,14.1092,14.5929,13.5448,13.5448,202300,9.68747
2002-12-06,13.3029,13.8673,12.8998,13.0611,46800,9.34152
2002-12-09,13.2223,13.8673,13.0611,13.0611,192000,9.34152
2002-12-10,13.3029,13.4642,12.4967,12.8998,116300,9.22615
2002-12-11,12.8998,13.3836,12.3355,12.5773,137900,8.9955
2002-12-12,12.8192,13.1417,12.7386,12.8998,88700,9.22615
2002-12-13,13.0611,13.0611,12.7386,12.8998,81000,9.22615
2002-12-16,12.8998,13.2223,12.5773,12.8998,154000,9.22615
2002-12-17,13.0611,13.3029,12.4967,12.8192,141300,9.16851
2002-12-18,12.7386,12.7386,11.5292,11.8517,166800,8.47653
2002-12-19,12.013,12.3355,11.0455,11.0455,193500,7.89993
2002-12-20,11.2874,12.3355,11.2874,12.0936,224900,8.64954
2002-12-23,12.0936,12.0936,11.6905,11.8517,367600,8.47653
2002-12-27,11.9324,12.1742,11.4486,11.7711,411600,8.41889
2002-12-30,12.0936,12.0936,10.8842,11.6098,147400,8.30352
2003-01-02,11.7711,12.0936,11.6098,12.0936,49600,8.64954
2003-01-03,12.0936,12.8998,12.0936,12.8998,38900,9.22615
2003-01-07,13.0611,13.4642,12.4967,13.1417,123600,9.39916
2003-01-08,13.3029,13.3029,12.7386,12.7386,21800,9.11086
2003-01-09,12.8998,13.1417,12.658,13.1417,20400,9.39916
2003-01-10,13.4642,13.4642,13.0611,13.0611,61500,9.34152
2003-01-13,13.0611,13.0611,12.8192,12.8192,16000,9.16851
2003-01-14,12.8998,13.2223,12.8998,13.1417,35700,9.39916
2003-01-15,13.3836,13.3836,12.658,13.1417,81900,9.39916
2003-01-16,13.3029,13.3029,12.8998,13.0611,16300,9.34152
2003-01-17,13.1417,13.3029,12.8998,13.0611,58900,9.34152
2003-01-20,13.3029,13.3836,13.0611,13.3029,44200,9.51446
2003-01-21,13.3836,13.7061,13.1417,13.7061,200600,9.80283
2003-01-22,13.948,14.9154,13.7867,14.5929,365200,10.43709
2003-01-23,15.0767,15.3186,14.7542,14.8348,218600,10.6101
2003-01-24,14.9154,14.9154,14.2704,14.4317,225500,10.32179
2003-01-27,14.3511,14.3511,13.2223,13.7867,82200,9.86048
2003-01-28,13.7061,14.9154,13.7061,14.5123,237300,10.37944
2003-01-29,14.7542,14.8348,14.1092,14.2704,74300,10.20643
2003-01-30,14.5123,14.5123,14.1092,14.1092,85400,10.09114
2003-01-31,14.1898,14.2704,13.7867,14.1898,58300,10.14878
2003-02-03,14.5123,14.5123,13.8673,14.0286,217900,10.03349
2003-02-04,14.4317,14.4317,13.7061,13.7061,78000,9.80283
2003-02-05,13.7061,14.1092,13.7061,14.0286,24100,10.03349
2003-02-06,13.7061,14.0286,13.7061,13.7061,19900,9.80283
2003-02-07,13.7061,14.0286,13.7061,14.0286,169000,10.03349
2003-02-10,13.7867,13.8673,13.3029,13.6255,80100,9.74518
2003-02-11,13.6255,13.7867,13.3029,13.3029,156100,9.51446
2003-02-12,13.3029,13.3029,13.1417,13.3029,21800,9.51446
2003-02-13,13.3029,13.3029,12.8998,12.8998,36700,9.22615
2003-02-14,13.2223,13.2223,12.3355,12.9805,69900,9.28387
2003-02-17,12.9805,13.7061,12.9805,13.7061,29200,9.80283
2003-02-18,13.948,14.5929,13.948,14.4317,619500,10.32179
2003-02-19,14.6736,15.5604,14.6736,15.3992,1035100,11.01377
2003-02-20,15.3992,15.5604,15.0767,15.1573,249400,10.84075
2003-02-21,15.8023,16.4473,15.7217,16.1248,993000,11.53273
