Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,137.544,137.544,127.078,129.171,1136200,61.4373
2000-01-04,127.078,128.872,121.397,127.377,2792400,60.5841
2000-01-05,127.377,127.377,127.377,127.377,0,60.5841
2000-01-06,127.377,127.377,127.377,127.377,0,60.5841
2000-01-07,122.593,126.48,120.799,125.284,1574100,59.5886
2000-01-10,126.48,131.862,126.48,131.862,2216500,62.7172
2000-01-11,134.553,136.347,129.47,130.367,1926700,62.0062
2000-01-12,128.573,130.367,124.985,128.573,2227100,61.1529
2000-01-13,130.367,130.367,124.686,125.284,3818600,59.5886
2000-01-14,125.583,127.078,121.098,121.397,2770700,57.7398
2000-01-17,122.593,123.789,117.211,121.098,3456700,57.5976
2000-01-18,122.593,123.789,119.603,122.593,1941700,58.3086
2000-01-19,121.397,123.49,118.407,123.191,1638200,58.5931
2000-01-20,125.583,126.181,119.603,120.201,1966600,57.1709
2000-01-21,120.799,127.676,119.902,127.078,2311500,60.4418
2000-01-24,127.975,127.975,122.593,123.49,2435800,58.7353
2000-01-25,123.191,123.191,118.407,120.5,3481200,57.3132
2000-01-26,120.5,121.098,119.304,120.5,1793400,57.3132
2000-01-27,120.5,121.995,119.603,119.603,940300,56.8865
2000-01-28,119.603,120.5,114.819,118.108,1400900,56.1755
2000-01-31,116.015,116.015,110.932,112.128,1361100,53.3312
2000-02-01,115.118,115.417,110.932,113.623,1943700,54.0423
2000-02-02,113.922,123.191,113.623,121.995,2512700,58.0242
2000-02-03,121.995,123.789,120.201,120.799,1828200,57.4554
2000-02-04,122.593,122.892,114.819,114.819,791800,54.6111
2000-02-07,116.613,122.892,116.015,122.593,1138100,58.3086
2000-02-08,122.593,124.686,119.902,120.5,1316500,57.3132
2000-02-09,121.397,122.294,114.52,116.314,1307700,55.3222
2000-02-10,116.613,121.995,115.417,118.407,1428300,56.3177
2000-02-11,121.397,126.48,110.633,113.025,5490800,53.7578
2000-02-14,116.613,116.613,104.055,107.344,3566900,51.0558
2000-02-15,108.839,110.633,106.447,107.643,3145000,51.198
2000-02-16,112.427,112.427,101.663,104.653,4513500,49.7759
2000-02-17,104.653,107.344,101.065,106.148,2973200,50.4869
2000-02-18,104.653,106.148,101.065,102.859,3519800,48.9226
2000-02-21,99.2705,101.663,98.3735,100.467,1727300,47.7849
2000-02-22,103.457,103.457,98.0745,98.6725,3722100,46.9314
2000-02-23,101.065,102.56,99.8686,101.364,1644300,48.2115
2000-02-24,102.859,103.457,100.467,101.065,4207600,48.0693
2000-02-25,102.261,103.457,99.5695,99.8686,4065300,47.5003
2000-02-28,99.8686,101.065,97.7755,98.6725,3183700,46.9314
2000-02-29,99.5695,101.663,98.3735,99.2705,3649200,47.2158
2000-03-01,101.065,101.065,95.9815,96.2805,3020700,45.7937
2000-03-02,98.0745,98.0745,93.2904,95.6824,2043100,45.5092
2000-03-03,96.8785,97.7755,93.2904,94.1874,3236600,44.7982
2000-03-06,94.4864,95.3834,91.1973,92.3934,2453500,43.9449
2000-03-07,92.0944,95.6824,90.5993,93.8884,3500800,44.6559
2000-03-08,92.6924,96.5795,92.0944,93.8884,1726800,44.6559
2000-03-09,94.4864,95.0844,92.0944,93.5894,2074600,44.5137
2000-03-10,95.0844,95.0844,90.0013,90.5993,2754200,43.0916
2000-03-13,90.5993,90.5993,90.5993,90.5993,0,43.0916
2000-03-14,89.7023,91.4963,88.5063,89.1043,2294900,42.3805
2000-03-15,88.8053,89.7023,85.5162,87.0112,2095600,41.385
2000-03-16,91.7953,98.9715,91.7953,97.7755,10668500,46.5048
2000-03-17,100.467,101.364,93.8884,95.6824,2398900,45.5092
2000-03-20,96.2805,96.5795,93.5894,94.1874,1477600,44.7982
2000-03-21,93.8884,97.4765,93.2904,96.5795,2219300,45.9359
2000-03-22,98.6725,100.467,98.0745,98.9715,2398400,47.0736
2000-03-23,100.168,109.437,98.3735,104.055,1527500,49.4915
2000-03-24,107.045,107.643,104.952,104.952,2258700,49.9181
2000-03-27,107.643,107.643,100.766,101.663,1090100,48.3538
2000-03-28,103.158,103.158,98.6725,100.467,716200,47.7849
2000-03-29,100.467,101.065,97.4765,98.6725,1764300,46.9314
2000-03-30,97.7755,100.467,97.7755,99.5695,871500,47.358
2000-03-31,98.0745,100.168,97.4765,98.0745,1245400,46.647
2000-04-03,99.5695,99.5695,97.1775,98.0745,1671200,46.647
2000-04-04,99.2705,103.756,98.3735,102.859,1901600,48.9226
