Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,405.8888,420.3336,398.6664,400.8336,37001100,369.7056
2000-01-04,408.056,408.056,393.6112,399.3888,54632100,368.373
2000-01-05,399.3888,399.3888,399.3888,399.3888,0,368.373
2000-01-06,399.3888,399.3888,399.3888,399.3888,0,368.373
2000-01-07,339.4448,374.8336,332.2224,371.2224,79560700,342.394
2000-01-10,378.4448,387.1112,373.3888,375.556,47660500,346.391
2000-01-11,383.5,383.5,372.6664,377.7224,37090200,348.3892
2000-01-12,365.4448,379.8888,364.0,378.4448,45684700,349.0555
2000-01-13,378.4448,389.2776,378.4448,384.9448,47022700,355.0507
2000-01-14,397.2224,401.556,389.2776,399.3888,47118600,368.373
2000-01-17,399.3888,418.8888,398.6664,418.8888,37320700,386.3587
2000-01-18,418.8888,421.7776,397.2224,397.2224,50026300,366.3749
2000-01-19,395.056,409.5,391.4448,405.1664,59241500,373.7019
2000-01-20,411.6664,418.1664,407.3336,410.9448,45718000,379.0316
2000-01-21,406.6112,416.0,400.8336,408.7776,36033200,377.0327
2000-01-24,413.1112,429.7224,410.9448,423.9448,43033200,391.0221
2000-01-25,416.0,423.2224,415.2776,417.4448,35125600,385.0268
2000-01-26,426.1112,433.3336,421.7776,425.3888,50541400,392.3539
2000-01-27,426.1112,429.7224,415.2776,416.0,33552500,383.6942
2000-01-28,440.556,462.9448,439.8336,454.2776,107471800,418.9992
2000-01-31,447.056,455.0,445.6112,449.9448,55938300,415.003
2000-02-01,476.6664,488.9448,451.3888,478.1112,72382000,440.982
2000-02-02,505.556,523.6112,497.6112,513.5,76710900,473.6226
2000-02-03,512.7776,527.9448,507.7224,520.0,57814100,479.6178
2000-02-04,534.4448,534.4448,519.2776,526.5,41728200,485.613
2000-02-07,535.8888,542.3888,530.8336,541.6664,29373800,499.6016
2000-02-08,535.8888,548.1664,533.0,538.056,31253000,496.2716
2000-02-09,554.6672,557.556,538.056,545.2776,41122600,502.9324
