Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,96.0,101.0,96.0,96.0,646700,11.858
2000-01-04,96.0,97.0,93.0,95.0,708100,11.734
2000-01-05,95.0,95.0,95.0,95.0,0,11.734
2000-01-06,95.0,95.0,95.0,95.0,0,11.734
2000-01-07,94.0,99.0,93.0,94.0,788200,11.611
2000-01-10,95.5,97.5,95.5,97.5,686600,12.043
2000-01-11,98.5,98.5,95.5,97.0,585800,11.981
2000-01-12,96.0,97.0,95.0,97.0,611800,11.981
2000-01-13,97.0,99.5,96.0,99.0,1679600,12.228
2000-01-14,101.0,102.5,99.5,102.5,1363700,12.66
2000-01-17,104.5,105.5,103.5,104.5,1315700,12.907
2000-01-18,105.0,105.5,101.5,103.0,436800,12.722
2000-01-19,103.0,103.0,100.0,101.5,425000,12.537
2000-01-20,102.0,102.5,99.0,99.5,308400,12.29
2000-01-21,99.5,100.0,97.5,99.5,541100,12.29
2000-01-24,100.0,101.0,98.5,100.0,600500,12.352
2000-01-25,99.0,100.0,98.0,99.5,522200,12.29
2000-01-26,100.0,100.5,98.5,98.5,569000,12.166
2000-01-27,99.0,100.0,98.5,100.0,551000,12.352
2000-01-28,100.0,101.5,98.5,100.0,520500,12.352
2000-01-31,100.0,102.0,98.0,99.0,1355100,12.228
2000-02-01,100.0,101.0,97.0,97.0,575300,11.981
2000-02-02,98.5,99.0,96.0,98.0,540800,12.105
2000-02-03,98.5,100.0,98.0,99.5,1793200,12.29
2000-02-04,100.0,100.0,97.5,98.5,266300,12.166
2000-02-07,98.5,99.0,96.5,96.5,460500,11.919
2000-02-08,97.0,97.5,96.0,96.5,372700,11.919
2000-02-09,97.5,100.0,96.0,97.0,971200,11.981
2000-02-10,98.0,98.5,96.5,98.0,322000,12.105
2000-02-11,97.5,98.5,95.0,95.0,245300,11.734
2000-02-14,94.5,94.5,92.0,93.5,311700,11.549
2000-02-15,93.5,94.5,92.5,93.5,333100,11.549
2000-02-16,93.5,94.5,92.5,93.0,222200,11.487
2000-02-17,92.5,93.5,91.0,91.5,357900,11.302
2000-02-18,92.0,92.5,90.0,91.0,255500,11.24
2000-02-21,90.0,95.0,89.0,95.0,310100,11.734
2000-02-22,95.0,95.0,91.0,91.0,282900,11.24
2000-02-23,93.0,93.0,90.0,90.0,127700,11.116
2000-02-24,91.0,92.0,90.0,91.5,257700,11.302
2000-02-25,91.0,92.0,90.0,90.5,278200,11.178
2000-02-28,90.5,91.5,90.5,91.0,422600,11.24
2000-02-29,91.5,92.5,90.0,91.0,372500,11.24
2000-03-01,92.0,92.5,90.5,91.0,220200,11.24
2000-03-02,92.0,95.0,91.5,95.0,317600,11.734
2000-03-03,95.0,95.0,93.0,94.0,285600,11.611
2000-03-06,95.0,95.0,92.5,93.0,373000,11.487
2000-03-07,94.0,95.0,94.0,95.0,394100,11.734
2000-03-08,94.0,94.0,90.0,90.5,483400,11.178
2000-03-09,91.5,92.5,91.0,91.0,285000,11.24
2000-03-10,92.0,92.5,91.0,92.0,678400,11.364
2000-03-13,92.0,92.0,91.0,91.0,258900,11.24
2000-03-14,92.0,93.0,91.5,93.0,233400,11.487
2000-03-15,92.5,93.5,91.5,91.5,432200,11.302
2000-03-16,92.5,95.0,92.0,94.0,773500,11.611
2000-03-17,96.0,99.0,95.5,98.0,617100,12.105
2000-03-20,99.0,100.0,95.5,96.5,456100,11.919
2000-03-21,96.0,96.0,93.0,94.0,489400,11.611
2000-03-22,95.0,96.0,95.0,95.5,184200,11.796
2000-03-23,96.0,98.0,95.5,96.5,209600,11.919
2000-03-24,96.0,97.5,95.5,97.0,452900,11.981
2000-03-27,96.0,96.5,94.0,96.0,129600,11.858
2000-03-28,96.0,97.0,94.5,94.5,194000,11.672
2000-03-29,94.0,95.0,92.0,92.0,151400,11.364
2000-03-30,92.0,93.0,90.0,91.5,171100,11.302
2000-03-31,90.0,91.0,89.5,90.0,341700,11.116
2000-04-03,91.0,92.0,90.0,91.0,203000,11.24
2000-04-04,92.0,92.5,91.5,92.0,462400,11.364
2000-04-05,92.5,93.0,90.0,90.0,559500,11.116
2000-04-06,91.5,92.0,91.0,91.5,191900,11.302
2000-04-07,92.0,92.0,90.5,91.0,99400,11.24
2000-04-10,92.0,92.0,91.0,91.5,344400,11.302
2000-04-11,91.0,93.5,91.0,92.0,393800,11.364
2000-04-12,92.5,93.5,92.5,93.0,378100,11.487
2000-04-13,92.5,92.5,91.0,91.0,902700,11.24
2000-04-14,92.0,92.0,90.0,90.5,700900,11.178
2000-04-17,88.0,88.5,85.5,87.5,587900,10.808
2000-04-18,88.0,90.0,88.0,88.5,59000,10.931
2000-04-19,89.5,89.5,88.0,89.5,170000,11.055
2000-04-20,88.0,89.5,88.0,89.5,62500,11.055
2000-04-21,89.5,89.5,89.5,89.5,0,11.055
2000-04-24,89.5,89.5,89.5,89.5,0,11.055
2000-04-25,89.0,92.0,88.0,91.5,354600,11.302
2000-04-26,90.5,93.0,87.0,91.0,888000,11.24
2000-04-27,86.0,87.0,85.0,85.5,397400,12.481
2000-04-28,85.0,85.5,82.0,83.0,662900,12.116
2000-05-01,83.0,83.0,83.0,83.0,0,12.116
2000-05-02,84.0,85.0,82.5,83.0,290900,12.116
2000-05-03,83.0,83.0,81.0,82.0,270400,11.97
2000-05-04,81.5,82.0,80.0,82.0,399100,11.97
2000-05-05,82.0,82.5,81.0,82.0,1534100,11.97
2000-05-08,82.0,84.0,81.5,83.0,272200,12.116
2000-05-09,83.0,83.0,83.0,83.0,0,12.116
2000-05-10,82.5,83.0,82.0,82.5,133500,12.043
2000-05-11,82.0,83.5,82.0,82.5,117700,12.043
2000-05-12,82.0,82.5,82.0,82.5,936600,12.043
2000-05-15,82.5,83.5,82.0,82.5,155600,12.043
2000-05-16,82.5,82.5,82.5,82.5,0,12.043
2000-05-17,83.0,83.5,82.5,82.5,278400,12.043
2000-05-18,82.5,83.0,82.5,83.0,232000,12.116
2000-05-19,83.0,83.0,82.5,83.0,250800,12.116
2000-05-22,83.0,84.5,82.5,84.0,854900,12.262
2000-05-23,84.0,85.0,84.0,84.5,223900,12.335
2000-05-24,84.0,84.5,83.0,84.0,918700,12.262
2000-05-25,84.0,84.5,83.0,84.0,212000,12.262
2000-05-26,83.5,84.0,83.5,83.5,49200,12.189
2000-05-29,84.0,84.0,82.0,83.5,287200,12.189
2000-05-30,83.5,84.0,82.5,83.5,102200,12.189
2000-05-31,83.5,84.5,82.5,83.0,62700,12.116
2000-06-01,83.0,83.0,83.0,83.0,0,12.116
2000-06-02,83.5,84.0,81.5,83.0,123300,12.116
2000-06-05,82.5,82.5,81.0,82.0,106800,11.97
2000-06-06,82.0,82.5,81.0,82.0,343700,11.97
2000-06-07,82.0,84.5,82.0,83.5,372800,12.189
2000-06-08,83.5,83.5,81.5,82.5,131800,12.043
