Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,295.0,308.5,295.0,300.0,2667200,63.067
2000-01-04,297.0,298.0,285.0,288.0,3065300,60.545
2000-01-05,288.0,288.0,288.0,288.0,0,60.545
2000-01-06,288.0,288.0,288.0,288.0,0,60.545
2000-01-07,272.0,290.0,272.0,277.0,2571700,58.232
2000-01-10,285.0,299.5,285.0,286.0,2007000,60.124
2000-01-11,290.0,308.0,287.5,308.0,3824100,64.749
2000-01-12,303.0,308.0,296.5,308.0,3244700,64.749
2000-01-13,309.5,319.5,304.5,315.0,2875600,66.221
2000-01-14,320.0,320.0,307.0,310.0,2247600,65.169
2000-01-17,315.0,321.0,315.0,321.0,2341100,67.482
2000-01-18,319.5,327.0,316.5,324.0,1997200,68.113
2000-01-19,320.0,320.0,306.0,312.5,2834300,65.695
2000-01-20,313.0,320.0,312.0,315.0,2210500,66.221
2000-01-21,313.0,326.0,310.0,321.0,2195400,67.482
2000-01-24,323.0,326.0,316.5,319.5,2423900,67.167
2000-01-25,315.0,332.5,312.0,331.0,4017200,69.584
2000-01-26,334.0,340.0,330.0,331.5,3116800,69.689
2000-01-27,330.5,339.5,303.0,313.5,8715000,65.905
2000-01-28,307.5,307.5,284.0,285.0,12002300,59.914
2000-01-31,287.0,287.0,270.0,270.0,9392900,56.761
2000-02-01,275.0,288.5,262.0,288.5,20861100,60.65
2000-02-02,290.0,293.0,277.5,286.0,7196600,60.124
2000-02-03,284.0,284.0,274.0,274.0,3738700,57.601
2000-02-04,275.0,280.0,263.0,269.0,7601400,56.55
2000-02-07,269.0,272.0,260.5,263.0,4027800,55.289
2000-02-08,268.0,278.0,263.5,277.0,3984400,58.232
2000-02-09,280.5,287.0,277.0,277.0,5533300,58.232
2000-02-10,277.0,282.0,271.0,277.5,3411000,58.337
2000-02-11,280.0,285.0,274.0,283.5,3215300,59.599
2000-02-14,283.0,296.5,282.0,292.0,3186300,61.385
2000-02-15,293.0,296.0,280.5,282.0,3703000,59.283
2000-02-16,283.0,289.5,281.5,285.0,3563600,59.914
2000-02-17,285.0,285.5,280.0,283.0,3366900,59.493
2000-02-18,280.0,281.0,273.5,277.5,3287100,58.337
2000-02-21,273.0,279.0,273.0,275.0,2039700,57.812
2000-02-22,275.0,275.0,269.0,270.5,5610500,56.866
2000-02-23,270.0,277.0,265.5,267.5,3637300,56.235
2000-02-24,270.5,291.0,270.0,286.5,8591700,60.229
2000-02-25,290.0,297.0,284.5,291.5,3031900,61.28
2000-02-28,291.5,294.0,286.0,290.0,1880100,60.965
2000-02-29,290.0,292.0,285.0,289.5,1682400,60.86
2000-03-01,292.0,308.0,292.0,303.0,4177000,63.698
2000-03-02,309.0,327.0,303.5,326.0,5191000,68.533
2000-03-03,326.0,342.0,322.0,326.0,3710600,68.533
2000-03-06,331.0,343.0,235.0,333.0,4084000,70.005
2000-03-07,335.0,335.5,323.0,329.0,3412200,69.164
2000-03-08,318.0,319.0,300.5,305.0,6198600,64.118
2000-03-09,310.0,317.5,309.0,309.0,3414200,64.959
2000-03-10,316.0,317.0,311.5,315.0,1671800,66.221
2000-03-13,315.0,315.0,315.0,315.0,0,66.221
2000-03-14,302.0,309.0,300.5,304.0,1975100,63.908
2000-03-15,305.0,306.0,300.0,303.5,1753200,63.803
2000-03-16,308.0,312.0,304.0,306.0,2090700,64.329
2000-03-17,313.0,321.0,307.0,310.5,1882100,65.275
2000-03-20,320.0,333.5,317.0,328.5,4296400,69.059
2000-03-21,333.0,338.0,328.0,332.0,7506900,69.794
