Date,Open,High,Low,Close,Volume,Adj Close
2001-09-06,5.88394,5.88394,4.78693,5.18584,9221100,5.18584
2001-09-07,5.3853,5.3853,5.08611,5.18584,1340500,5.18584
2001-09-10,5.33543,5.3853,5.23571,5.33543,766800,5.33543
2001-09-11,5.43516,5.43516,4.98639,5.03625,672500,5.03625
2001-09-12,5.03625,5.13598,4.48775,5.03625,529100,5.03625
2001-09-13,5.03625,5.08611,4.6872,4.97641,390300,4.97641
2001-09-14,4.88666,4.88666,4.6872,4.6872,292800,4.6872
2001-09-17,4.48775,4.48775,3.88938,3.93925,534100,3.93925
2001-09-18,3.98911,3.98911,3.64006,3.97914,355600,3.97914
2001-09-19,3.98911,3.98911,3.88938,3.98911,492300,3.98911
2001-09-20,3.88938,3.98911,3.44061,3.5902,490500,3.5902
2001-09-21,3.5902,3.5902,3.24115,3.54033,884800,3.54033
2001-09-24,3.98911,3.98911,3.78965,3.88938,168400,3.88938
2001-09-25,3.96916,3.96916,3.78965,3.88938,63100,3.88938
2001-09-26,3.81957,3.92927,3.78965,3.78965,326600,3.78965
2001-09-27,3.93925,3.93925,3.75974,3.78965,189700,3.78965
2001-10-01,3.88938,4.08884,3.83952,3.95919,1254600,3.95919
2001-10-02,3.96916,3.98911,3.90933,3.98911,393500,3.98911
2001-10-03,4.03897,4.03897,3.93925,4.03897,419800,4.03897
2001-10-04,4.08884,4.78693,4.08884,4.53761,1446500,4.53761
2001-10-05,4.78693,5.83407,4.78693,5.03625,496500,5.03625
2001-10-08,5.3853,5.3853,4.98639,5.28557,226100,5.28557
2001-10-09,5.18584,5.63462,4.98639,5.3853,175100,5.3853
2001-10-10,5.48503,5.58475,5.3853,5.58475,90900,5.58475
2001-10-11,5.63462,5.73435,5.53489,5.58475,182000,5.58475
2001-10-12,5.68448,5.88394,5.48503,5.58475,211200,5.58475
2001-10-15,5.63462,5.73435,5.63462,5.68448,404300,5.68448
2001-10-17,5.9338,5.9338,5.68448,5.88394,113800,5.88394
2001-10-18,5.78421,5.78421,5.48503,5.73435,366400,5.73435
2001-10-19,5.88394,5.88394,5.48503,5.68448,299900,5.68448
2001-10-22,5.68448,5.73435,5.48503,5.53489,328100,5.53489
2001-10-23,4.96644,4.96644,4.23843,4.29827,129900,4.29827
2001-10-24,4.30824,4.38802,4.23843,4.28829,118700,4.28829
2001-10-25,4.37805,4.37805,4.28829,4.28829,34400,4.28829
2001-10-29,4.48775,4.6872,4.48775,4.56753,98400,4.56753
2001-10-30,4.56753,4.56753,4.44786,4.47778,54000,4.47778
2001-10-31,4.4678,4.48775,4.33816,4.38802,104300,4.38802
2001-11-01,4.38802,4.39799,3.98911,4.08884,96800,4.08884
2001-11-02,4.09881,4.18857,3.98911,4.08884,112400,4.08884
2001-11-05,4.08884,4.23843,3.93925,3.97914,115200,3.97914
2001-11-06,3.96916,3.98911,3.78965,3.79963,124400,3.79963
2001-11-07,3.96916,3.96916,3.5902,3.63009,200800,3.63009
2001-11-08,3.63009,3.78965,3.63009,3.73979,300800,3.73979
2001-11-09,3.78965,3.88938,3.73979,3.78965,269800,3.78965
2001-11-12,3.93925,3.93925,3.66998,3.6999,451700,3.6999
2001-11-13,3.71984,3.82955,3.68993,3.75974,392300,3.75974
2001-11-14,3.88938,4.08884,3.83952,4.06889,655200,4.06889
2001-11-15,4.14867,4.48775,4.1387,4.48775,478600,4.48775
2001-11-16,4.48775,4.48775,4.08884,4.17859,215100,4.17859
2001-11-19,4.08884,4.38802,3.98911,4.1387,249900,4.1387
2001-11-20,4.18857,4.28829,4.1387,4.23843,118600,4.23843
2001-11-21,4.30824,4.33816,4.23843,4.23843,132600,4.23843
2001-11-22,4.37805,4.38802,4.2484,4.38802,84200,4.38802
2001-11-23,4.38802,4.58748,4.38802,4.53761,365400,4.53761
2001-11-26,4.58748,4.6872,4.48775,4.59745,309700,4.59745
2001-11-27,4.58748,4.58748,4.28829,4.38802,356500,4.38802
2001-11-28,4.48775,4.53761,4.43788,4.43788,182800,4.43788
2001-11-29,4.48775,4.53761,4.45783,4.48775,141000,4.48775
2001-11-30,4.48775,4.53761,4.4678,4.48775,92200,4.48775
2001-12-03,4.48775,4.53761,4.33816,4.48775,150400,4.48775
2001-12-04,4.43788,4.48775,4.03897,4.45783,475400,4.45783
2001-12-05,4.45783,4.53761,4.43788,4.48775,167000,4.48775
2001-12-06,4.50769,4.58748,4.38802,4.48775,657300,4.48775
2001-12-07,4.53761,4.53761,4.43788,4.53761,208300,4.53761
2001-12-10,4.41794,4.48775,4.38802,4.38802,156900,4.38802
2001-12-11,4.43788,4.48775,4.33816,4.41794,155800,4.41794
2001-12-12,4.48775,4.48775,4.32818,4.38802,219900,4.38802
2001-12-13,4.34813,4.40797,4.34813,4.40797,273200,4.40797
2001-12-14,4.48775,4.48775,4.30824,4.43788,252700,4.43788
2001-12-17,4.33816,4.33816,4.18857,4.28829,298800,4.28829
2001-12-18,4.28829,4.28829,4.08884,4.23843,265300,4.23843
2001-12-19,4.23843,4.23843,4.10878,4.1387,234800,4.1387
2001-12-20,4.18857,4.23843,4.09881,4.23843,497000,4.23843
2001-12-21,4.23843,4.23843,3.98911,4.10878,651000,4.10878
2001-12-27,4.1387,4.23843,4.10878,4.23843,393600,4.23843
2001-12-28,4.23843,4.23843,4.1387,4.23843,699000,4.23843
2002-01-02,4.33816,4.33816,4.18857,4.18857,247000,4.18857
2002-01-03,4.19854,4.38802,4.18857,4.28829,384600,4.28829
2002-01-04,4.23843,4.25837,4.21848,4.23843,456300,4.23843
2002-01-07,4.18857,4.18857,4.06889,4.16862,575100,4.16862
2002-01-08,4.18857,4.23843,4.10878,4.23843,1222600,4.23843
2002-01-09,4.18857,4.28829,4.1387,4.23843,487600,4.23843
2002-01-10,4.21848,4.23843,4.10878,4.15865,365800,4.15865
2002-01-11,4.18857,4.23843,4.15865,4.22846,641300,4.22846
2002-01-14,4.18857,4.23843,4.16862,4.18857,596600,4.18857
2002-01-15,4.18857,4.18857,4.15865,4.16862,202700,4.16862
2002-01-16,4.16862,4.23843,4.15865,4.17859,1012700,4.17859
2002-01-17,4.18857,4.23843,4.1387,4.16862,452100,4.16862
2002-01-18,4.16862,4.18857,4.1387,4.16862,461600,4.16862
2002-01-21,4.16862,4.18857,4.1387,4.15865,534500,4.15865
2002-01-22,3.88938,4.08884,3.62012,3.73979,1002500,3.73979
2002-01-23,3.93925,4.029,3.84949,3.93925,333200,3.93925
2002-01-24,4.00906,4.00906,3.88938,3.9193,124200,3.9193
2002-01-25,3.93925,3.98911,3.86944,3.98911,243200,3.98911
2002-01-28,3.64006,3.64006,2.8921,3.29102,1352900,3.29102
2002-01-29,3.29102,3.33091,3.09156,3.29102,304300,3.29102
2002-01-30,3.33091,3.81957,3.19129,3.81957,288200,3.81957
2002-01-31,3.83952,3.96916,3.64006,3.64006,204800,3.64006
2002-02-01,3.68993,3.98911,3.64006,3.98911,814900,3.98911
2002-02-04,3.98911,4.01903,3.60017,3.88938,511200,3.88938
2002-02-05,3.98911,3.98911,3.64006,3.64006,322300,3.64006
2002-02-06,3.78965,3.88938,3.53036,3.88938,432200,3.88938
2002-02-07,3.83952,3.87941,3.78965,3.79963,145500,3.79963
2002-02-08,3.78965,3.94922,3.78965,3.88938,227500,3.88938
2002-02-11,3.88938,3.98911,3.76971,3.94922,210600,3.94922
2002-02-12,3.97914,3.98911,3.85946,3.88938,294000,3.88938
2002-02-13,3.96916,3.97914,3.92927,3.95919,69100,3.95919
2002-02-14,3.98911,3.98911,3.9193,3.92927,188400,3.92927
2002-02-15,3.98911,3.98911,3.65004,3.97914,387400,3.97914
2002-02-18,3.96916,3.96916,3.79963,3.8096,0,3.8096
2002-02-19,3.78965,3.90933,3.68993,3.90933,0,3.90933
2002-02-20,3.90933,3.93925,3.86944,3.88938,0,3.88938
2002-02-21,3.88938,3.92927,3.73979,3.75974,0,3.75974
2002-02-22,3.73979,3.77968,3.5902,3.71984,0,3.71984
2002-02-25,3.68993,3.72982,3.49047,3.71984,0,3.71984
2002-02-26,3.5902,3.64006,3.5902,3.61014,0,3.61014
2002-02-27,3.73979,3.73979,3.64006,3.64006,0,3.64006
2002-02-28,3.64006,3.68993,3.4805,3.49047,0,3.49047
2002-03-01,3.52039,3.5902,3.49047,3.54033,0,3.54033
2002-03-04,3.5902,3.77968,3.49047,3.49047,0,3.49047
2002-03-05,3.68993,3.68993,3.56028,3.63009,0,3.63009
2002-03-06,3.71984,3.71984,3.62012,3.63009,0,3.63009
2002-03-07,3.5902,3.67995,3.57025,3.57025,0,3.57025
2002-03-08,3.64006,3.66001,3.51042,3.64006,0,3.64006
2002-03-11,3.72982,3.78965,3.70987,3.78965,0,3.78965
2002-03-12,3.78965,3.78965,3.64006,3.77968,0,3.77968
2002-03-13,3.78965,3.78965,3.68993,3.73979,0,3.73979
2002-03-14,3.76971,3.76971,3.5902,3.64006,0,3.64006
2002-03-15,3.68993,3.68993,3.49047,3.54033,0,3.54033
2002-03-18,3.53036,3.63009,3.50044,3.63009,0,3.63009
2002-03-19,3.49047,3.57025,3.34088,3.4805,0,3.4805
2002-03-20,3.49047,3.49047,3.19129,3.19129,0,3.19129
2002-03-21,3.14142,3.42066,3.14142,3.30099,0,3.30099
2002-03-22,3.34088,3.34088,3.25112,3.2611,0,3.2611
2002-03-25,3.2611,3.39074,3.19129,3.21123,0,3.21123
2002-03-26,3.21123,3.21123,2.99183,3.13145,0,3.13145
2002-03-27,3.23118,3.23118,3.14142,3.19129,0,3.19129
2002-04-02,3.66001,3.66001,3.57025,3.5902,358100,3.5902
2002-04-03,3.68993,3.72982,3.58023,3.58023,325700,3.58023
2002-04-04,3.77968,3.77968,3.63009,3.66998,115000,3.66998
2002-04-05,3.67995,3.67995,3.62012,3.62012,32000,3.62012
2002-04-08,3.62012,3.62012,3.4805,3.4805,77300,3.4805
2002-04-09,3.46055,3.58023,3.43063,3.49047,36900,3.49047
2002-04-10,3.54033,3.54033,3.45058,3.45058,36000,3.45058
2002-04-11,3.44061,3.49047,3.34088,3.36082,73100,3.36082
2002-04-12,3.34088,3.39074,3.28104,3.3708,87800,3.3708
2002-04-15,3.25112,3.35085,3.19129,3.35085,290900,3.35085
2002-04-16,3.39074,3.5902,3.39074,3.5902,286700,3.5902
2002-04-17,3.5902,3.64006,3.58023,3.5902,101900,3.5902
2002-04-18,3.66001,3.66001,3.56028,3.60017,160300,3.60017
2002-04-19,3.65004,3.65004,3.54033,3.57025,65100,3.57025
2002-04-22,3.56028,3.56028,3.44061,3.4805,450500,3.4805
2002-04-23,3.54033,3.61014,3.4805,3.61014,2114200,3.61014
2002-04-24,3.61014,3.61014,3.52039,3.5902,3167000,3.5902
2002-04-25,3.5902,3.74976,3.54033,3.68993,429100,3.68993
2002-04-26,3.68993,3.76971,3.64006,3.67995,188100,3.67995
2002-04-29,3.67995,3.67995,3.49047,3.5902,321700,3.5902
2002-04-30,3.60017,3.64006,3.5902,3.64006,251800,3.64006
2002-05-02,3.67995,3.93925,3.64006,3.73979,613800,3.73979
2002-05-03,3.78965,3.99908,3.74976,3.84949,1030000,3.84949
2002-05-06,3.98911,4.05892,3.79963,3.88938,106800,3.88938
2002-05-07,3.83952,3.93925,3.78965,3.81957,164800,3.81957
2002-05-08,3.8096,3.97914,3.78965,3.78965,183000,3.78965
2002-05-10,3.67995,3.98911,3.67995,3.98911,236300,3.98911
2002-05-13,3.98911,3.98911,3.83952,3.98911,451200,3.98911
2002-05-14,3.97914,4.08884,3.84949,4.08884,189600,4.08884
2002-05-15,4.04895,4.1387,3.94922,3.94922,172000,3.94922
2002-05-16,3.94922,3.98911,3.89935,3.89935,27500,3.89935
2002-05-17,3.93925,4.18857,3.88938,4.03897,464900,4.03897
2002-05-21,3.93925,4.03897,3.93925,4.03897,64500,4.03897
2002-05-22,3.96916,3.98911,3.79963,3.83952,269700,3.83952
2002-05-23,3.93925,4.23843,3.93925,4.22846,883300,4.22846
2002-05-24,4.23843,4.27832,4.18857,4.23843,620000,4.23843
2002-05-27,4.23843,4.36808,4.23843,4.36808,585100,4.36808
2002-05-28,4.37805,4.67723,4.33816,4.5775,1017500,4.5775
2002-05-29,4.58748,4.63734,4.54759,4.58748,786600,4.58748
2002-05-30,4.58748,4.58748,4.38802,4.48775,480300,4.48775
2002-05-31,4.48775,4.62737,4.40797,4.62737,846400,4.62737
2002-06-03,4.62737,4.73707,4.58748,4.69718,1026100,4.69718
2002-06-04,4.6872,4.6872,4.58748,4.65729,811000,4.65729
2002-06-05,4.63734,4.6872,4.48775,4.48775,859100,4.48775
2002-06-06,4.58748,4.58748,4.44786,4.56753,473800,4.56753
2002-06-07,4.48775,4.53761,4.33816,4.48775,895400,4.48775
2002-06-10,4.48775,4.51767,4.33816,4.48775,1455200,4.48775
2002-06-11,4.48775,4.48775,4.40797,4.47778,896700,4.47778
2002-06-12,4.39799,4.47778,4.39799,4.4678,660500,4.4678
2002-06-13,4.40797,4.53761,4.39799,4.48775,854700,4.48775
2002-06-14,4.47778,4.88666,4.44786,4.7271,2169500,4.7271
2002-06-17,4.7271,4.7271,4.47778,4.48775,79800,4.48775
2002-06-18,4.48775,4.58748,4.48775,4.56753,73400,4.56753
2002-06-19,4.63734,4.63734,4.48775,4.48775,186500,4.48775
2002-06-20,4.65729,4.67723,4.48775,4.54759,1547200,4.54759
2002-06-25,3.68993,4.23843,3.68993,4.08884,172300,4.08884
2002-06-26,3.93925,3.98911,3.68993,3.98911,172500,3.98911
2002-06-27,4.26835,4.38802,4.08884,4.37805,122200,4.37805
2002-06-28,4.28829,4.48775,4.28829,4.38802,255700,4.38802
2002-07-01,4.38802,4.38802,4.18857,4.33816,120100,4.33816
2002-07-02,4.33816,4.43788,4.33816,4.43788,166100,4.43788
2002-07-03,4.43788,4.43788,4.1387,4.18857,189600,4.18857
2002-07-04,4.42791,4.53761,4.42791,4.48775,401900,4.48775
2002-07-05,4.54759,4.7271,4.53761,4.70715,368600,4.70715
2002-07-08,4.73707,5.18584,4.7271,5.03625,385600,5.03625
2002-07-09,5.13598,5.13598,4.97641,5.13598,250800,5.13598
2002-07-10,5.08611,5.08611,4.78693,4.97641,791100,4.97641
2002-07-11,4.9066,4.98639,4.88666,4.97641,112300,4.97641
2002-07-12,4.97641,4.98639,4.88666,4.98639,319500,4.98639
2002-07-15,4.88666,5.03625,4.8368,4.98639,144000,4.98639
2002-07-16,4.98639,5.08611,4.98639,5.03625,214000,5.03625
2002-07-17,5.08611,5.78421,5.08611,5.58475,640300,5.58475
2002-07-18,5.48503,6.13326,5.48503,6.08339,907400,6.08339
2002-07-19,6.08339,6.08339,5.78421,5.98366,376200,5.98366
2002-07-22,5.98366,6.13326,5.3853,5.9338,678700,5.9338
2002-07-23,5.98366,5.98366,5.23571,5.58475,323500,5.58475
2002-07-24,5.3853,5.3853,4.8368,5.13598,504100,5.13598
2002-07-25,5.48503,5.63462,5.08611,5.48503,352100,5.48503
2002-07-26,5.48503,5.58475,5.28557,5.48503,248900,5.48503
2002-07-29,5.48503,5.48503,5.18584,5.28557,110000,5.28557
2002-07-30,5.3853,5.58475,5.3853,5.58475,174700,5.58475
2002-07-31,5.43516,5.68448,5.43516,5.48503,616900,5.48503
2002-08-01,5.48503,5.63462,5.48503,5.58475,73900,5.58475
2002-08-02,5.58475,5.73435,5.48503,5.73435,183300,5.73435
2002-08-05,5.68448,5.88394,5.58475,5.63462,223200,5.63462
2002-08-06,5.53489,5.83407,5.48503,5.73435,269400,5.73435
2002-08-07,5.78421,5.78421,5.23571,5.48503,109000,5.48503
2002-08-08,5.3853,5.73435,5.28557,5.68448,149100,5.68448
2002-08-09,5.53489,5.78421,5.53489,5.78421,243500,5.78421
2002-08-12,5.73435,5.73435,5.63462,5.73435,71600,5.73435
2002-08-13,5.78421,5.78421,5.68448,5.78421,158400,5.78421
2002-08-14,5.73435,5.83407,5.68448,5.83407,279300,5.83407
2002-08-15,5.83407,6.08339,5.83407,6.08339,332700,6.08339
2002-08-16,5.9338,6.13326,5.9338,6.13326,488500,6.13326
2002-08-19,6.08339,6.13326,5.9338,5.9338,197900,5.9338
2002-08-20,6.08339,6.08339,5.88394,6.08339,176400,6.08339
2002-08-21,6.03353,6.08339,5.88394,6.03353,281700,6.03353
2002-08-22,6.03353,6.4823,5.98366,6.4823,440100,6.4823
2002-08-23,6.4823,6.93108,6.4823,6.73162,522300,6.73162
2002-08-26,6.73162,6.98094,6.4823,6.88121,445000,6.88121
2002-08-27,6.88121,6.88121,6.68176,6.83135,247000,6.83135
2002-08-28,6.68176,6.78149,6.68176,6.78149,214000,6.78149
2002-08-29,6.78149,6.78149,6.4823,6.4823,246000,6.4823
2002-08-30,6.4823,6.58203,6.4823,6.53217,143400,6.53217
2002-09-02,6.53217,6.63189,6.33271,6.58203,164400,6.58203
2002-09-03,6.28285,6.28285,5.3853,5.3853,420800,5.3853
2002-09-04,5.3853,6.08339,5.18584,6.08339,749700,6.08339
2002-09-05,6.08339,6.33271,5.98366,6.08339,186900,6.08339
2002-09-06,5.98366,6.08339,5.98366,6.08339,693800,6.08339
2002-09-09,6.13326,6.23298,6.03353,6.03353,97200,6.03353
2002-09-10,6.18312,6.18312,6.03353,6.08339,31900,6.08339
2002-09-11,6.03353,6.13326,5.98366,6.13326,115800,6.13326
2002-09-12,6.03353,6.08339,5.98366,5.98366,99900,5.98366
2002-09-13,5.98366,6.03353,5.98366,5.98366,120100,5.98366
2002-09-16,5.98366,6.08339,5.83407,5.98366,153400,5.98366
2002-09-17,5.98366,5.98366,5.78421,5.83407,378600,5.83407
2002-09-18,5.88394,6.08339,5.58475,6.08339,316300,6.08339
2002-09-19,6.08339,6.08339,5.48503,5.48503,185600,5.48503
2002-09-20,5.73435,6.18312,5.23571,6.18312,828200,6.18312
2002-09-23,6.18312,6.18312,5.78421,5.78421,290100,5.78421
2002-09-24,5.98366,6.08339,5.78421,5.78421,401500,5.78421
2002-09-25,5.98366,6.08339,5.98366,5.98366,215800,5.98366
2002-09-26,6.08339,6.08339,5.88394,5.98366,192800,5.98366
2002-09-27,5.98366,6.08339,5.98366,5.98366,327500,5.98366
