Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,420.0,435.0,417.0,420.0,185200,307.35
2000-01-04,415.0,415.0,375.0,395.0,410200,289.05
2000-01-05,395.0,395.0,395.0,395.0,0,289.05
2000-01-06,395.0,395.0,395.0,395.0,0,289.05
2000-01-07,350.0,385.0,350.0,372.0,272800,272.22
2000-01-10,390.0,412.0,378.0,407.0,151100,297.84
2000-01-11,425.0,428.0,397.0,405.0,285200,296.37
2000-01-12,398.0,398.0,384.0,389.0,203200,284.66
2000-01-13,395.0,395.0,386.0,389.0,230800,284.66
2000-01-14,402.0,424.0,399.0,421.0,262300,308.08
2000-01-17,429.0,445.0,421.0,439.0,231900,321.25
2000-01-18,439.0,445.0,425.0,438.5,101200,320.89
2000-01-19,442.0,448.0,438.0,444.0,157800,324.91
2000-01-20,450.0,468.0,446.0,458.0,175200,335.16
2000-01-21,460.0,475.0,457.0,463.0,151200,338.82
2000-01-24,470.0,479.0,466.0,475.0,86300,347.6
2000-01-25,470.0,470.0,450.0,458.0,305700,335.16
2000-01-26,470.0,470.0,455.0,463.0,67200,338.82
2000-01-27,460.0,469.0,442.0,442.0,74900,323.45
2000-01-28,445.0,464.0,421.0,430.0,92200,314.67
2000-01-31,424.0,430.0,410.0,411.0,53900,300.76
2000-02-01,415.0,440.0,415.0,415.0,290000,303.69
2000-02-02,420.0,429.0,415.0,425.0,166000,311.01
2000-02-03,440.0,462.0,430.0,457.5,165100,334.79
2000-02-04,457.0,469.0,450.0,452.0,300600,330.77
2000-02-07,470.0,476.0,452.0,475.0,140900,347.6
2000-02-08,478.0,478.0,445.0,450.0,100200,329.3
2000-02-09,450.0,470.0,435.0,458.0,108400,335.16
2000-02-10,444.0,453.0,428.0,438.5,88800,320.89
2000-02-11,441.0,460.0,440.0,453.0,60600,331.5
2000-02-14,450.0,463.0,438.0,459.0,126600,335.89
2000-02-15,460.0,469.0,441.0,445.0,152300,325.64
2000-02-16,456.5,465.0,431.0,440.0,391400,321.98
2000-02-17,430.0,433.0,420.0,424.0,136900,310.28
2000-02-18,429.5,434.0,410.0,420.0,370400,307.35
2000-02-21,377.0,425.0,377.0,418.0,618500,305.89
2000-02-22,410.0,410.0,386.0,402.0,568300,294.18
2000-02-23,420.0,437.0,420.0,428.0,558600,313.2
2000-02-24,432.0,440.0,424.0,432.0,303300,316.13
2000-02-25,440.0,448.0,436.0,442.0,103400,323.45
2000-02-28,445.0,457.0,442.0,448.5,192000,328.2
2000-02-29,450.0,462.0,450.0,456.0,183700,333.69
2000-03-01,463.0,482.0,463.0,465.0,104700,340.28
2000-03-02,485.0,555.0,485.0,550.0,267300,402.48
2000-03-03,540.0,600.0,540.0,600.0,212600,439.07
2000-03-06,600.0,605.0,575.0,595.0,246200,435.41
2000-03-07,598.0,598.0,552.0,560.0,175200,409.8
2000-03-08,555.0,585.0,545.0,565.0,131000,413.46
2000-03-09,592.0,592.0,548.0,560.0,66100,409.8
2000-03-10,565.0,585.0,562.0,585.0,129700,428.09
2000-03-13,585.0,585.0,585.0,585.0,0,428.09
2000-03-14,540.0,549.0,525.0,525.0,142900,384.19
2000-03-15,520.0,530.0,490.0,491.0,104700,359.31
2000-03-16,480.0,485.0,460.5,484.0,35600,354.18
2000-03-17,495.0,518.0,495.0,495.0,118200,362.23
2000-03-20,510.0,530.0,510.0,518.0,93100,379.06
2000-03-21,524.0,524.0,492.0,499.0,203600,365.16
2000-03-22,525.0,525.0,485.0,492.0,125500,360.04
2000-03-23,502.0,502.0,432.0,432.0,142200,316.13
2000-03-24,438.0,467.0,438.0,460.0,268000,336.62
2000-03-27,480.0,480.0,450.0,455.0,59500,332.96
2000-03-28,473.5,479.0,455.0,465.0,74300,340.28
