Date,Open,High,Low,Close,Volume,Adj Close
2007-06-04,194.5,197.0,194.5,197.0,816500,189.74
2007-06-05,197.5,197.75,194.5,194.5,600800,187.33
2007-06-07,196.25,196.5,192.25,192.75,698800,185.65
2007-06-08,192.0,196.0,189.75,196.0,831200,188.78
2007-06-11,197.0,198.0,195.5,197.5,430500,190.22
2007-06-12,197.0,198.5,194.5,195.5,726100,188.3
2007-06-13,195.5,197.5,193.75,197.0,1032400,189.74
2007-06-14,199.5,202.0,199.0,201.5,466900,194.07
2007-06-15,202.5,204.75,202.0,204.75,746300,197.2
2007-06-18,204.25,206.25,201.5,201.75,1605400,194.31
2007-06-19,202.75,203.0,198.5,200.0,571000,192.63
2007-06-20,200.75,202.0,197.75,198.75,323500,191.43
2007-06-21,195.5,195.5,190.5,192.0,490900,184.92
2007-06-25,188.75,191.5,188.75,191.5,458000,184.44
2007-06-26,190.5,191.75,189.5,191.0,386600,183.96
2007-06-27,190.25,192.0,188.25,189.0,730300,182.03
2007-06-28,190.75,192.75,190.5,192.0,359000,184.92
2007-06-29,193.25,194.75,191.25,191.25,1684400,184.2
2007-07-02,191.0,194.25,190.5,193.75,1112700,186.61
2007-07-03,195.5,197.5,194.75,196.5,627500,189.26
2007-07-04,198.0,198.25,195.0,195.0,254700,187.81
2007-07-05,195.0,195.25,193.25,193.5,830500,186.37
2007-07-06,193.75,195.0,192.75,195.0,398300,187.81
2007-07-09,196.0,196.5,193.25,195.5,572000,188.3
2007-07-10,196.0,196.5,193.5,194.25,732200,187.09
2007-07-11,193.0,193.75,191.5,192.25,457900,185.16
2007-07-12,194.5,197.75,194.0,197.5,648900,190.22
2007-07-13,199.0,201.75,198.5,199.5,511500,192.15
2007-07-16,199.5,201.0,198.75,198.75,168200,191.43
2007-07-17,197.75,201.0,197.0,199.5,247800,192.15
2007-07-18,198.0,199.5,197.25,197.25,229900,189.98
2007-07-19,198.5,200.0,197.75,198.5,284600,191.18
2007-07-20,197.25,198.5,194.5,194.5,422600,187.33
2007-07-23,193.0,194.0,192.25,193.75,330700,186.61
2007-07-24,193.0,194.0,191.25,192.5,743200,185.41
2007-07-25,190.75,193.25,189.75,189.75,587700,182.76
2007-07-26,190.0,190.75,183.0,185.0,858800,178.18
2007-07-27,185.25,193.5,183.5,190.5,1072000,183.48
2007-07-30,189.0,193.25,189.0,192.0,720800,184.92
2007-07-31,193.75,196.0,193.5,194.5,461500,187.33
2007-08-01,191.0,193.75,189.75,190.5,718900,183.48
2007-08-02,193.75,207.5,189.5,205.75,3637200,198.17
2007-08-03,210.75,211.5,201.5,201.75,1219100,194.31
2007-08-06,199.5,200.5,198.25,199.5,498900,192.15
2007-08-07,202.75,202.75,199.0,200.0,498900,192.63
2007-08-08,202.5,208.5,202.0,207.75,405200,200.09
2007-08-09,205.75,207.75,203.0,204.0,771200,196.48
2007-08-10,200.5,203.0,198.0,198.5,633500,191.18
