Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,261.0,276.0,261.0,276.0,1695300,13.47
2000-01-04,272.0,274.5,267.0,271.0,13424800,13.23
2000-01-05,54.2,54.2,54.2,271.0,0,13.23
2000-01-06,54.2,54.2,54.2,271.0,0,13.23
2000-01-07,267.0,292.0,267.0,290.0,11323200,14.15
2000-01-10,296.0,304.0,288.0,290.0,14664300,14.15
2000-01-11,294.0,294.0,278.5,282.5,13289600,13.79
2000-01-12,280.0,283.5,271.0,275.5,28706900,13.44
2000-01-13,276.0,281.0,274.0,274.0,14400200,13.37
2000-01-14,285.0,285.0,266.5,271.0,15962000,13.23
2000-01-17,270.5,277.0,270.5,272.0,12355500,13.27
2000-01-18,273.0,273.0,266.0,267.5,14036900,13.05
2000-01-19,267.0,269.0,262.0,265.0,18669300,12.93
2000-01-20,260.0,266.0,260.0,261.0,9364000,12.74
2000-01-21,261.0,261.5,255.5,260.0,4583700,12.69
2000-01-24,259.5,259.5,251.5,256.0,9076800,12.49
2000-01-25,250.0,250.0,237.0,239.5,15393300,11.69
2000-01-26,242.0,250.0,239.0,246.0,12856000,12.01
2000-01-27,245.0,253.0,245.0,250.0,11982000,12.2
2000-01-28,254.0,255.0,241.5,246.5,7200100,12.03
2000-01-31,248.0,248.0,235.5,238.0,6351000,11.61
2000-02-01,241.5,241.5,228.0,232.5,19625100,11.35
2000-02-02,235.0,237.0,230.5,237.0,8404200,11.57
2000-02-03,240.0,242.5,232.0,233.0,4411100,11.37
2000-02-04,239.0,242.5,235.0,240.0,6119000,11.71
2000-02-07,247.0,255.0,244.0,252.0,14279200,12.3
2000-02-08,250.5,254.0,247.0,250.0,4163800,12.2
2000-02-09,249.0,252.0,240.5,241.0,10439400,11.76
2000-02-10,240.0,242.0,234.0,237.5,6695200,11.59
2000-02-11,236.5,237.0,227.0,230.0,5911700,11.22
2000-02-14,236.0,237.0,230.0,234.0,2981800,11.42
2000-02-15,232.0,236.5,223.0,228.0,7382400,11.13
2000-02-16,228.0,231.0,225.0,227.5,9154500,11.1
2000-02-17,234.0,234.0,224.0,228.5,10736700,11.15
2000-02-18,235.0,241.5,225.0,231.5,9601400,11.3
2000-02-21,228.0,232.0,226.0,229.5,20873200,11.2
2000-02-22,232.0,238.5,232.0,235.5,31481700,11.49
2000-02-23,240.0,254.5,238.0,254.5,15312800,12.42
2000-02-24,260.0,260.0,241.0,246.5,24120200,12.03
2000-02-25,250.0,251.5,242.5,245.0,6957900,11.96
2000-02-28,243.0,243.5,234.0,240.5,7415000,11.74
2000-02-29,240.5,241.0,235.0,236.0,5653600,11.52
2000-03-01,238.0,239.0,228.0,230.5,9328800,11.25
2000-03-02,229.0,231.0,213.0,217.5,13781900,10.61
2000-03-03,222.0,224.0,211.0,220.0,11829500,10.74
2000-03-06,222.0,227.0,220.5,225.0,5317600,10.98
2000-03-07,226.0,236.5,223.5,234.5,9431800,11.44
2000-03-08,233.5,234.5,227.0,229.0,7290800,11.18
2000-03-09,230.0,239.0,227.5,232.0,4746500,11.32
2000-03-10,239.0,239.0,228.0,229.0,4044700,11.18
2000-03-13,230.0,230.5,222.0,224.5,5725600,10.96
2000-03-14,225.0,228.0,218.5,222.0,5463300,10.83
2000-03-15,220.0,222.0,215.0,218.0,9422100,10.64
2000-03-16,229.0,251.0,228.0,237.0,29157300,11.57
2000-03-17,260.0,260.0,238.5,240.5,7329300,11.74
2000-03-20,238.0,242.0,231.0,233.0,3225000,11.37
2000-03-21,239.0,242.0,233.0,236.0,3379600,11.52
2000-03-22,237.0,239.0,231.0,232.0,8719500,11.32
2000-03-23,233.0,233.0,229.0,231.5,3656300,11.3
2000-03-24,231.5,231.5,227.0,229.0,9054900,11.18
2000-03-27,229.0,232.5,221.0,222.0,11760500,10.83
2000-03-28,221.5,223.0,219.5,222.5,4680500,10.86
2000-03-29,225.0,225.0,220.0,222.0,2855000,10.83
2000-03-30,221.5,222.5,220.0,221.5,6377500,10.81
2000-03-31,219.0,222.0,216.0,222.0,2057700,10.83
2000-04-03,224.0,224.0,217.0,219.0,5665000,10.69
2000-04-04,219.0,229.0,219.0,228.5,3361300,11.15
2000-04-05,238.0,238.0,220.0,221.5,13696900,10.81
2000-04-06,222.0,222.0,219.0,221.5,7811600,10.81
2000-04-07,220.0,222.0,215.5,216.5,17551100,10.57
2000-04-10,217.0,222.0,217.0,219.5,7400500,10.71
2000-04-11,217.0,219.5,217.0,217.5,10855800,10.61
2000-04-12,217.0,220.0,210.0,218.0,5001200,10.64
2000-04-13,210.0,215.5,210.0,214.5,11971200,10.47
2000-04-14,214.0,216.0,210.0,211.0,4777500,10.3
2000-04-17,206.5,213.0,204.0,211.5,3997000,10.32
2000-04-18,214.0,221.0,214.0,220.0,4359700,10.74
2000-04-19,220.0,224.0,219.0,219.5,4577500,10.71
2000-04-20,222.0,222.0,219.0,219.0,1017800,10.69
2000-04-21,43.8,43.8,43.8,219.0,0,10.69
2000-04-24,43.8,43.8,43.8,219.0,0,10.69
2000-04-25,220.0,228.5,219.0,219.5,4252300,10.71
2000-04-26,218.0,222.0,213.0,221.5,4840300,10.81
2000-04-27,213.0,218.0,206.0,208.0,9661800,10.15
2000-04-28,212.5,218.0,212.5,216.0,12822000,10.54
2000-05-01,43.2,43.2,43.2,216.0,0,10.54
2000-05-02,215.0,221.5,213.0,215.0,9430400,10.49
2000-05-03,213.0,227.0,213.0,222.0,4799200,10.83
2000-05-04,225.0,229.5,222.0,225.0,28264100,10.98
2000-05-05,215.0,217.5,212.0,214.0,6746000,10.44
2000-05-08,215.0,215.0,208.0,209.5,4540500,10.22
2000-05-09,41.9,41.9,41.9,209.5,0,10.22
2000-05-10,204.0,207.5,201.0,202.0,14150500,9.86
2000-05-11,202.0,202.5,190.0,194.5,61526600,9.49
2000-05-12,197.0,197.0,189.0,196.0,52079400,9.57
2000-05-15,197.5,202.0,197.0,199.5,29402700,9.74
2000-05-16,203.0,203.0,199.0,202.0,11240000,9.86
2000-05-17,200.0,204.5,196.5,197.0,22758000,9.61
2000-05-18,198.0,201.0,197.0,200.0,12784900,9.76
2000-05-19,200.0,201.0,199.0,199.5,8838400,9.74
2000-05-22,200.0,202.0,198.5,200.0,13841300,9.76
2000-05-23,203.0,204.0,197.5,200.0,24537800,9.76
2000-05-24,201.0,201.0,195.0,196.5,13397700,9.59
2000-05-25,198.0,199.0,191.5,193.0,29869800,9.42
2000-05-26,191.5,197.0,190.5,197.0,20834700,9.61
2000-05-29,197.0,197.0,192.0,194.0,11324600,9.47
2000-05-30,194.5,196.0,192.0,195.0,17596500,9.52
2000-05-31,195.0,198.0,195.0,196.5,18133600,9.59
2000-06-01,39.3,39.3,39.3,196.5,0,9.59
2000-06-02,199.0,199.0,192.0,195.0,15188600,9.52
2000-06-05,198.0,198.5,196.0,198.0,11881400,9.66
2000-06-06,198.0,204.0,198.0,201.5,53734900,9.83
2000-06-07,202.5,202.5,200.0,201.0,33589400,9.81
2000-06-08,201.0,202.0,193.0,194.0,23338000,9.47
2000-06-09,198.0,198.0,188.0,191.0,11048700,9.32
2000-06-12,38.2,38.2,38.2,191.0,0,9.32
2000-06-13,190.0,192.0,187.0,187.0,11543200,9.13
2000-06-14,189.0,190.0,182.0,182.0,12618600,8.88
2000-06-15,182.0,189.5,182.0,182.5,12301000,8.91
2000-06-16,183.5,188.5,183.5,187.0,14842200,9.13
2000-06-19,37.4,37.4,37.4,187.0,0,9.13
2000-06-20,183.0,184.0,180.0,181.5,15720900,8.86
2000-06-21,181.0,188.0,181.0,186.0,27402700,9.08
2000-06-22,188.0,190.0,181.5,188.5,17038800,9.2
2000-06-23,37.7,37.7,37.7,188.5,0,9.2
2000-06-26,189.0,189.0,182.5,188.0,8754000,9.17
2000-06-27,187.0,189.0,182.0,182.5,12804500,8.91
2000-06-28,182.5,185.0,181.0,185.0,13454400,9.03
2000-06-29,187.5,187.5,181.5,182.5,13684700,8.91
2000-06-30,184.5,185.0,183.0,185.0,27823900,9.03
2000-07-03,185.0,187.0,183.0,186.5,25343200,9.1
2000-07-04,187.0,188.5,184.5,186.5,20179500,9.1
2000-07-05,187.0,193.0,185.0,191.0,15640700,9.32
2000-07-06,191.0,208.0,189.5,205.0,44573600,10.0
2000-07-07,41.0,41.0,41.0,205.0,0,10.0
2000-07-10,202.0,204.0,198.0,199.0,18922900,9.71
2000-07-11,199.5,200.0,193.0,195.0,23532500,9.52
2000-07-12,195.0,197.0,195.0,196.5,36034900,9.59
2000-07-13,195.5,198.5,195.5,198.5,15826600,9.69
2000-07-14,199.0,200.0,198.0,199.5,5899100,9.74
2000-07-17,199.5,201.0,198.0,199.5,7291500,9.74
2000-07-18,199.5,200.5,194.5,195.5,10751500,9.54
2000-07-19,195.0,195.5,192.0,193.5,10873200,9.44
2000-07-20,194.0,196.0,193.5,195.5,13901800,9.54
2000-07-21,196.0,198.0,193.5,195.5,5263500,9.54
2000-07-24,39.1,39.1,39.1,195.5,0,9.54
2000-07-25,199.0,199.0,195.5,197.0,6221200,9.61
2000-07-26,196.0,197.0,195.0,195.0,2681500,9.52
2000-07-27,39.0,39.0,39.0,195.0,0,9.52
2000-07-28,199.0,203.0,197.0,198.5,19557300,9.69
2000-07-31,198.0,203.0,197.5,202.0,7588500,9.86
2000-08-01,202.0,205.5,200.0,201.0,11493500,9.81
2000-08-02,201.5,201.5,195.0,197.5,12658600,9.64
2000-08-03,198.0,199.0,193.0,195.0,13577200,9.52
2000-08-04,197.0,197.0,195.0,195.0,3999100,9.52
2000-08-07,195.0,200.0,195.0,199.5,6135900,9.74
2000-08-08,200.0,204.5,199.0,199.0,12699300,9.71
2000-08-09,201.0,209.5,200.0,209.0,22419000,10.2
2000-08-10,210.0,215.0,208.0,215.0,38806500,10.49
2000-08-11,214.5,214.5,208.5,210.5,8964200,10.27
2000-08-14,213.0,213.0,209.5,212.0,9936000,10.35
2000-08-15,212.5,214.0,211.0,213.5,11715800,10.42
2000-08-16,213.5,217.0,212.5,216.5,18238700,10.57
2000-08-17,219.0,224.0,215.0,222.0,28889700,10.83
2000-08-18,224.5,226.5,221.0,223.0,22787600,10.88
2000-08-21,221.0,222.5,215.5,219.0,6313500,10.69
2000-08-22,219.0,219.5,210.0,212.5,12666400,10.37
2000-08-23,213.0,213.0,207.0,208.0,17767400,10.15
2000-08-24,208.0,209.0,204.0,204.5,11905900,9.98
2000-08-25,204.0,206.0,202.0,205.5,17925400,10.03
2000-08-28,207.0,207.5,205.0,207.0,7237600,10.1
2000-08-29,207.0,208.0,205.0,206.5,18264100,10.08
2000-08-30,207.0,208.0,206.0,206.5,5404000,10.08
2000-08-31,206.5,207.5,203.0,206.0,19127100,10.05
2000-09-01,206.0,206.5,204.0,205.0,12229300,10.0
2000-09-04,204.0,207.0,204.0,206.0,18080800,10.05
2000-09-05,206.0,206.0,203.0,204.0,21418600,9.96
2000-09-06,204.0,207.0,203.5,206.0,34896500,10.05
2000-09-07,205.5,209.0,205.0,206.5,14296300,10.08
2000-09-08,207.0,207.0,203.5,204.5,10790200,9.98
2000-09-11,204.5,204.5,199.0,200.0,6676300,9.76
2000-09-12,198.0,199.5,196.0,199.0,8117300,9.71
2000-09-13,198.5,200.0,194.0,196.5,10224700,9.59
2000-09-14,197.0,200.0,196.5,197.5,9783600,9.64
2000-09-15,198.0,198.0,190.5,192.5,12874500,9.39
2000-09-18,192.0,194.5,190.5,191.0,15919000,9.32
2000-09-19,191.0,192.0,185.0,189.0,25083000,9.22
2000-09-20,188.0,188.5,184.0,184.5,21288000,9.0
2000-09-21,184.5,187.5,181.5,185.0,14481700,9.03
2000-09-22,185.0,187.5,180.5,184.5,14777000,9.0
2000-09-25,185.0,187.0,183.5,185.5,11202000,9.05
2000-09-26,186.0,187.5,183.5,184.0,9686000,8.98
2000-09-27,184.0,189.0,184.0,187.0,7971900,9.13
2000-09-28,187.0,194.0,186.5,192.5,15341600,9.39
2000-09-29,193.5,195.0,190.5,193.5,11739400,9.44
2000-10-02,193.0,194.0,191.0,191.5,6618100,9.35
2000-10-03,194.5,196.0,193.0,195.5,19122700,9.54
2000-10-04,196.0,197.0,192.0,193.5,20707300,9.44
2000-10-05,195.5,198.0,194.5,195.5,22105900,9.54
2000-10-06,196.0,196.0,190.0,194.5,17285900,9.49
2000-10-09,195.0,195.0,189.5,193.0,11584900,9.42
2000-10-10,195.0,195.0,192.5,194.0,9025100,9.47
2000-10-11,194.0,194.0,189.5,192.0,14906100,9.37
2000-10-12,191.0,194.5,189.0,191.0,6299800,9.32
2000-10-13,187.0,190.5,185.5,189.0,14762200,9.22
2000-10-16,191.0,192.0,189.0,192.0,7533800,9.37
2000-10-17,190.0,192.0,188.0,191.0,5670300,9.32
2000-10-18,190.0,193.0,188.0,192.5,9046300,9.39
2000-10-19,192.5,196.5,188.0,190.0,13371900,9.27
2000-10-20,191.0,199.0,187.5,197.0,16570300,9.61
2000-10-23,198.0,200.0,195.0,198.0,7884000,9.66
2000-10-24,200.0,210.0,200.0,209.0,27422900,10.2
2000-10-25,208.0,215.0,200.5,215.0,18690000,10.49
2000-10-26,212.0,214.5,206.0,212.0,17293900,10.35
2000-10-27,215.5,215.5,209.5,212.5,28358900,10.37
2000-10-30,212.5,214.0,210.0,213.0,21339100,10.39
2000-10-31,42.6,42.6,42.6,213.0,0,10.39
2000-11-01,222.0,223.0,218.0,222.0,24118100,10.83
2000-11-02,220.5,220.5,209.5,213.0,39230200,10.39
2000-11-03,212.0,215.0,211.5,212.5,21452300,10.37
2000-11-06,213.5,217.0,212.0,217.0,36308800,10.59
2000-11-07,216.0,220.0,216.0,220.0,27782400,10.74
2000-11-08,220.0,225.5,220.0,223.5,41561400,10.91
2000-11-09,220.0,224.0,214.5,216.0,24987100,10.54
2000-11-10,214.0,216.5,212.5,215.0,12271900,10.49
2000-11-13,214.0,215.0,210.0,210.0,12983900,10.25
2000-11-14,200.0,212.0,199.0,211.5,32839800,10.32
2000-11-15,211.0,213.0,211.0,213.0,51110100,10.39
2000-11-16,213.0,214.0,212.0,214.0,13735600,10.44
2000-11-17,214.0,215.0,210.5,210.5,23196500,10.27
2000-11-20,210.5,214.0,210.5,212.5,12312300,10.37
2000-11-21,212.5,212.5,209.0,210.5,23306800,10.27
2000-11-22,210.5,212.0,209.0,210.5,20931900,10.27
2000-11-23,211.0,216.5,209.0,215.5,22703000,10.52
2000-11-24,216.0,216.0,212.0,213.0,10302800,10.39
2000-11-27,215.0,217.0,212.0,216.0,6415300,10.54
2000-11-28,216.0,219.0,216.0,219.0,8366700,10.69
2000-11-29,219.0,221.5,219.0,219.0,11288600,10.69
2000-11-30,219.0,222.0,214.0,215.0,15852800,10.49
2000-12-01,215.5,222.0,215.5,220.5,20610800,10.76
2000-12-04,220.5,222.5,216.5,221.0,16506700,10.79
2000-12-05,220.0,225.0,220.0,223.5,21782500,10.91
2000-12-06,226.0,230.0,222.5,230.0,38833900,11.22
2000-12-07,229.0,237.0,228.0,236.0,48314700,11.52
2000-12-08,236.0,247.0,236.0,245.0,112631200,11.96
2000-12-11,245.0,247.0,237.0,237.0,22505800,11.57
2000-12-12,237.0,239.0,233.0,238.0,14150500,11.61
2000-12-13,238.0,238.0,225.5,225.5,26578600,11.0
2000-12-14,227.0,227.0,220.5,221.5,18790400,10.81
2000-12-15,219.0,221.0,216.0,217.0,39524500,10.59
2000-12-18,216.0,223.0,213.5,222.0,53018700,10.83
2000-12-19,220.0,232.5,217.0,228.5,32780900,11.15
2000-12-20,227.5,235.0,220.5,228.0,20531100,11.13
2000-12-21,230.0,230.0,219.0,223.5,16881000,10.91
2000-12-22,223.5,230.0,222.0,229.0,16230600,11.18
2000-12-27,227.0,234.5,227.0,233.0,5785300,11.37
2000-12-28,236.0,238.5,234.0,238.0,9553000,11.61
2000-12-29,237.5,243.0,226.0,227.0,17122000,11.08
2001-01-01,45.4,45.4,45.4,227.0,0,11.08
2001-01-02,226.0,231.0,220.0,221.0,7222600,10.79
2001-01-03,218.0,221.0,204.0,207.5,29637700,10.13
