Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,255.0,260.0001,249.9999,254.4999,3187900,25.8108
2000-01-04,254.4999,254.4999,234.9999,245.0001,6268500,24.8474
2000-01-05,81.6666,81.6666,81.6666,245.0001,0,24.8474
2000-01-06,81.6666,81.6666,81.6666,245.0001,0,24.8474
2000-01-07,240.9999,264.9999,240.9999,264.9999,9576000,26.8757
2000-01-10,264.0,275.0001,262.5,272.0001,25126900,27.5856
2000-01-11,273.9999,273.9999,258.5001,260.0001,5113600,26.3686
2000-01-12,258.0,258.9999,252.9999,254.4999,8619400,25.8108
2000-01-13,255.5001,258.0,249.9999,252.9999,4308700,25.6587
2000-01-14,255.0,258.9999,248.0001,252.9999,4996800,25.6587
2000-01-17,258.9999,258.9999,252.0,255.0,3898400,25.8615
2000-01-18,254.0001,255.5001,249.5001,251.0001,2643200,25.4559
2000-01-19,245.0001,249.9999,243.9999,249.0,7717300,25.253
2000-01-20,251.4999,251.4999,241.5,242.4999,7047300,24.5938
2000-01-21,242.0001,243.0,233.0001,240.9999,3957300,24.4417
2000-01-24,243.5001,243.5001,228.5001,234.0,2677800,23.7318
2000-01-25,230.0001,231.9999,222.0,222.9999,6672200,22.6161
2000-01-26,227.0001,230.0001,221.0001,225.0,10992100,22.819
2000-01-27,230.0001,230.0001,219.9999,221.0001,6564100,22.4133
2000-01-28,222.0,224.4999,216.5001,224.0001,10831400,22.7176
2000-01-31,225.0,228.9999,219.9999,221.4999,6341000,22.464
2000-02-01,225.0,233.4999,225.5001,232.5,10764500,23.5796
2000-02-02,238.5,240.0,228.9999,230.4999,3987300,23.3768
2000-02-03,231.0,234.9999,224.0001,225.9999,9342800,22.9204
2000-02-04,228.9999,229.5,225.0,227.0001,2374300,23.0218
2000-02-07,230.0001,240.0,228.9999,235.5,4323300,23.8839
2000-02-08,236.4999,238.5,228.9999,230.4999,2652800,23.3768
2000-02-09,233.0001,233.0001,219.5001,221.0001,6383700,22.4133
2000-02-10,221.0001,224.4999,216.0,219.0,4296000,22.2105
2000-02-11,219.0,220.5,213.5001,216.9999,5804800,22.0076
2000-02-14,219.0,219.0,212.4999,216.9999,3253400,22.0076
2000-02-15,215.0001,219.9999,210.9999,213.5001,5752900,21.6527
2000-02-16,213.5001,216.5001,207.0,213.5001,6002700,21.6527
2000-02-17,213.9999,213.9999,208.5,211.5,8975600,21.4499
2000-02-18,213.0,214.5,204.9999,210.0,4939200,21.2977
2000-02-21,204.0,210.5001,201.0,207.9999,4831400,21.0949
2000-02-22,209.0001,213.0,204.9999,207.0,6187400,20.9935
2000-02-23,207.9999,209.0001,203.0001,204.9999,4519900,20.7906
2000-02-24,204.9999,205.5,200.0001,201.0,8090900,20.385
2000-02-25,201.0,209.0001,195.9999,208.5,3660500,21.1456
2000-02-28,210.0,212.0001,206.4999,210.0,2041900,21.2977
2000-02-29,212.0001,216.5001,207.5001,213.5001,5028600,21.6527
2000-03-01,215.0001,215.0001,201.0,203.4999,8737800,20.6385
2000-03-02,204.0,204.0,191.4999,195.9999,8025000,19.8779
2000-03-03,195.9999,198.9999,194.0001,198.9999,2876500,20.1821
2000-03-06,202.5,204.9999,198.9999,203.0001,4083600,20.5878
2000-03-07,204.9999,204.9999,192.9999,194.0001,3725800,19.6751
2000-03-08,190.5,193.5,186.9999,188.4999,7455400,19.1172
2000-03-09,195.9999,198.9999,188.4999,192.0,3881600,19.4722
2000-03-10,195.0,195.0,191.0001,192.5001,4454300,19.5229
2000-03-13,64.1667,64.1667,64.1667,192.5001,0,19.5229
2000-03-14,201.9999,204.5001,199.5,201.9999,4409100,20.4864
2000-03-15,201.9999,210.5001,201.9999,207.5001,4518800,21.0442
2000-03-16,219.9999,224.4999,216.0,221.0001,6093800,22.4133
2000-03-17,228.0,228.9999,206.4999,210.5001,6366000,21.3484
2000-03-20,213.9999,213.9999,200.4999,202.5,4826100,20.5371
2000-03-21,207.9999,213.9999,205.5,208.5,2424800,21.1456
2000-03-22,215.0001,216.9999,205.5,210.0,1597400,21.2977
2000-03-23,207.5001,207.5001,204.0,204.9999,2680000,20.7906
2000-03-24,207.0,207.9999,204.9999,205.5,6153500,20.8413
2000-03-27,206.0001,207.9999,204.9999,206.0001,1408100,20.8921
2000-03-28,204.9999,213.5001,201.0,209.0001,1383500,21.1963
2000-03-29,211.5,211.5,204.9999,204.9999,6723800,20.7906
2000-03-30,204.0,208.5,203.4999,205.5,2849600,20.8413
2000-03-31,204.9999,204.9999,201.5001,204.0,3720800,20.6892
2000-04-03,204.0,207.9999,202.5,202.5,2770300,20.5371
2000-04-04,203.0001,204.9999,201.0,201.0,4736500,20.385
2000-04-05,204.0,207.5001,198.0,204.0,6679000,20.6892
2000-04-06,206.0001,206.0001,201.0,203.4999,2591400,20.6385
2000-04-07,203.4999,203.4999,192.0,193.5,8062900,19.6243
2000-04-10,194.0001,197.4999,188.0001,189.9999,11384900,19.2694
2000-04-11,188.0001,189.0,180.0,180.9999,9975600,20.5646
2000-04-12,182.4999,187.5,182.0001,184.5,9405300,20.9623
2000-04-13,182.4999,185.0001,180.9999,183.9999,4933600,20.9054
2000-04-14,183.0,186.0,180.0,180.9999,6941200,20.5646
2000-04-17,179.0001,180.9999,174.9999,179.4999,3602600,20.3942
2000-04-18,177.9999,183.9999,176.0001,181.5,4835400,20.6214
2000-04-19,183.9999,183.9999,174.9999,175.5,3338900,19.9397
2000-04-20,176.0001,177.9999,174.9999,177.0,1142800,20.1101
2000-04-21,59.0001,59.0001,59.0001,177.0,0,20.1101
2000-04-24,59.0001,59.0001,59.0001,177.0,0,20.1101
2000-04-25,178.5,180.0,174.9999,176.4999,3373300,20.0533
2000-04-26,177.9999,182.0001,177.0,179.4999,4316400,20.3942
2000-04-27,180.0,180.0,173.0001,174.9999,3183100,19.8829
2000-04-28,177.0,179.0001,168.5001,173.0001,8807000,19.6557
2000-05-01,57.6666,57.6666,57.6666,173.0001,0,19.6557
2000-05-02,171.9999,174.9999,168.0,168.0,6936700,19.0876
2000-05-03,169.5,176.0001,168.9999,175.5,9082200,19.9397
2000-05-04,177.5001,183.5001,177.5001,183.0,4148500,20.7918
2000-05-05,185.0001,186.5001,182.0001,185.4999,3694000,21.0759
2000-05-08,185.4999,188.0001,183.5001,185.4999,2315000,21.0759
