Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,44.4943,45.2659,44.2371,44.4943,3056800,16.6667
2000-01-04,43.9799,43.9799,42.6939,43.4655,2997100,16.2813
2000-01-05,43.4655,43.4655,43.4655,43.4655,0,16.2813
2000-01-06,43.4655,43.4655,43.4655,43.4655,0,16.2813
2000-01-07,41.408,42.6939,41.408,42.6939,4678200,15.9923
2000-01-10,42.6939,43.2083,42.1796,42.9511,3628400,16.0887
2000-01-11,43.2083,43.4655,42.4367,42.9511,4187700,16.0887
2000-01-12,42.6939,43.4655,42.1796,43.4655,7560500,16.2813
2000-01-13,43.7227,44.4943,43.2083,44.2371,6263300,16.5704
2000-01-14,44.4943,45.2659,43.7227,44.4943,6447500,16.6667
2000-01-17,44.7515,44.7515,44.2371,44.7515,4175700,16.7631
2000-01-18,44.7515,44.7515,43.7227,43.9799,2889700,16.474
2000-01-19,44.2371,44.2371,43.2083,43.7227,2943500,16.3777
2000-01-20,43.9799,44.2371,43.2083,43.4655,3417300,16.2813
2000-01-21,43.4655,43.9799,42.9511,43.2083,4428000,16.185
2000-01-24,42.9511,43.4655,42.1796,42.9511,2526000,16.0887
2000-01-25,42.1796,42.4367,41.1508,41.6652,4542200,15.607
2000-01-26,41.9224,41.9224,40.8936,41.408,3718300,15.5106
2000-01-27,42.1796,42.6939,41.6652,42.1796,4034100,15.7997
2000-01-28,42.9511,42.9511,40.8936,41.1508,4213200,15.4143
2000-01-31,41.1508,41.1508,40.122,40.122,2748300,15.0289
2000-02-01,41.1508,41.1508,39.8648,40.3792,4338300,15.1253
2000-02-02,40.6364,41.408,40.122,41.1508,4323800,15.4143
2000-02-03,40.8936,42.1796,40.8936,41.1508,5423900,15.4143
2000-02-04,41.6652,41.6652,40.3792,40.3792,3268600,15.1253
2000-02-07,40.6364,40.6364,39.8648,40.3792,2915900,15.1253
2000-02-08,40.6364,42.1796,40.3792,41.408,5709300,15.5106
2000-02-09,41.6652,43.7227,41.6652,43.2083,8847300,16.185
2000-02-10,43.4655,44.2371,42.6939,43.4655,5849100,16.2813
2000-02-11,43.9799,44.2371,42.9511,43.2083,4746200,16.185
2000-02-14,42.9511,43.4655,42.4367,42.6939,3638600,15.9923
2000-02-15,43.2083,44.4943,40.3792,40.6364,10137900,15.2216
2000-02-16,41.6652,42.1796,40.3792,41.408,7438900,15.5106
2000-02-17,41.6652,41.6652,40.8936,40.8936,6791800,15.318
2000-02-18,41.1508,41.6652,41.1508,41.1508,3891900,15.4143
2000-02-21,40.6364,43.4655,40.6364,43.4655,7892400,16.2813
2000-02-22,43.7227,44.2371,42.1796,42.6939,11231200,15.9923
2000-02-23,42.6939,43.4655,42.6939,43.2083,4791900,16.185
2000-02-24,43.2083,44.4943,43.2083,44.2371,12068300,16.5704
2000-02-25,44.2371,45.7802,44.2371,44.7515,9452000,16.7631
2000-02-28,45.0087,45.2659,44.2371,45.0087,5059600,16.8594
2000-02-29,45.0087,45.7802,44.7515,45.2659,4886300,16.9557
2000-03-01,45.2659,46.0374,45.2659,46.0374,5869000,17.2447
2000-03-02,46.0374,47.3234,45.7802,46.2946,7614500,17.3411
2000-03-03,47.0662,47.3234,46.2946,47.0662,6729500,17.6301
2000-03-06,47.0662,47.5806,45.2659,46.0374,8037100,17.2447
2000-03-07,46.0374,46.2946,45.2659,45.7802,3725400,17.1484
2000-03-08,45.2659,46.809,45.0087,46.0374,5786800,17.2447
2000-03-09,46.809,46.809,46.0374,46.2946,3322900,17.3411
2000-03-10,46.5518,47.0662,45.523,46.0374,4260200,17.2447
2000-03-13,46.0374,46.0374,46.0374,46.0374,0,17.2447
2000-03-14,45.2659,45.2659,43.2083,43.2083,2326500,16.185
2000-03-15,42.6939,43.9799,42.6939,43.4655,4230800,16.2813
2000-03-16,43.7227,45.7802,43.7227,45.2659,7050700,16.9557
2000-03-17,47.3234,49.1237,45.7802,48.6094,14725400,18.2082
2000-03-20,48.3522,49.1237,47.8378,48.8666,5664500,18.3045
2000-03-21,48.8666,49.1237,48.3522,48.6094,6237000,18.2082
2000-03-22,49.1237,49.3809,47.5806,48.095,30370400,18.0155
2000-03-23,48.3522,48.3522,46.809,47.3234,3485200,17.7264
2000-03-24,47.3234,48.3522,47.3234,47.8378,3992200,17.9191
2000-03-27,47.3234,48.8666,47.3234,48.3522,4180200,18.1118
2000-03-28,48.3522,48.8666,48.095,48.3522,2238200,18.1118
2000-03-29,48.3522,48.8666,48.3522,48.3522,3076600,18.1118
2000-03-30,48.6094,49.1237,47.5806,48.6094,9946700,18.2082
2000-03-31,47.8378,48.3522,47.8378,47.8378,5545800,17.9191
2000-04-03,48.095,48.6094,47.5806,47.8378,5219600,17.9191
2000-04-04,47.8378,50.1525,47.8378,49.8953,8317700,18.6898
2000-04-05,49.8953,49.8953,48.6094,49.3809,6040200,18.4971
2000-04-06,48.6094,50.1525,48.3522,48.6094,4706900,18.2082
2000-04-07,48.8666,50.1525,48.6094,49.1237,5080700,18.4008
2000-04-10,49.3809,50.1525,48.6094,49.8953,2431700,18.6898
2000-04-11,49.6381,51.4385,49.6381,50.1525,7551200,18.7862
2000-04-12,49.8953,50.1525,48.8666,49.1237,5382700,19.7813
2000-04-13,48.6094,53.2388,48.3522,53.2388,8320700,21.4384
2000-04-14,51.4385,52.21,50.6669,51.9529,5688400,20.9205
2000-04-17,49.3809,51.9529,46.809,49.8953,3458100,20.092
2000-04-18,51.9529,52.4673,50.4097,51.4385,2417600,20.7134
2000-04-19,51.9529,51.9529,49.6381,50.1525,3234800,20.1956
2000-04-20,49.6381,49.6381,47.5806,47.8378,4138300,19.2635
2000-04-21,47.8378,47.8378,47.8378,47.8378,0,19.2635
2000-04-24,47.8378,47.8378,47.8378,47.8378,0,19.2635
2000-04-25,47.0662,48.3522,47.0662,48.095,3137300,19.367
2000-04-26,48.3522,49.3809,48.3522,49.1237,5662500,19.7813
2000-04-27,49.1237,49.8953,48.6094,48.8666,7203800,19.6777
2000-04-28,49.1237,51.6957,49.1237,51.4385,9725400,20.7134
2000-05-01,51.4385,51.4385,51.4385,51.4385,0,20.7134
2000-05-02,51.1813,52.7244,50.4097,51.6957,6326100,20.817
2000-05-03,51.1813,54.5248,51.1813,53.2388,8656900,21.4384
