Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,156.0,163.0,156.0,158.0,366100,93.32
2000-01-04,155.0,160.0,149.0,156.0,859500,92.14
2000-01-05,156.0,156.0,156.0,156.0,0,92.14
2000-01-06,156.0,156.0,156.0,156.0,0,92.14
2000-01-07,159.5,167.0,155.0,161.0,2819100,95.1
2000-01-10,165.0,166.5,159.0,165.0,1093700,97.46
2000-01-11,168.5,173.0,166.0,167.0,1634700,98.64
2000-01-12,166.5,170.0,161.0,165.5,1402500,97.75
2000-01-13,164.5,165.0,158.0,160.0,1940300,94.5
2000-01-14,162.0,166.5,160.0,166.0,1281000,98.05
2000-01-17,167.0,169.0,162.0,166.0,713600,98.05
2000-01-18,165.0,166.0,162.0,164.5,332800,97.16
2000-01-19,164.0,165.0,160.0,162.0,504100,95.69
2000-01-20,164.0,169.0,160.0,168.0,900800,99.23
2000-01-21,170.0,180.0,166.0,178.5,1341700,105.43
2000-01-24,190.0,191.0,185.0,189.0,1030400,111.63
2000-01-25,185.0,190.0,180.0,190.0,1092700,112.22
2000-01-26,190.0,196.0,185.0,189.5,581700,111.93
2000-01-27,189.5,193.5,188.0,190.5,363000,112.52
2000-01-28,189.5,190.5,184.0,190.0,556200,112.22
2000-01-31,188.0,192.0,184.0,184.0,703200,108.68
2000-02-01,185.0,186.5,174.0,178.0,1654900,105.14
2000-02-02,179.0,179.0,158.0,176.0,5158900,103.96
2000-02-03,176.0,185.0,174.0,179.0,1015600,105.73
2000-02-04,183.0,183.0,177.0,178.5,888300,105.43
2000-02-07,181.0,183.0,175.0,176.0,441600,103.96
2000-02-08,181.0,198.5,175.0,190.0,1284700,112.22
2000-02-09,192.0,196.5,190.0,193.5,1113000,114.29
2000-02-10,195.0,195.0,186.0,192.0,495200,113.41
2000-02-11,190.0,192.5,187.5,191.0,1568900,112.82
2000-02-14,191.0,199.0,191.0,198.0,1542900,116.95
2000-02-15,200.0,208.0,194.0,200.0,2142700,118.13
2000-02-16,203.0,203.0,199.0,202.5,1552100,119.61
2000-02-17,203.0,203.0,197.0,200.0,816800,118.13
2000-02-18,199.0,200.0,188.0,194.5,483700,114.88
2000-02-21,191.5,193.0,187.0,189.0,812400,111.63
2000-02-22,189.0,200.0,185.0,197.0,2543100,116.36
2000-02-23,197.0,199.0,190.5,191.5,802200,113.11
2000-02-24,194.5,203.0,194.0,203.0,1989100,119.9
2000-02-25,203.0,220.5,201.0,217.5,1309300,128.47
2000-02-28,217.5,223.0,211.5,221.0,408200,130.53
2000-02-29,222.5,241.5,222.5,234.5,1036400,138.51
2000-03-01,234.0,234.0,222.0,229.0,1580900,135.26
2000-03-02,226.5,249.5,226.5,247.0,1132100,145.89
2000-03-03,249.0,251.0,240.0,243.5,745600,143.82
2000-03-06,249.0,249.0,235.0,245.0,652000,144.71
2000-03-07,238.0,249.0,238.0,245.5,798000,145.01
2000-03-08,240.0,242.0,235.0,240.0,611100,141.76
2000-03-09,245.0,246.0,237.0,239.0,438600,141.17
2000-03-10,242.0,242.0,233.0,236.5,580200,139.69
2000-03-13,236.5,236.5,236.5,236.5,0,139.69
2000-03-14,233.0,241.0,228.0,229.0,739500,135.26
2000-03-15,234.0,234.0,207.0,215.0,1133800,126.99
