Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,108.0,111.5001,108.0,108.0,3494400,4.8131
2000-01-04,108.5001,108.5001,104.0001,105.9999,3802200,4.724
2000-01-05,318.0,318.0,318.0,318.0,0,14.172
2000-01-06,318.0,318.0,318.0,318.0,0,14.172
2000-01-07,105.9999,111.0,105.5001,108.5001,6912900,4.8354
2000-01-10,109.5,114.0,109.5,114.0,3656300,5.0805
2000-01-11,114.9999,114.9999,111.9999,113.4999,3973500,5.0583
2000-01-12,112.5,114.5001,110.0001,111.5001,4532700,4.9691
2000-01-13,111.9999,111.9999,108.9999,110.0001,7362200,4.9023
2000-01-14,110.0001,110.4999,105.0,105.0,11939800,4.6794
2000-01-17,105.9999,108.0,105.0,108.0,4497700,4.8131
2000-01-18,108.0,108.0,105.5001,105.9999,6910000,4.724
2000-01-19,107.0001,107.4999,105.0,106.5,6133100,4.7463
2000-01-20,107.0001,107.4999,105.0,105.9999,7527400,4.724
2000-01-21,105.0,106.5,103.5,104.0001,8103900,4.6349
2000-01-24,104.0001,105.0,102.0,102.9999,3066400,4.5903
2000-01-25,101.0001,102.5001,100.5,102.5001,4650700,4.568
2000-01-26,102.5001,102.9999,99.5001,100.5,3894100,4.4789
2000-01-27,101.4999,102.5001,100.5,101.0001,3587500,4.5012
2000-01-28,101.0001,104.0001,99.0,103.5,8750100,4.6126
2000-01-31,102.9999,102.9999,99.9999,102.9999,3959300,4.5903
2000-02-01,102.9999,102.9999,100.5,102.5001,7435400,4.568
2000-02-02,102.5001,104.0001,101.4999,103.5,8855900,4.6126
2000-02-03,102.9999,104.0001,99.5001,99.5001,6949600,4.4343
2000-02-04,100.5,102.0,99.0,101.4999,8089900,4.5235
2000-02-07,102.0,102.9999,99.9999,102.5001,5610900,4.568
2000-02-08,102.5001,105.9999,102.0,105.0,5284300,4.6794
2000-02-09,105.0,105.9999,104.0001,104.4999,3733600,4.6572
2000-02-10,104.0001,108.9999,103.5,107.0001,4011600,4.7686
2000-02-11,106.5,107.0001,100.5,101.4999,6498400,4.5235
2000-02-14,99.9999,102.5001,99.9999,101.4999,2263200,4.5235
2000-02-15,100.5,102.5001,99.9999,99.9999,5763900,4.4566
2000-02-16,102.0,102.0,96.9999,98.4999,8206200,4.3898
2000-02-17,98.0001,101.0001,96.9999,98.4999,5728900,4.3898
2000-02-18,98.0001,101.0001,98.0001,98.4999,3622400,4.3898
2000-02-21,99.0,101.0001,99.0,100.5,4390200,4.4789
2000-02-22,101.0001,102.5001,98.4999,101.0001,17601800,4.5012
2000-02-23,102.0,102.9999,100.5,101.4999,5105200,4.5235
2000-02-24,102.0,102.0,99.9999,100.5,14322000,4.4789
2000-02-25,100.5,102.5001,100.5,102.5001,4155400,4.568
2000-02-28,102.5001,102.9999,100.5,101.4999,4248400,4.5235
