Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,325.0,326.5,317.5,318.0,363700,26.92
2000-01-04,320.0,320.0,306.0,307.5,726700,26.031
2000-01-05,1230.0,1230.0,1230.0,1230.0,0,104.125
2000-01-06,1230.0,1230.0,1230.0,1230.0,0,104.125
2000-01-07,304.0,318.0,304.0,316.5,582100,26.793
2000-01-10,316.5,324.0,316.5,319.5,705600,27.047
2000-01-11,325.0,325.0,314.5,315.0,969500,26.666
2000-01-12,316.0,317.0,308.0,310.0,1156200,26.243
2000-01-13,311.5,313.5,308.0,308.0,894700,26.074
2000-01-14,313.0,315.0,305.0,305.0,1515200,25.82
2000-01-17,308.0,313.0,306.0,311.5,1160300,26.37
2000-01-18,315.0,315.0,305.5,308.0,898000,26.074
2000-01-19,307.0,312.0,304.0,309.5,1070300,26.2
2000-01-20,310.5,311.0,305.5,307.5,699600,26.031
2000-01-21,307.5,309.0,300.0,301.5,883500,25.523
2000-01-24,304.5,307.0,302.5,306.0,630300,25.904
2000-01-25,306.0,306.0,294.0,298.0,2301400,25.227
2000-01-26,300.0,304.0,294.0,295.0,688300,24.973
2000-01-27,295.0,312.5,292.5,305.0,1340800,25.82
2000-01-28,306.0,308.0,298.0,298.0,510800,25.227
2000-01-31,298.0,298.0,290.0,290.0,663700,24.55
2000-02-01,294.0,295.0,286.0,286.0,1363200,24.211
2000-02-02,288.0,297.0,288.0,294.0,1165700,24.888
2000-02-03,294.0,300.0,290.0,290.0,821400,24.55
2000-02-04,300.0,300.0,291.5,297.0,707800,25.142
2000-02-07,297.0,308.0,295.0,302.0,621500,25.566
2000-02-08,303.0,314.5,303.0,305.0,1099800,25.82
2000-02-09,308.0,314.0,306.0,313.0,1355000,26.497
2000-02-10,315.0,318.0,311.0,315.5,1505300,26.708
2000-02-11,316.0,316.0,305.0,308.0,1069200,26.074
2000-02-14,307.0,308.0,301.0,305.0,432500,25.82
2000-02-15,302.0,305.0,296.0,302.5,817100,25.608
2000-02-16,300.0,300.0,290.0,300.0,1108500,25.396
2000-02-17,300.0,303.5,295.0,300.5,1354000,25.439
2000-02-18,305.0,308.0,296.0,300.0,433300,25.396
2000-02-21,299.0,305.0,296.0,305.0,451100,25.82
2000-02-22,308.0,308.5,295.5,298.0,1023500,25.227
2000-02-23,299.0,309.0,298.0,309.0,575200,26.158
2000-02-24,312.0,320.0,297.0,303.5,2829400,25.693
2000-02-25,308.0,308.0,299.0,301.5,901200,25.523
2000-02-28,305.0,306.0,299.5,306.0,879900,25.904
2000-02-29,306.0,309.0,301.5,302.0,554700,25.566
2000-03-01,303.0,306.0,300.0,303.0,736300,25.65
2000-03-02,303.0,305.5,298.5,302.0,1439700,25.566
2000-03-03,300.0,301.0,290.0,291.0,1066300,24.634
2000-03-06,293.0,296.5,288.0,290.0,1264800,24.55
2000-03-07,289.0,293.0,283.0,283.0,1156200,23.957
2000-03-08,283.0,287.0,281.0,282.0,1162400,23.872
2000-03-09,290.0,290.0,279.0,283.0,1201600,23.957
2000-03-10,281.0,294.0,281.0,289.0,1616200,24.465
2000-03-13,1156.0,1156.0,1156.0,1156.0,0,97.86
2000-03-14,285.0,288.0,280.0,281.0,798600,23.788
2000-03-15,284.0,286.0,280.0,281.0,404800,23.788
2000-03-16,285.5,297.5,285.5,292.0,1247300,24.719
2000-03-17,300.0,300.0,287.5,290.0,565300,24.55
2000-03-20,290.0,298.0,290.0,290.5,777000,24.592
2000-03-21,292.0,302.0,292.0,298.0,1884800,25.227
2000-03-22,306.5,309.0,298.0,301.0,1080000,25.481
2000-03-23,306.0,306.0,293.0,299.0,378200,25.312
2000-03-24,295.0,298.0,290.0,292.5,745000,24.761
2000-03-27,295.0,299.0,293.0,296.0,696500,25.058
2000-03-28,295.0,301.0,287.0,291.0,1397500,24.634
2000-03-29,292.0,295.0,286.5,295.0,524600,24.973
2000-03-30,290.0,298.0,290.0,296.0,308600,25.058
2000-03-31,294.5,296.0,290.0,294.0,431500,24.888
2000-04-03,296.0,297.5,290.5,291.0,684900,24.634
2000-04-04,293.0,303.0,292.5,301.0,588900,25.481
2000-04-05,301.0,301.0,293.0,299.0,1987500,25.312
2000-04-06,296.0,301.0,296.0,299.0,593800,25.312
2000-04-07,300.0,302.0,295.0,299.0,1058200,25.312
2000-04-10,300.0,310.5,300.0,308.0,1488500,26.074
2000-04-11,303.5,307.0,303.5,306.0,607400,25.904
2000-04-12,308.0,308.0,304.5,304.5,960500,25.777
2000-04-13,301.0,313.0,300.5,313.0,1589300,26.497
2000-04-14,310.0,312.0,302.5,303.5,1345600,25.693
2000-04-17,297.0,305.0,295.0,304.0,1244600,25.735
2000-04-18,304.5,308.0,301.0,304.5,933500,25.777
2000-04-19,304.5,308.0,304.0,304.5,820000,25.777
2000-04-20,305.0,309.5,304.0,305.0,730200,25.82
2000-04-21,1220.0,1220.0,1220.0,1220.0,0,103.278
2000-04-24,1220.0,1220.0,1220.0,1220.0,0,103.278
2000-04-25,305.5,307.0,303.0,305.5,1504200,25.862
2000-04-26,310.0,310.0,305.5,307.5,1202400,26.031
2000-04-27,308.0,321.5,307.0,316.0,2010500,26.751
2000-04-28,320.0,330.0,319.0,323.0,1452100,27.343
2000-05-01,1292.0,1292.0,1292.0,1292.0,0,109.373
2000-05-02,332.0,339.5,327.0,329.0,2789900,27.851
2000-05-03,315.0,317.5,310.0,311.5,2641300,32.738
2000-05-04,311.5,319.0,311.5,315.0,958500,33.106
2000-05-05,316.0,318.5,308.0,310.0,1453700,32.581
2000-05-08,315.0,316.0,306.5,306.5,542700,32.213
2000-05-09,1226.0,1226.0,1226.0,1226.0,0,128.851
2000-05-10,308.5,315.0,308.0,312.0,1085800,32.791
2000-05-11,310.0,317.5,310.0,316.0,630300,33.211
2000-05-12,317.0,332.0,316.0,327.0,2590500,34.367
2000-05-15,331.0,332.0,327.5,327.5,638300,34.42
2000-05-16,327.0,333.0,323.0,333.0,608500,34.998
2000-05-17,330.0,336.0,330.0,335.0,930800,35.208
2000-05-18,336.0,351.0,335.0,350.0,1977600,36.785
2000-05-19,347.0,351.0,343.0,346.0,2864200,36.364
2000-05-22,342.0,351.5,342.0,348.0,1949800,36.574
2000-05-23,350.0,350.0,341.5,345.0,1114500,36.259
2000-05-24,340.0,347.5,340.0,343.5,1508000,36.102
2000-05-25,346.0,346.0,334.0,336.0,5745900,35.313
2000-05-26,336.0,340.0,330.0,340.0,1143600,35.734
2000-05-29,335.0,337.0,333.0,334.5,266900,35.156
2000-05-30,330.0,335.0,323.0,324.5,1550500,34.105
2000-05-31,330.0,334.0,325.0,334.0,653000,35.103
2000-06-01,1336.0,1336.0,1336.0,1336.0,0,140.412
2000-06-02,334.0,336.5,328.0,331.0,706400,34.788
2000-06-05,335.0,335.0,325.5,329.5,663000,34.63
2000-06-06,326.5,330.5,326.5,328.0,942900,34.472
2000-06-07,327.5,330.0,325.5,326.5,649000,34.315
2000-06-08,326.0,328.5,321.0,327.0,6857000,34.367
2000-06-09,325.0,326.0,321.5,323.5,426000,34.0
2000-06-12,1294.0,1294.0,1294.0,1294.0,0,135.998
2000-06-13,323.0,323.0,310.0,311.0,623900,32.686
2000-06-14,314.0,317.0,310.5,313.0,5094300,32.896
2000-06-15,313.0,319.5,313.0,315.0,732300,33.106
2000-06-16,323.0,323.0,314.5,319.0,396700,33.527
2000-06-19,1276.0,1276.0,1276.0,1276.0,0,134.106
2000-06-20,315.0,322.5,312.0,319.0,522600,33.527
2000-06-21,320.0,322.0,313.0,315.0,482900,33.106
2000-06-22,319.0,319.0,311.0,312.0,775900,32.791
2000-06-23,1248.0,1248.0,1248.0,1248.0,0,131.164
2000-06-26,318.0,318.0,312.5,314.0,283300,33.001
2000-06-27,320.0,320.0,313.5,314.0,359900,33.001
2000-06-28,314.0,316.0,313.0,315.0,178100,33.106
2000-06-29,317.0,318.0,312.0,313.5,526200,32.949
2000-06-30,314.5,316.0,312.0,312.5,365800,32.843
2000-07-03,313.0,319.5,313.0,316.5,313100,33.264
2000-07-04,317.0,321.0,316.0,318.0,617000,33.421
2000-07-05,318.0,319.0,316.0,316.0,411300,33.211
2000-07-06,317.0,317.0,311.0,312.5,425400,32.843
2000-07-07,1250.0,1250.0,1250.0,1250.0,0,131.374
2000-07-10,310.0,313.0,309.0,309.5,422800,32.528
2000-07-11,307.0,308.5,304.0,308.5,629700,32.423
2000-07-12,308.5,311.5,306.0,310.0,406800,32.581
2000-07-13,317.0,317.0,308.0,311.5,194200,32.738
2000-07-14,312.0,312.0,307.0,308.0,571300,32.371
2000-07-17,312.0,312.0,306.0,307.0,1219800,32.265
2000-07-18,305.0,308.5,304.0,305.5,445600,32.108
2000-07-19,305.0,308.0,302.0,305.5,786500,32.108
2000-07-20,309.0,309.0,305.0,308.0,388000,32.371
2000-07-21,307.0,310.0,305.0,305.5,464800,32.108
2000-07-24,1222.0,1222.0,1222.0,1222.0,0,128.431
2000-07-25,305.0,305.0,301.0,302.5,941300,31.792
2000-07-26,302.5,304.0,300.0,300.5,506600,31.582
2000-07-27,1202.0,1202.0,1202.0,1202.0,0,126.329
2000-07-28,299.0,308.0,298.0,306.5,1052600,32.213
2000-07-31,304.0,305.0,302.5,304.0,986500,31.95
2000-08-01,306.0,306.0,301.0,303.0,594100,31.845
2000-08-02,310.0,310.0,301.0,303.5,682300,31.898
2000-08-03,303.0,305.5,301.0,303.5,536200,31.898
2000-08-04,303.5,306.0,303.5,306.0,455000,32.16
2000-08-07,307.5,308.0,304.0,307.0,918800,32.265
2000-08-08,306.0,306.0,303.5,303.5,527600,31.898
2000-08-09,305.0,307.5,302.5,305.5,636500,32.108
2000-08-10,307.0,314.0,305.5,310.0,504400,32.581
2000-08-11,312.0,312.5,308.0,310.0,573500,32.581
2000-08-14,311.0,313.5,307.0,309.0,260200,32.476
2000-08-15,309.0,313.0,309.0,311.0,298200,32.686
2000-08-16,312.0,321.0,310.0,320.0,1195100,33.632
2000-08-17,323.0,333.0,323.0,328.5,1978400,34.525
