Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,170.0,219.5,170.0,217.0,4928200,16.91068
2000-01-04,217.0,217.0,207.0,210.0,2800400,16.36517
2000-01-05,52.5,52.5,52.5,210.0,0,16.36517
2000-01-06,52.5,52.5,52.5,210.0,0,16.36517
2000-01-07,215.0,223.0,209.5,215.5,14238300,16.79378
2000-01-10,219.0,233.0,219.0,228.0,21428600,17.7679
2000-01-11,229.0,230.0,221.0,228.0,4007700,17.7679
2000-01-12,229.0,233.0,227.0,233.0,13412700,18.15755
2000-01-13,234.0,234.5,231.5,234.0,8111900,18.23548
2000-01-14,235.0,235.0,231.5,234.0,9276200,18.23548
2000-01-17,234.5,245.0,233.0,240.0,4335300,18.70305
2000-01-18,237.0,238.0,230.5,234.0,4957300,18.23548
2000-01-19,235.0,235.0,222.5,231.5,2217500,18.04065
2000-01-20,229.0,235.0,221.0,222.0,9126000,17.30033
2000-01-21,219.0,219.0,207.0,210.0,11500900,16.36517
2000-01-24,209.5,210.0,207.5,208.0,6045400,16.20931
2000-01-25,208.0,208.0,201.0,204.5,19636300,15.93656
2000-01-26,208.5,216.0,206.5,210.0,25858600,16.36517
2000-01-27,214.5,220.0,212.0,213.5,31766800,16.63793
2000-01-28,218.0,218.0,197.0,204.5,17424100,15.93656
2000-01-31,204.0,208.0,200.0,202.0,6155100,15.74174
2000-02-01,205.0,210.0,201.0,202.0,8209100,15.74174
2000-02-02,203.0,205.0,198.0,200.5,7406400,15.62484
2000-02-03,200.0,205.0,200.0,202.0,7733600,15.74174
2000-02-04,202.0,207.5,200.0,200.0,6905900,15.58588
2000-02-07,203.0,203.0,195.0,199.0,4232600,15.50795
2000-02-08,196.0,200.0,191.0,192.0,5846000,14.96244
2000-02-09,192.0,192.0,186.5,186.5,10677900,14.53383
2000-02-10,185.0,190.0,183.5,185.5,5315200,14.4559
2000-02-11,189.0,189.0,178.0,179.5,9718200,13.98833
2000-02-14,178.0,182.0,176.0,176.0,4199300,13.71557
2000-02-15,180.0,180.0,168.5,169.5,7536400,13.20903
2000-02-16,179.0,179.0,169.0,173.0,13136700,13.48178
