Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,29.7,30.3,29.6,29.9,275800,18.11
2000-01-04,30.0,30.0,29.2,29.4,527900,17.81
2000-01-05,29.4,29.4,29.4,29.4,0,17.81
2000-01-06,29.4,29.4,29.4,29.4,0,17.81
2000-01-07,29.2,30.2,29.1,30.1,787100,18.23
2000-01-10,30.2,30.5,30.0,30.0,695300,18.17
2000-01-11,30.2,30.3,29.8,30.3,757500,18.35
2000-01-12,30.3,30.8,30.3,30.7,1041100,18.59
2000-01-13,30.7,30.7,30.4,30.6,322900,18.53
2000-01-14,30.6,30.9,30.6,30.8,798000,18.66
2000-01-17,30.9,31.2,30.8,31.0,960000,18.78
2000-01-18,31.3,31.3,30.4,30.5,1182000,18.47
2000-01-19,30.3,30.6,30.0,30.1,921800,18.23
2000-01-20,30.2,31.1,30.1,30.4,1082500,18.41
2000-01-21,31.0,31.0,30.0,30.1,295900,18.23
2000-01-24,30.1,30.3,29.4,29.4,2893800,17.81
2000-01-25,29.5,29.6,29.2,29.4,1483000,17.81
2000-01-26,29.5,29.6,29.1,29.1,809200,17.63
2000-01-27,29.2,29.4,29.0,29.3,597800,17.75
2000-01-28,29.3,29.5,29.2,29.4,671100,17.81
2000-01-31,29.0,29.6,29.0,29.6,1361500,17.93
2000-02-01,29.6,30.5,29.6,30.3,569900,18.35
2000-02-02,30.3,30.7,30.0,30.0,1241300,18.17
2000-02-03,30.5,30.5,30.0,30.0,242200,18.17
2000-02-04,30.4,30.5,30.0,30.0,619100,18.17
2000-02-07,30.5,30.9,30.3,30.6,493800,18.53
2000-02-08,30.6,31.1,30.4,30.8,438900,18.66
2000-02-09,31.0,32.5,30.6,30.8,1434300,18.66
2000-02-10,32.5,32.5,31.0,31.3,531700,18.96
2000-02-11,33.0,33.0,31.1,31.4,513900,19.02
2000-02-14,31.4,32.0,31.3,31.6,414400,19.14
2000-02-15,31.9,32.0,31.3,31.3,433600,18.96
2000-02-16,31.5,32.0,31.5,32.0,631400,19.38
2000-02-17,31.9,31.9,31.2,31.3,186700,18.96
2000-02-18,31.3,31.3,30.0,30.4,505700,18.41
2000-02-21,29.9,30.2,29.6,30.2,1046800,18.29
2000-02-22,30.2,30.2,29.2,29.4,2627700,17.81
2000-02-23,29.8,30.2,29.8,29.8,486100,18.05
2000-02-24,29.5,30.2,29.4,29.6,491300,17.93
2000-02-25,29.7,29.9,29.5,29.5,423700,17.87
2000-02-28,29.6,29.6,29.3,29.4,1248700,17.81
2000-02-29,29.4,29.4,28.6,28.6,844200,17.32
2000-03-01,29.0,29.3,28.5,28.6,873800,17.32
2000-03-02,28.9,28.9,28.4,28.4,620000,17.2
2000-03-03,28.5,28.7,28.2,28.4,338100,17.2
2000-03-06,28.6,29.0,28.5,28.6,657400,17.32
2000-03-07,28.6,28.7,27.6,27.7,792300,16.78
2000-03-08,27.8,28.0,27.2,27.5,567900,16.66
2000-03-09,27.9,28.0,27.6,27.6,446500,16.72
2000-03-10,27.9,28.4,27.8,28.2,739700,17.08
2000-03-13,28.3,28.5,27.5,27.8,956300,16.84
2000-03-14,27.7,28.1,27.5,28.0,851300,16.96
2000-03-15,27.8,27.8,27.3,27.3,813500,16.54
2000-03-16,27.6,28.0,27.6,27.7,9846100,16.78
2000-03-17,27.7,28.2,27.2,27.5,1011500,16.66
2000-03-20,27.6,27.7,27.0,27.1,860300,16.41
2000-03-21,27.0,28.0,27.0,27.9,1962100,16.9
2000-03-22,28.0,28.0,27.5,27.8,592700,16.84
2000-03-23,28.0,28.0,27.6,27.7,628700,16.78
2000-03-24,28.0,28.0,27.6,27.9,974200,16.9
2000-03-27,28.0,28.0,27.6,27.9,578600,16.9
2000-03-28,27.9,27.9,27.5,27.5,317200,16.66
2000-03-29,27.5,27.8,27.5,27.6,134900,16.72
2000-03-30,27.6,27.7,27.2,27.5,76400,16.66
2000-03-31,27.2,27.2,26.6,26.6,1345700,16.11
2000-04-03,26.9,27.1,26.2,26.6,2058000,16.11
2000-04-04,27.1,27.4,26.7,27.0,1345300,16.35
2000-04-05,27.0,27.0,26.3,26.5,1020800,16.05
2000-04-06,26.9,27.5,26.5,27.1,890500,16.41
2000-04-07,27.3,28.2,27.2,28.2,462500,17.08
2000-04-10,28.2,28.2,27.1,27.8,704900,16.84
2000-04-11,27.6,27.8,27.0,27.0,956800,16.35
2000-04-12,27.1,28.5,27.0,27.0,2526100,16.35
2000-04-13,27.2,27.4,26.8,27.4,706700,16.6
2000-04-14,27.4,27.5,26.8,26.9,508800,16.29
2000-04-17,26.7,26.7,26.0,26.6,773900,16.11
2000-04-18,27.0,27.4,25.8,26.1,974800,15.81
2000-04-19,26.8,27.0,26.4,26.9,419000,16.29
2000-04-20,26.7,26.9,26.6,26.8,227300,16.23
2000-04-21,26.8,26.8,26.8,26.8,0,16.23
2000-04-24,26.8,26.8,26.8,26.8,0,16.23
2000-04-25,27.0,27.1,26.5,26.9,943700,16.29
2000-04-26,27.0,27.3,26.7,27.1,1533300,16.41
2000-04-27,26.9,27.8,26.9,27.4,1176800,16.6
2000-04-28,26.1,26.7,25.7,26.2,924900,16.63
2000-05-01,26.2,26.2,26.2,26.2,0,16.63
2000-05-02,27.0,27.1,25.3,25.5,1036000,16.18
2000-05-03,25.3,25.5,25.1,25.2,1200000,15.99
2000-05-04,25.4,25.9,25.2,25.3,711000,16.06
2000-05-05,25.5,25.5,25.3,25.4,376500,16.12
2000-05-08,25.4,25.5,25.3,25.3,893300,16.06
2000-05-09,25.3,25.3,25.3,25.3,0,16.06
2000-05-10,25.5,26.0,25.5,25.8,635400,16.37
2000-05-11,26.0,27.5,25.9,27.5,1203200,17.45
2000-05-12,27.4,28.5,27.4,28.5,944000,18.09
2000-05-15,28.4,29.0,27.8,27.9,4941500,17.71
2000-05-16,28.0,29.2,28.0,29.1,3541200,18.47
2000-05-17,29.1,29.1,28.6,28.8,772400,18.28
2000-05-18,28.2,28.7,28.2,28.6,805600,18.15
2000-05-19,28.3,28.5,28.0,28.2,651000,17.9
2000-05-22,28.0,28.5,28.0,28.3,587800,17.96
2000-05-23,28.4,28.5,28.3,28.5,4819800,18.09
2000-05-24,28.3,28.5,28.0,28.5,1020500,18.09
2000-05-25,28.3,28.5,27.6,28.3,1368100,17.96
2000-05-26,27.5,28.0,27.4,27.4,728200,17.39
2000-05-29,27.5,28.2,27.5,28.1,381200,17.83
2000-05-30,28.0,28.3,27.7,27.9,1260400,17.71
2000-05-31,27.6,28.1,27.6,27.9,414100,17.71
2000-06-01,27.9,27.9,27.9,27.9,0,17.71
2000-06-02,27.5,27.8,26.5,26.5,672200,16.82
2000-06-05,26.8,26.9,26.5,26.6,662400,16.88
2000-06-06,26.6,26.6,26.3,26.3,536500,16.69
2000-06-07,26.2,26.5,26.1,26.2,163300,16.63
2000-06-08,26.6,26.6,26.2,26.3,63200,16.69
2000-06-09,26.3,27.1,26.3,27.0,464700,17.14
2000-06-12,27.0,27.0,27.0,27.0,0,17.14
2000-06-13,27.0,27.2,26.5,26.5,677000,16.82
2000-06-14,27.2,27.4,26.6,26.7,589800,16.95
2000-06-15,26.5,26.6,25.6,26.0,535100,16.5
2000-06-16,26.5,28.2,26.3,27.0,939700,17.14
2000-06-19,27.0,27.0,27.0,27.0,0,17.14
2000-06-20,27.0,27.2,26.8,26.9,1018700,17.07
2000-06-21,26.9,27.0,26.8,26.8,308300,17.01
2000-06-22,26.8,26.9,26.4,26.9,572200,17.07
2000-06-23,26.9,26.9,26.9,26.9,0,17.07
2000-06-26,26.9,27.1,26.4,27.1,615300,17.2
2000-06-27,27.1,27.2,26.6,26.6,339000,16.88
2000-06-28,27.0,27.0,26.3,26.9,67400,17.07
2000-06-29,26.9,26.9,26.0,26.3,176100,16.69
2000-06-30,26.3,27.2,26.3,27.2,598900,17.26
2000-07-03,27.1,27.1,26.8,27.0,1451300,17.14
2000-07-04,27.1,27.5,27.0,27.4,1174000,17.39
2000-07-05,27.2,28.1,27.2,27.5,1667500,17.45
2000-07-06,28.5,28.8,28.0,28.8,1372000,18.28
2000-07-07,28.8,28.8,28.8,28.8,0,18.28
2000-07-10,29.1,29.1,28.5,29.1,538500,18.47
2000-07-11,29.0,29.0,28.5,28.8,56600,18.28
2000-07-12,28.5,28.5,27.9,27.9,4064500,17.71
2000-07-13,27.9,28.0,27.8,27.9,85500,17.71
2000-07-14,28.0,28.2,27.9,28.2,305200,17.9
2000-07-17,28.0,28.0,27.0,27.3,1592400,17.33
2000-07-18,27.1,27.3,26.8,27.0,652100,17.14
2000-07-19,27.0,27.0,26.7,26.9,711500,17.07
2000-07-20,26.9,26.9,26.5,26.5,167200,16.82
2000-07-21,26.5,27.2,26.5,26.6,608300,16.88
2000-07-24,26.6,26.6,26.6,26.6,0,16.88
2000-07-25,28.0,28.0,26.9,27.0,708500,17.14
2000-07-26,27.3,28.3,27.3,28.2,772300,17.9
2000-07-27,28.2,28.2,28.2,28.2,0,17.9
2000-07-28,28.4,29.1,28.1,28.9,2977700,18.34
2000-07-31,28.9,29.3,28.8,29.1,4300200,18.47
2000-08-01,29.0,29.2,28.8,28.8,206800,18.28
2000-08-02,28.8,29.0,28.8,29.0,1403900,18.4
2000-08-03,29.0,29.0,28.5,28.9,2632700,18.34
2000-08-04,28.9,29.0,28.7,28.8,807000,18.28
2000-08-07,28.5,29.0,28.5,28.9,670600,18.34
2000-08-08,29.0,29.0,28.8,28.8,2398900,18.28
2000-08-09,28.5,28.9,28.5,28.5,523200,18.09
2000-08-10,28.9,29.0,28.7,29.0,728200,18.4
2000-08-11,29.0,29.6,28.9,29.4,3009700,18.66
2000-08-14,29.2,29.8,29.2,29.7,2960200,18.85
2000-08-15,29.7,29.7,29.3,29.4,1373900,18.66
2000-08-16,29.3,29.5,29.2,29.2,303900,18.53
2000-08-17,29.5,30.1,29.0,29.2,827600,18.53
2000-08-18,29.2,29.4,29.1,29.3,118200,18.6
2000-08-21,29.4,29.7,29.2,29.7,1083200,18.85
2000-08-22,29.6,29.7,29.3,29.6,708900,18.79
2000-08-23,29.4,29.7,29.4,29.6,380700,18.79
2000-08-24,29.2,29.6,29.2,29.4,303600,18.66
2000-08-25,29.3,29.5,29.3,29.3,320200,18.6
2000-08-28,29.4,29.8,29.4,29.8,3804300,18.91
2000-08-29,29.8,30.3,29.7,30.2,2081700,19.17
2000-08-30,30.5,30.6,30.1,30.5,722200,19.36
2000-08-31,30.4,31.0,30.4,30.5,1960200,19.36
2000-09-01,30.6,31.3,30.6,30.6,1375700,19.42
2000-09-04,31.5,31.5,30.7,31.0,771300,19.67
2000-09-05,31.0,31.4,31.0,31.2,554100,19.8
