Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,577.208,587.808,539.628,552.156,4596500,70.3689
2000-01-04,539.628,542.52,494.336,504.936,2724300,64.351
2000-01-05,168.3124,168.3124,168.3124,504.936,0,64.351
2000-01-06,168.3124,168.3124,168.3124,504.936,0,64.351
2000-01-07,481.812,489.52,456.756,487.592,4219500,62.1406
2000-01-10,496.264,524.212,496.264,517.464,2010900,65.9476
2000-01-11,525.172,528.064,507.828,521.32,2527500,66.439
2000-01-12,510.72,515.536,502.048,508.792,1634000,64.8424
2000-01-13,511.684,523.248,509.756,523.248,1312000,66.6847
2000-01-14,529.992,547.336,527.1,543.484,1690000,69.2637
2000-01-17,554.084,558.9,543.484,558.9,1170800,71.2283
2000-01-18,558.9,566.608,555.044,563.72,2090700,71.8426
2000-01-19,558.9,559.864,532.884,544.448,1174500,69.3865
2000-01-20,549.264,555.044,539.628,544.448,988100,69.3865
2000-01-21,544.448,554.084,541.556,548.3,1906900,69.8774
2000-01-24,552.156,566.608,539.628,558.9,2195800,71.2283
2000-01-25,551.192,562.756,551.192,560.828,1153500,71.4741
2000-01-26,566.608,583.956,566.608,570.464,2540700,72.7021
2000-01-27,576.244,580.1,561.792,576.244,1296300,73.4387
2000-01-28,577.208,590.7,569.5,578.172,1813800,73.6844
2000-01-31,568.536,570.464,542.52,548.3,1169600,69.8774
2000-02-01,554.084,558.9,539.628,551.192,1693600,70.246
2000-02-02,561.792,573.356,553.12,570.464,1420100,72.7021
2000-02-03,573.356,602.264,570.464,596.48,2014900,76.0177
2000-02-04,616.716,635.992,605.156,619.608,2086000,78.9652
2000-02-07,619.608,662.972,619.608,653.336,5481500,83.2636
2000-02-08,657.188,669.716,645.628,648.516,1729600,82.6493
2000-02-09,649.48,655.264,631.172,635.028,2133900,80.9304
2000-02-10,616.716,640.808,610.936,631.172,1270600,80.439
2000-02-11,638.88,682.244,633.1,645.628,2411900,82.2813
2000-02-14,655.264,664.9,622.5,634.064,1647800,80.8075
2000-02-15,635.992,645.628,619.608,622.5,1094000,79.3338
2000-02-16,622.5,639.844,602.264,618.644,2445500,78.8423
2000-02-17,626.352,638.88,619.608,634.064,3522700,80.8075
2000-02-18,640.808,667.788,640.808,663.936,1590700,84.6145
2000-02-21,635.992,698.624,635.992,694.772,5511200,88.5444
2000-02-22,732.352,770.896,685.136,688.988,8308200,87.8072
2000-02-23,722.716,737.172,708.26,734.28,4179300,93.5794
2000-02-24,761.26,761.26,728.496,738.132,2561300,94.0704
2000-02-25,746.808,753.552,722.716,749.696,1492300,95.5441
2000-02-28,751.624,766.08,741.988,766.08,1249300,97.6322
2000-02-29,768.968,819.08,763.188,804.624,1440600,102.5443
2000-03-01,814.26,851.84,821.004,847.988,1423000,108.0708
2000-03-02,867.26,939.532,862.44,890.388,2133900,113.4744
2000-03-03,899.06,915.44,863.404,914.476,904000,116.5443
2000-03-06,915.44,924.112,896.168,903.876,1270200,115.1934
2000-03-07,881.712,895.204,856.66,872.076,1795200,111.1407
2000-03-08,847.988,857.624,808.48,842.204,1128200,107.3337
2000-03-09,833.532,836.424,780.532,786.316,1697900,100.2111
2000-03-10,813.296,819.08,782.46,790.168,1657100,100.702
2000-03-13,263.39,263.39,263.39,790.168,0,100.702
2000-03-14,722.716,775.716,713.08,763.188,2803600,97.2636
2000-03-15,746.808,782.46,722.716,736.208,2111500,93.8252
2000-03-16,722.716,746.808,713.08,715.972,707800,91.2462
2000-03-17,751.624,751.624,705.372,707.3,3686800,90.141
2000-03-20,732.352,766.08,732.352,751.624,1681800,95.7898
2000-03-21,746.808,760.296,727.536,728.496,1732800,92.8423
2000-03-22,754.516,770.896,741.988,753.552,1993300,96.0355
2000-03-23,756.444,762.224,724.644,741.988,1157000,94.5618
2000-03-24,741.988,758.368,730.424,758.368,981500,96.6493
2000-03-27,761.26,768.968,742.952,748.732,808400,95.4213
2000-03-28,748.732,758.368,719.824,733.316,763900,93.4566
2000-03-29,741.988,741.988,717.896,727.536,937000,92.72
2000-03-30,724.644,727.536,684.172,694.772,920500,88.5444
2000-03-31,660.08,722.716,651.408,722.716,2088300,92.1057
2000-04-03,716.936,716.936,648.516,650.444,2041500,82.8951
2000-04-04,649.48,664.9,598.408,607.08,2027400,77.3686
2000-04-05,626.352,626.352,570.464,592.628,3127300,75.5268
2000-04-06,616.716,674.536,611.9,668.752,2192900,85.2283
2000-04-07,688.988,692.844,669.716,679.352,1545800,86.5792
2000-04-10,693.808,713.08,691.88,697.66,1442800,88.9124
2000-04-11,683.208,683.208,645.628,656.228,1729900,83.6322
2000-04-12,662.008,669.716,616.716,616.716,1258600,78.5966
2000-04-13,602.264,623.464,592.628,621.536,2709700,79.2109
2000-04-14,616.716,616.716,566.608,573.356,2526800,73.0707
2000-04-17,530.956,553.12,528.064,543.484,3694400,69.2637
2000-04-18,569.5,569.5,547.336,565.644,2563800,72.0878
2000-04-19,581.064,616.716,573.356,605.156,2254700,77.1234
2000-04-20,605.156,624.428,605.156,620.572,750800,79.0881
2000-04-21,206.8576,206.8576,206.8576,620.572,0,79.0881
2000-04-24,206.8576,206.8576,206.8576,620.572,0,79.0881
2000-04-25,613.828,623.464,607.08,618.644,1165900,78.8423
2000-04-26,631.172,656.228,631.172,650.444,1892800,82.8951
2000-04-27,655.264,655.264,628.28,632.136,881400,80.5618
2000-04-28,665.864,667.788,611.9,643.7,2068500,82.0356
2000-05-01,214.5664,214.5664,214.5664,643.7,0,82.0356
2000-05-02,626.352,643.7,623.464,639.844,1725200,81.5442
2000-05-03,640.808,664.9,635.992,655.264,1948700,83.5093
2000-05-04,660.08,672.608,649.48,655.264,1292800,83.5093
2000-05-05,669.716,708.26,656.228,677.424,1712200,86.3335
2000-05-08,698.624,704.408,657.188,661.044,1974200,84.246
2000-05-09,220.348,220.348,220.348,661.044,0,84.246
2000-05-10,635.028,638.88,602.264,616.716,3371300,78.5966
2000-05-11,608.044,618.644,605.156,609.972,1833000,77.7372
2000-05-12,613.828,616.716,599.372,602.264,1510800,76.7548
2000-05-15,599.372,616.716,599.372,610.936,913500,77.86
2000-05-16,611.9,632.136,611.9,643.7,549000,82.0356
2000-05-17,645.628,647.552,624.428,630.208,1518000,80.3161
2000-05-18,635.992,643.7,630.208,638.88,1391200,81.4213
2000-05-19,635.992,635.992,600.336,601.3,2493200,76.632
2000-05-22,607.08,611.9,562.756,570.464,4305000,72.7021
2000-05-23,582.992,582.992,558.9,568.536,3461700,72.4564
2000-05-24,558.9,563.72,546.372,549.264,2469000,70.0003
2000-05-25,558.9,581.064,557.936,579.136,1831700,73.8073
2000-05-26,568.536,573.356,559.864,567.572,1020500,72.3335
2000-05-29,573.356,578.172,569.5,573.356,684500,73.0707
2000-05-30,578.172,606.116,578.172,603.228,4744500,76.8777
2000-05-31,611.9,621.536,604.192,611.9,2754600,77.9829
2000-06-01,203.9664,203.9664,203.9664,611.9,0,77.9829
2000-06-02,616.716,647.552,607.08,635.992,2807600,81.0532
2000-06-05,631.172,639.844,621.536,635.992,771000,81.0532
2000-06-06,636.952,649.48,634.064,635.992,1172300,81.0532
2000-06-07,632.136,632.136,621.536,628.28,984500,80.0704
2000-06-08,631.172,650.444,629.244,650.444,1692800,82.8951
2000-06-09,650.444,655.264,642.736,650.444,1351800,82.8951
2000-06-12,216.8148,216.8148,216.8148,650.444,0,82.8951
2000-06-13,650.444,650.444,628.28,635.028,2263700,80.9304
2000-06-14,637.916,642.736,632.136,640.808,1291500,81.667
2000-06-15,645.628,646.588,638.88,642.736,1873400,81.9127
2000-06-16,645.628,645.628,631.172,632.136,901400,80.5618
2000-06-19,210.712,210.712,210.712,632.136,0,80.5618
2000-06-20,627.316,650.444,611.9,626.352,1591200,79.8247
2000-06-21,631.172,631.172,609.972,614.792,730600,78.3514
2000-06-22,618.644,620.572,585.88,587.808,1821300,74.9125
2000-06-23,195.9364,195.9364,195.9364,587.808,0,74.9125
2000-06-26,597.444,619.608,597.444,616.716,2411900,78.5966
2000-06-27,616.716,634.064,616.716,624.428,1753300,79.5795
2000-06-28,624.428,635.992,624.428,632.136,1081800,80.5618
2000-06-29,633.1,635.028,625.392,627.316,1318600,79.9475
2000-06-30,631.172,645.628,627.316,627.316,580600,79.9475
2000-07-03,642.736,642.736,629.244,631.172,458000,80.439
2000-07-04,635.992,637.916,629.244,631.172,356600,80.439
2000-07-05,635.992,647.552,631.172,639.844,636200,81.5442
2000-07-06,635.028,643.7,609.008,609.008,2231300,77.6143
2000-07-07,203.0028,203.0028,203.0028,609.008,0,77.6143
2000-07-10,631.172,632.136,618.644,627.316,653400,79.9475
2000-07-11,616.716,629.244,616.716,626.352,261800,79.8247
2000-07-12,631.172,631.172,621.536,629.244,214100,80.1933
2000-07-13,635.028,644.664,626.352,639.844,368400,81.5442
2000-07-14,640.808,664.9,640.808,660.08,1318000,84.1231
2000-07-17,664.9,679.352,662.008,675.5,1404800,86.0883
2000-07-18,679.352,681.28,675.5,675.5,964600,86.0883
2000-07-19,674.536,682.244,670.68,679.352,941900,86.5792
2000-07-20,684.172,691.88,679.352,687.064,699100,87.5621
2000-07-21,684.172,690.916,676.464,676.464,786500,86.2111
2000-07-24,225.4872,225.4872,225.4872,676.464,0,86.2111
2000-07-25,597.444,597.444,566.608,586.844,7530100,74.7896
2000-07-26,577.208,587.808,550.228,556.972,4705200,70.9826
2000-07-27,185.6576,185.6576,185.6576,556.972,0,70.9826
2000-07-28,560.828,570.464,548.3,553.12,2514200,70.4917
2000-07-31,556.008,557.936,548.3,554.084,761800,70.6146
2000-08-01,558.9,558.9,522.284,530.956,2923200,67.6671
2000-08-02,525.172,525.172,491.448,507.828,4783100,64.7195
2000-08-03,501.084,505.9,470.248,479.884,4142700,61.1582
2000-08-04,489.52,494.336,480.364,481.812,1871900,61.404
2000-08-07,483.736,491.448,477.476,479.4,1077900,61.0966
2000-08-08,481.812,486.628,471.212,476.028,1579800,60.6668
2000-08-09,480.364,498.192,478.92,488.556,3936600,62.2634
2000-08-10,488.556,500.12,487.592,496.264,1907600,63.2458
2000-08-11,492.412,501.084,488.556,490.484,1119500,62.5091
2000-08-14,501.084,501.084,485.664,488.556,1845800,62.2634
2000-08-15,490.484,491.448,481.812,491.448,1327000,62.632
2000-08-16,481.812,492.412,481.812,491.448,1874100,62.632
2000-08-17,494.336,497.228,488.556,491.448,2345600,62.632
2000-08-18,493.376,505.9,490.484,491.448,2675200,62.632
2000-08-21,493.376,496.264,490.484,493.376,3474900,62.8777
2000-08-22,493.376,499.156,493.376,497.228,1185000,63.3686
2000-08-23,496.264,497.228,490.484,492.412,2103600,62.7549
2000-08-24,492.412,494.336,488.556,491.448,920500,62.632
2000-08-25,491.448,495.3,481.812,483.736,1732400,61.6492
2000-08-28,481.812,492.412,481.812,487.592,680900,62.1406
2000-08-29,487.592,488.556,470.728,470.728,2358900,59.9914
2000-08-30,472.176,472.176,450.012,459.648,4040200,58.5793
2000-08-31,464.464,479.884,450.012,479.884,4200200,61.1582
2000-09-01,486.628,502.048,482.776,493.376,6471800,62.8777
2000-09-04,496.264,528.064,496.264,520.356,6572400,66.3162
2000-09-05,520.356,527.1,505.9,507.828,2769200,64.7195
2000-09-06,507.828,520.356,507.828,517.464,2299300,65.9476
2000-09-07,515.536,531.92,511.684,525.172,2746000,66.9299
2000-09-08,525.172,532.884,513.612,517.464,1735700,65.9476
2000-09-11,508.792,515.536,503.972,512.648,299600,65.3338
2000-09-12,510.72,517.464,509.756,516.5,662200,65.8247
2000-09-13,520.356,526.136,508.792,516.5,1928900,65.8247
2000-09-14,517.464,530.956,517.464,526.136,2389300,67.0528
2000-09-15,523.248,526.136,517.464,526.136,824800,67.0528
2000-09-18,522.284,527.1,516.5,516.5,888700,65.8247
2000-09-19,514.572,520.356,498.192,503.972,3045700,64.2281
2000-09-20,505.9,515.536,457.72,475.064,39150800,60.544
2000-09-21,481.812,483.736,454.828,466.392,5317900,59.4388
2000-09-22,459.648,459.648,448.084,454.348,2493300,57.9038
