Date,Open,High,Low,Close,Volume,Adj Close
2000-06-13,93.5,94.0,88.0,88.5,223433700,53.6734
2000-06-14,89.0,90.5,85.0,86.5,71480300,52.4604
2000-06-15,86.5,86.5,83.0,84.5,86729200,51.2475
2000-06-16,83.0,86.5,83.0,85.5,33537300,51.854
2000-06-19,85.5,85.5,85.5,85.5,0,51.854
2000-06-20,88.0,90.5,87.0,88.0,17483700,53.3702
2000-06-21,88.0,89.0,86.0,87.0,9314000,52.7637
2000-06-22,87.0,87.5,86.0,87.5,11634400,53.0669
2000-06-23,87.5,87.5,87.5,87.5,0,53.0669
2000-06-26,87.0,89.5,85.5,88.5,10648800,53.6734
2000-06-27,89.0,90.5,86.5,86.5,27383000,52.4604
2000-06-28,87.5,88.0,85.5,86.5,19968700,52.4604
2000-06-29,86.0,86.5,82.0,82.5,14496400,50.0345
2000-06-30,82.5,84.0,82.5,83.0,12151800,50.3378
2000-07-03,84.0,84.5,83.0,84.5,5002000,51.2475
2000-07-04,83.5,84.0,82.5,83.0,6218900,50.3378
2000-07-05,83.5,84.5,83.5,84.5,3584400,51.2475
2000-07-06,84.5,85.0,83.5,85.0,5854200,51.5507
2000-07-07,85.0,85.0,85.0,85.0,0,51.5507
2000-07-10,85.0,86.5,84.5,86.5,4663900,52.4604
2000-07-11,85.0,86.0,85.0,85.5,3245100,51.854
2000-07-12,85.5,86.0,85.0,85.0,2697400,51.5507
2000-07-13,85.0,86.0,84.5,85.0,6038400,51.5507
2000-07-14,85.0,85.5,84.5,85.5,5268200,51.854
2000-07-17,85.0,85.5,84.5,85.5,3745200,51.854
2000-07-18,85.5,87.0,85.5,86.0,5558000,52.1572
2000-07-19,86.0,87.0,86.0,87.0,3468500,52.7637
2000-07-20,86.5,89.0,86.0,88.5,4407700,53.6734
2000-07-21,88.0,89.0,87.5,88.0,3705200,53.3702
2000-07-24,88.0,88.0,88.0,88.0,0,53.3702
2000-07-25,86.0,86.0,84.5,85.0,3617400,51.5507
2000-07-26,84.5,85.0,83.5,84.0,2550900,50.9443
2000-07-27,84.0,84.0,84.0,84.0,0,50.9443
2000-07-28,81.5,83.5,79.0,80.5,8413900,48.8216
2000-07-31,80.5,81.0,78.5,79.0,4760300,47.9119
2000-08-01,80.0,81.0,79.0,79.5,4210000,48.2151
2000-08-02,80.0,80.0,77.0,79.0,4448100,47.9119
2000-08-03,78.0,78.0,73.5,76.0,9538800,46.0924
2000-08-04,76.5,76.5,75.0,76.0,3960900,46.0924
2000-08-07,76.0,78.0,76.0,78.0,2232200,47.3054
2000-08-08,78.0,78.5,76.5,77.5,2495900,47.0021
2000-08-09,77.5,78.0,76.5,77.0,4116100,46.6989
2000-08-10,76.5,78.0,75.0,75.5,3284600,45.7892
2000-08-11,75.0,75.5,72.0,72.5,3084700,43.9697
2000-08-14,72.0,75.5,71.5,75.5,2271600,45.7892
2000-08-15,76.0,76.0,74.0,74.5,1107400,45.1827
2000-08-16,71.0,72.0,67.5,72.0,20577700,43.6665
2000-08-17,72.0,72.0,69.0,70.0,6059700,42.4535
2000-08-18,70.0,70.0,66.0,66.5,4979600,40.3309
2000-08-21,67.0,68.5,66.0,67.0,4820100,40.6341
2000-08-22,67.0,67.5,65.0,66.0,4617600,40.0276
2000-08-23,66.0,66.5,64.0,66.5,3412300,40.3309
2000-08-24,66.5,66.5,66.0,66.5,2292100,40.3309
2000-08-25,66.5,69.5,66.5,67.5,3982000,40.9373
2000-08-28,68.0,69.0,67.0,69.0,1290900,41.8471
2000-08-29,69.0,69.0,67.0,68.0,1655400,41.2406
2000-08-30,67.5,68.5,67.0,68.0,4236400,41.2406
2000-08-31,68.0,68.0,66.0,67.5,6960700,40.9373
2000-09-01,67.5,73.0,67.0,69.5,14051300,42.1503
2000-09-04,70.0,74.5,70.0,72.5,5206400,43.9697
2000-09-05,72.5,74.0,70.0,71.0,5345900,43.06
2000-09-06,70.0,71.0,69.0,69.5,5175100,42.1503
2000-09-07,69.5,70.5,68.0,68.5,5197300,41.5438
