Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,225.0,225.0,216.5,217.5,33118100,5.254
2000-01-04,216.5,216.5,211.0,212.5,85792400,5.134
2000-01-05,42.5,42.5,42.5,212.5,0,5.134
2000-01-06,42.5,42.5,42.5,212.5,0,5.134
2000-01-07,214.0,216.0,211.5,213.5,95301900,5.158
2000-01-10,220.0,223.0,217.0,221.5,80078700,5.351
2000-01-11,224.0,227.0,222.0,227.0,72058100,5.484
2000-01-12,226.0,234.0,223.5,231.5,97214900,5.593
2000-01-13,234.5,236.5,229.0,232.0,98066800,5.605
2000-01-14,233.0,233.0,228.5,230.5,39213000,5.569
2000-01-17,231.5,231.5,226.5,227.5,22937400,5.496
2000-01-18,228.0,228.0,224.0,225.5,26814900,5.448
2000-01-19,225.0,226.0,222.5,223.0,24235800,5.387
2000-01-20,226.5,226.5,221.0,222.5,39198100,5.375
2000-01-21,221.5,225.0,220.0,221.0,67937700,5.339
2000-01-24,221.0,221.0,217.5,218.5,49727700,5.279
2000-01-25,216.0,218.0,215.0,215.5,90486600,5.206
2000-01-26,218.0,218.0,215.5,216.5,29200500,5.23
2000-01-27,218.0,218.0,215.5,216.0,16786300,5.218
2000-01-28,216.0,217.0,214.0,214.0,20569600,5.17
2000-01-31,214.0,215.0,211.0,212.0,27256900,5.122
2000-02-01,215.0,215.0,210.0,210.5,33606500,5.085
2000-02-02,211.0,215.0,210.5,213.5,34895100,5.158
2000-02-03,215.0,218.5,213.5,216.0,31256000,5.218
2000-02-04,216.5,218.0,213.5,213.5,20964800,5.158
2000-02-07,215.0,218.0,213.5,218.0,29455500,5.267
2000-02-08,219.0,224.0,218.0,220.5,37974500,5.327
2000-02-09,223.0,223.5,215.5,216.0,52762800,5.218
2000-02-10,214.0,216.0,212.0,213.5,24479200,5.158
2000-02-11,216.0,216.0,209.0,211.5,23834100,5.11
2000-02-14,215.0,215.0,209.0,212.0,20091900,5.122
2000-02-15,215.0,216.0,210.0,211.0,33615100,5.097
2000-02-16,214.0,215.5,210.0,212.5,29747300,5.134
2000-02-17,213.0,214.0,211.5,213.0,17703200,5.146
2000-02-18,213.0,214.5,211.0,214.0,18060700,5.17
2000-02-21,211.0,213.0,209.5,211.0,18424400,5.097
2000-02-22,211.0,213.5,208.0,209.0,21024800,5.049
2000-02-23,211.0,211.5,209.0,209.5,18672200,5.061
2000-02-24,209.0,211.5,204.0,205.0,46486700,4.953
2000-02-25,207.0,207.0,202.5,203.5,32991900,4.916
2000-02-28,205.0,206.0,202.5,203.5,22386600,4.916
2000-02-29,205.0,206.5,205.0,206.5,25826600,4.989
2000-03-01,206.5,208.5,205.0,206.5,41116400,4.989
2000-03-02,206.5,208.0,203.5,207.0,62422600,5.001
2000-03-03,209.0,221.0,208.0,217.5,67705600,5.254
2000-03-06,220.0,221.5,210.5,211.5,33089300,5.11
2000-03-07,210.0,211.0,207.5,210.0,29756600,5.073
2000-03-08,209.0,217.0,208.0,209.5,63866400,5.061
2000-03-09,213.0,220.0,213.0,219.0,64331900,5.291
2000-03-10,218.5,221.0,216.5,218.0,32772000,5.267
2000-03-13,43.6,43.6,43.6,218.0,0,5.267
2000-03-14,225.5,239.0,225.5,233.0,119061600,5.629
2000-03-15,237.0,238.0,229.0,230.5,90523700,5.569
2000-03-16,230.0,233.0,226.5,227.0,62683300,5.484
2000-03-17,232.0,232.5,229.0,230.5,160574500,5.569
2000-03-20,228.0,239.0,228.0,236.5,131489300,5.714
2000-03-21,238.0,238.0,231.0,233.5,96039700,5.641
2000-03-22,235.0,240.0,233.5,235.5,42915900,5.689
2000-03-23,237.0,237.5,225.0,227.5,23224800,5.496
2000-03-24,226.5,229.0,221.5,226.0,31151000,5.46
2000-03-27,227.0,230.0,218.0,219.0,42669700,5.291
2000-03-28,222.0,231.0,221.5,231.0,64688600,5.581
2000-03-29,230.0,241.0,229.5,237.0,59066500,5.726
2000-03-30,232.0,236.5,228.0,234.0,34844000,5.653
2000-03-31,233.0,235.0,229.5,233.0,33913000,5.629
2000-04-03,233.0,235.5,228.5,230.0,42487600,5.556
2000-04-04,229.0,232.5,229.0,230.5,22950800,5.569
2000-04-05,232.0,232.0,224.0,226.0,27152100,5.46
2000-04-06,225.0,225.0,221.0,223.0,21731600,5.387
2000-04-07,228.0,229.0,223.0,226.0,18188100,5.46
2000-04-10,225.0,228.0,221.0,222.5,20908600,5.375
2000-04-11,223.0,223.0,217.0,220.0,24406900,5.315
2000-04-12,221.0,222.0,215.0,216.0,23000700,5.218
2000-04-13,210.0,221.5,210.0,220.0,29423100,5.315
2000-04-14,218.0,218.5,213.0,214.5,20216900,5.182
2000-04-17,210.0,213.0,207.0,211.0,22186700,5.097
2000-04-18,211.0,213.5,207.5,207.5,30686500,5.013
2000-04-19,210.0,210.0,206.0,207.5,26626600,5.013
2000-04-20,207.0,209.0,204.0,205.5,17113500,4.965
2000-04-21,41.1,41.1,41.1,205.5,0,4.965
2000-04-24,41.1,41.1,41.1,205.5,0,4.965
2000-04-25,215.0,222.5,212.0,217.5,94204200,5.254
2000-04-26,225.0,229.5,222.0,228.0,106876100,5.508
2000-04-27,220.0,222.5,217.5,218.5,87206000,6.236
2000-04-28,217.5,220.0,215.0,217.5,78459700,6.207
2000-05-01,43.5,43.5,43.5,217.5,0,6.207
2000-05-02,217.5,217.5,212.5,214.0,44905000,6.107
2000-05-03,213.0,215.0,211.5,213.5,22695600,6.093
2000-05-04,211.5,213.5,211.0,212.0,15475900,6.05
2000-05-05,211.5,213.0,210.0,212.0,61549300,6.05
2000-05-08,212.5,214.0,208.0,210.0,25916700,5.993
2000-05-09,42.0,42.0,42.0,210.0,0,5.993
2000-05-10,206.0,210.5,206.0,208.5,36176700,5.951
2000-05-11,208.0,212.5,208.0,210.0,38956500,5.993
2000-05-12,209.0,212.5,209.0,211.5,35622900,6.036
2000-05-15,210.0,213.0,209.0,211.0,18243700,6.022
2000-05-16,210.5,212.0,209.0,210.5,20461200,6.008
2000-05-17,210.0,210.5,208.0,209.5,31362000,5.979
2000-05-18,209.0,218.5,209.0,215.5,84799200,6.15
2000-05-19,215.5,215.5,209.5,210.5,66370700,6.008
2000-05-22,212.0,212.0,207.5,207.5,118110600,5.922
2000-05-23,208.0,211.5,207.5,211.5,44803100,6.036
2000-05-24,206.0,216.0,206.0,211.5,104653500,6.036
2000-05-25,210.5,214.5,210.0,214.0,27510200,6.107
2000-05-26,212.0,213.0,209.0,211.5,43502000,6.036
2000-05-29,209.0,211.0,209.0,210.5,9064900,6.008
2000-05-30,209.0,212.0,209.0,212.0,36471000,6.05
2000-05-31,214.0,214.5,213.0,213.5,16412000,6.093
2000-06-01,42.7,42.7,42.7,213.5,0,6.093
2000-06-02,214.0,218.0,213.0,216.5,49157500,6.179
2000-06-05,217.0,221.5,218.5,220.5,88134900,6.293
2000-06-06,219.5,221.5,217.0,217.0,32798600,6.193
2000-06-07,217.0,217.0,212.0,212.5,36870700,6.065
2000-06-08,212.0,212.5,208.0,208.5,52844800,5.951
2000-06-09,209.0,210.0,207.5,208.0,31509900,5.936
2000-06-12,41.6,41.6,41.6,208.0,0,5.936
2000-06-13,207.5,208.5,201.5,203.0,57849600,5.794
2000-06-14,203.0,203.5,193.5,195.5,149151800,5.58
2000-06-15,193.0,196.0,187.0,188.5,73042500,5.38
2000-06-16,189.0,194.0,189.0,191.5,50438800,5.465
2000-06-19,38.3,38.3,38.3,191.5,0,5.465
2000-06-20,188.0,198.0,188.0,196.0,60050200,5.594
2000-06-21,199.0,202.5,196.0,199.0,50737400,5.679
2000-06-22,198.0,201.0,197.0,197.5,45726500,5.637
2000-06-23,39.5,39.5,39.5,197.5,0,5.637
2000-06-26,197.0,203.5,195.0,200.0,42912400,5.708
2000-06-27,198.0,199.5,195.0,195.0,50468400,5.565
2000-06-28,193.0,194.5,191.5,194.0,12626000,5.537
2000-06-29,195.0,195.0,190.0,191.5,17312500,5.465
2000-06-30,191.0,192.5,190.0,191.5,11682300,5.465
